hour,n_samples,n_sites,p_base_mean,p_base_actual_ratio,p_base_bias_pct,pred_baseline_mean,pred_baseline_actual_ratio,pred_baseline_bias_pct,power_pred_cal_mean,power_pred_cal_actual_ratio,power_pred_cal_bias_pct,power_pred_mean,power_pred_actual_ratio,power_pred_bias_pct
6,3886,55,0.059499086434326796,0.10948435955555057,-89.05156404444494,0.15538486789538838,0.2859239320410065,-71.40760679589934,0.11779864732769274,0.21676147033649043,-78.32385296635096,0.08723117026458119,0.16051420924320142,-83.94857907567986
7,7415,56,0.24642391566637312,0.3918889842569873,-60.811101574301276,0.37146201626990694,0.5907375988747466,-40.926240112525335,0.28672807588856036,0.45598485891303303,-54.4015141086967,0.2597921861945205,0.41314860081807253,-58.68513991819275
8,9392,56,0.5925328344944386,0.6024307355596222,-39.756926444037774,0.8006406780651318,0.8140148942417117,-18.598510575828833,0.6196710902925593,0.6300223194356723,-36.99776805643276,0.6556032549491388,0.6665547090757875,-33.34452909242125
9,9507,56,1.1098000703637636,0.7481708035293947,-25.18291964706053,1.3950742949532053,0.9404881871166471,-5.951181288335291,1.0763768371215612,0.7256385583627742,-27.436144163722574,1.2299030045551502,0.8291380977112691,-17.086190228873093
10,9563,56,1.5958934006443402,0.8534165446892624,-14.658345531073754,1.7970476667438433,0.9609853701852709,-3.9014629814729163,1.4030170536622484,0.7502744015315269,-24.972559846847314,1.6342117028021068,0.8739075580693774,-12.60924419306226
11,9580,56,1.9416057968440343,0.9171998438721312,-8.28001561278689,2.014261895433708,0.9515220334695903,-4.8477966530409695,1.6520317625822254,0.7804072676210367,-21.95927323789632,1.8542302862786624,0.8759243157607756,-12.407568423922449
12,9592,56,2.11209292500713,0.9671982332256954,-3.2801766774304624,2.057633057478342,0.9422592321846445,-5.774076781535556,1.6847114770151677,0.771485925061096,-22.851407493890395,1.8998778940734264,0.8700178485215889,-12.99821514784111
13,9582,56,2.1054901042806615,1.0203787489716352,2.037874897163527,1.992340869277618,0.9655434996276598,-3.445650037234021,1.6184932547606683,0.7843666038392263,-21.56333961607737,1.8341542182395192,0.8888818725973995,-11.111812740260053
14,9539,56,1.8973270191446296,1.0472679781260685,4.726797812606861,1.7301339182609017,0.9549823684486879,-4.501763155131214,1.3539488037767076,0.7473393947958922,-25.266060520410775,1.5719790654291343,0.867685602374792,-13.231439762520802
15,9522,56,1.4986162101744107,1.0783432115891771,7.8343211589177075,1.336084170182061,0.9613917727874485,-3.860822721255152,1.0142090376067618,0.7297835319079873,-27.021646809201272,1.1771132237170134,0.8470027519049507,-15.299724809504935
16,9404,56,1.0525005401098053,1.1320018847256104,13.200188472561036,0.8529304241703157,0.9173571042537242,-8.26428957462758,0.5635039234102204,0.6060685757786841,-39.3931424221316,0.6801490499915573,0.7315245713835463,-26.847542861645373
17,6402,56,0.7490181417765293,1.0071144139366943,0.7114413936694327,0.5746559120214771,0.7726705399659543,-22.732946003404574,0.34512811045449254,0.464052170844691,-53.59478291553089,0.4146333611088097,0.5575075037318485,-44.24924962681514
18,4253,55,0.46103698098701573,0.8364539603090978,-16.354603969090224,0.3732313623567295,0.6771492614030425,-32.28507385969574,0.1722419263505395,0.3124964967424907,-68.75035032575093,0.21644288548648524,0.3926897759010744,-60.73102240989255
19,1846,51,0.1341792154599006,0.17310664188399902,-82.6893358116001,0.1500408392204633,0.1935699633798608,-80.64300366201392,0.07062547064478523,0.09111499134118412,-90.8885008658816,0.06339760331508734,0.08179021002435649,-91.82097899756435
