hour,site_count,row_samples,site_avg_nrmse_pct,site_median_nrmse_pct,site_p90_nrmse_pct,active_site_avg_nrmse_pct,avg_zero_actual_ratio_pct,city_nrmse_pct
6,68,8296,3.831164926470588,1.8887635,6.5840649000000075,8.6808621875,84.78784960294118,1.31739
7,68,8296,5.710574117647059,3.9910425,8.371115400000008,8.249899000000001,38.27145610294117,4.296956
8,68,8296,8.178542852941176,7.0481465,12.261871700000002,8.346775571428571,12.512053970588235,4.680552
9,68,8296,11.958599544117646,10.012284000000001,19.004579000000003,11.449700873015873,11.041465735294118,4.951197
10,68,8296,15.288322352941176,12.943987499999999,23.946508200000004,14.341069460317462,10.535197617647057,5.562872
11,68,8296,17.11570205882353,13.957077,26.4342352,16.06262877777778,10.36644163235294,5.918244
12,68,8296,17.903270676470587,15.14437,27.3045425,16.833035142857142,10.209739588235294,5.822959
13,68,8296,17.546593720588234,15.312947000000001,26.545553300000005,16.528506793650795,10.270009588235293,5.737427
14,68,8296,15.067699573529413,12.942237500000001,22.6959984,14.332143857142858,10.390549632352942,5.704641
15,68,8296,10.769788794117646,8.9947345,15.140511100000005,10.253559142857144,10.595467647058824,3.779414
16,68,8296,6.836758455882353,5.414925,11.082924800000008,6.757039730158731,12.427675970588234,2.428684
17,68,8296,4.197758176470589,2.1901075,6.677477400000002,6.455315532258064,54.676952779411764,2.357395
18,68,8296,3.8747458235294117,1.81439,8.597989700000012,7.3544738260869575,84.4141755,1.524616
19,68,8296,3.518678088235294,1.8348465,6.684229300000006,16.92782157142857,91.64657663235295,1.433977
