hour,V2_wape_pct,V3_wape_pct,V2_mape_raw_mean,V3_mape_raw_mean,V2_mape_clipped,V3_mape_clipped,V2_city_rel_err,V3_city_rel_err,V2_n_gt100,V3_n_gt100,V2_n_gt200,V3_n_gt200,improved_wape,improved_mape
6,95.87,95.84,74.32,73.37,46.74,46.67,95.53,95.5,0,0,0,0,True,True
7,79.23,77.28,63.29,60.16,40.76,38.63,76.18,73.98,0,0,0,0,True,True
8,52.24,44.48,47.41,41.21,43.92,42.05,44.75,22.65,0,0,0,0,True,True
9,35.73,35.38,36.15,36.27,38.15,45.41,21.15,7.76,0,0,0,0,True,False
10,29.52,30.48,31.49,32.29,35.7,44.84,14.23,9.9,0,0,0,0,False,False
11,28.67,26.76,30.81,28.48,35.55,41.57,14.74,3.83,0,0,0,0,True,True
12,29.85,26.6,32.14,28.47,38.33,43.7,15.98,0.42,0,0,0,0,True,True
13,30.82,28.44,32.56,29.96,39.35,46.34,14.0,3.51,0,0,0,0,True,True
14,32.23,30.96,34.07,32.8,40.31,48.56,16.37,3.78,0,0,0,0,True,True
15,34.79,39.47,34.83,40.74,37.91,49.89,18.09,8.43,0,0,0,0,False,False
16,50.15,48.06,43.42,40.6,38.92,38.91,35.49,21.63,0,0,0,0,True,True
17,77.2,75.53,55.36,51.9,36.3,34.86,72.46,64.5,0,0,0,0,True,True
18,93.41,93.04,66.82,59.05,44.61,43.15,92.16,90.59,2,2,0,0,True,True
19,95.81,94.71,81.42,79.13,63.79,61.55,95.77,94.08,1,1,0,0,True,True
