hour,n_dates,n_sites,n_samples,site_mape_raw_mean,site_mape_raw_median,site_mape_raw_p75,site_mape_raw_p90,site_mape_clipped_mean,site_wape_mean,capacity_weighted_mape,city_total_rel_err_mean,city_total_rel_err_median,city_total_rel_err_p75,city_total_rel_err_p90,city_wape_mean,city_wape_median,city_mape_mean,n_site_hour_gt_100,n_site_hour_gt_200,worst_site,worst_site_err,city_actual_mean_mw,city_pred_mean_mw,bias_pct
6,123,45,1143,74.17480026521457,79.097341734355,86.81932527359434,98.8755465644235,46.72204145580276,95.86586398800347,84.14216927019166,95.50044304371549,96.03010255501489,96.25954195624294,97.36699490604978,95.81861769729414,96.05606307281737,74.611444067672,0,0,华能灌云光伏,100.0,10.15211382113821,0.4546048715099314,-95.52206683731839
7,123,53,4309,63.28794936534199,64.57082473666925,75.27946864187818,82.74169735395508,40.76432902743449,79.22652605979911,73.0370676029827,81.92860082687176,86.38886770960616,92.08259429971218,94.55705846480147,84.7171015979484,89.50046968938436,73.77594610265164,0,0,协鑫南岗光伏,97.43860608365968,16.462682926829267,3.921951048764256,-76.17672000246908
8,122,53,6174,41.52465885586731,36.85331869453242,46.31037236523628,57.124174290634556,40.280204045316864,45.450772150882216,53.4661843129532,38.12535437883618,38.500649851237924,50.9158612642138,56.335457957894,50.39563800044109,46.71718111100954,56.997286083844614,0,0,富云四队光伏,78.75026099425376,37.135737704918036,25.041036842172907,-32.568898883469274
9,122,53,6289,34.52196720976768,32.676272324306375,37.86051906189116,46.71707905516962,37.37973363408064,34.58433835986664,48.073903293455096,27.300626089974056,22.804397353268193,36.49893240435255,56.625108123679055,40.00744481275449,35.24698419855173,46.95676030779938,0,0,首耀新海光伏,54.5117343913885,62.06745901639344,50.376632475902255,-18.835677705773925
10,122,53,6326,31.238644679031736,28.078077326970835,35.79361243838412,43.40051597564898,35.50521189214454,29.353329510050862,42.644340700990234,22.890099696306844,16.39344758685941,31.56766116250144,49.03146479470144,35.25918488307483,29.55891756392746,41.763962882399454,0,0,沐恒东海产业园光伏,52.21417716245328,81.49975409836067,70.16180886009064,-13.91163122355738
11,122,53,6339,28.133695981777322,25.442424077155952,27.637577090931266,38.4370236803036,36.25847453606314,26.892997417708703,50.52238002054522,17.9284423657583,13.732028598755694,24.128645165492074,38.271967367963235,31.858913646104163,27.54492737015167,44.961349643529154,0,0,泰富如意情光伏,62.711442352438404,94.76409836065575,85.25197833056035,-10.037683252041207
12,122,53,6352,29.42410755021721,26.391983732500623,29.653143062187187,40.02182273417339,39.47147067289855,28.115336241455523,51.19610002919245,18.790797096733524,14.599170795854565,23.55723912086446,39.38370145111314,33.752962534404716,27.25657372070797,47.36760750814403,0,0,富云四队光伏,66.31979414779772,98.07622950819672,86.73253715158651,-11.566199489410588
13,122,53,6345,30.27564362791717,28.61436695400716,31.51876382659135,40.075991992295336,39.67967452652436,29.664623200492606,51.96719328085756,20.250631325234895,15.044617669272839,26.76595654623016,40.67086749636744,35.61604979116488,29.907526273682166,47.12406196390424,0,0,泰富如意情光伏,59.48177667564729,90.655,80.8449762898897,-10.821271535061822
14,122,53,6334,30.85099453299676,29.552658647264423,31.838735625395387,39.67695284569128,40.9096637782287,30.427610139785266,57.15122494224466,22.230316212326894,15.965615923637227,25.61702819202779,52.39957137931458,37.75198636457707,30.02426291362557,51.50873864956155,0,0,泰富如意情光伏,63.34389487035455,76.47762295081968,68.04427339208877,-11.02721192596967
15,122,53,6313,33.70884863287658,30.01889114668421,40.20518160673501,45.947083061055,36.299272316036074,34.10611934486599,45.90240567796565,25.13533117026465,17.00706610677694,36.341561817773155,58.75046586285662,39.62833786489255,35.18086388711241,43.44105072749679,0,0,富云四队光伏,63.238544332572864,54.17295081967213,45.016952345401734,-16.90142097806039
16,122,53,6173,43.42302001050188,37.97742052614518,52.02565648902755,65.59800669354117,38.916113895669454,50.146861994767946,53.50194403765205,41.71764443357176,36.25174124112621,51.1553595354011,77.93632440622167,55.697137057991746,49.633864529259185,53.235608468755814,0,0,协鑫南岗光伏,81.5012242698533,29.95991803278689,19.32595225267287,-35.49397487829122
17,122,53,3180,55.362454671401764,50.194276903156165,67.40397031172716,85.75347557189117,36.29594179421398,77.1986141409829,76.70985240640327,80.76504933412481,89.28246294328517,92.78101044361085,94.1201356177123,84.28574139087497,91.85920250606328,76.83366233125943,0,0,华筑泰宝光伏,97.86205476742286,14.19983606557377,3.910346766363735,-72.46202879874072
18,122,49,1143,66.81944253193181,58.219781912266185,88.1116657936867,99.92440534592123,44.60950904765446,93.41321156804885,90.43044628266206,86.67000127180171,94.97647854597885,95.71566185130753,96.30006743134737,87.64026080219242,95.36009999995693,73.7424465504758,2,0,夏源银得隆光伏,179.98489695940202,9.056147540983607,0.7097241391265502,-92.16306783966701
19,122,15,682,81.41529543715323,97.44099054056488,99.89796789442195,99.95761881344174,63.78535653717683,95.81216406054803,81.66712488717451,89.4901716120019,95.91621501256483,96.96923563363346,97.8740608685278,89.52313061801743,95.91688908874167,72.61502892550158,1,0,华能裕灌光伏,136.0254777233608,8.784180327868853,0.3711429084299639,-95.77487147830436
