site_id,site_name,hour,samples,capacity_mw,mae_mw,rmse_mw,nrmse_pct,active_nrmse_pct,zero_actual_ratio_pct,bias_pct,pred_actual
S002,S002,6,122,3.3,0.356803,0.590305,17.888026,27.139532,55.737705,-100.0,0.0
S002,S002,7,122,3.3,0.39271,0.59239,17.951221,21.881504,7.377049,-98.157408,0.018426
S002,S002,8,122,3.3,0.400236,0.571529,17.319058,17.551923,0.819672,-55.218574,0.447814
S002,S002,9,122,3.3,0.326449,0.43578,13.205465,12.997807,0.819672,-6.723401,0.932766
S002,S002,10,122,3.3,0.292636,0.402716,12.203521,11.461506,0.819672,12.85673,1.128567
S002,S002,11,122,3.3,0.372008,0.45931,13.9185,13.529696,0.819672,6.002111,1.060021
S002,S002,12,122,3.3,0.392982,0.497446,15.074129,15.136194,0.0,-1.013088,0.989869
S002,S002,13,122,3.3,0.343888,0.440536,13.349583,13.349583,0.0,4.330149,1.043301
S002,S002,14,122,3.3,0.277231,0.352694,10.687692,10.731765,0.0,6.023794,1.060238
S002,S002,15,122,3.3,0.293369,0.376522,11.409765,11.456715,0.0,-9.846279,0.901537
S002,S002,16,122,3.3,0.318769,0.493774,14.96285,15.344134,0.0,-40.20603,0.59794
S002,S002,17,122,3.3,0.313812,0.557053,16.880394,23.664076,31.147541,-85.183038,0.14817
S002,S002,18,122,3.3,0.185877,0.38528,11.675164,21.79761,71.311475,-99.417126,0.005829
S002,S002,19,122,3.3,0.186967,0.38642,11.7097,21.862089,71.311475,-100.0,0.0
S003,S003,6,122,4.1667,0.077,0.077,1.847985,,100.0,,
S003,S003,7,122,4.1667,0.079179,0.082727,1.985442,,100.0,,
S003,S003,8,122,4.1667,0.224493,0.286669,6.879996,,100.0,,
S003,S003,9,122,4.1667,0.494345,0.554397,13.305415,,100.0,,
S003,S003,10,122,4.1667,0.680494,0.746173,17.908015,,100.0,,
S003,S003,11,122,4.1667,0.81571,0.88884,21.33198,,100.0,,
S003,S003,12,122,4.1667,0.868179,0.94346,22.642851,,100.0,,
S003,S003,13,122,4.1667,0.831192,0.89577,21.498314,,100.0,,
S003,S003,14,122,4.1667,0.675872,0.732937,17.590358,,100.0,,
S003,S003,15,122,4.1667,0.502675,0.555125,13.322891,,100.0,,
S003,S003,16,122,4.1667,0.304764,0.343993,8.255759,,100.0,,
S003,S003,17,122,4.1667,0.078463,0.138548,3.325129,,100.0,,
S003,S003,18,122,4.1667,0.078746,0.079898,1.917538,,100.0,,
S003,S003,19,122,4.1667,0.077,0.077,1.847985,,100.0,,
S004,S004,6,122,3.97,0.00123,0.007299,0.18386,,96.721311,-100.0,0.0
S004,S004,7,122,3.97,0.074941,0.149375,3.762604,7.141734,46.721311,-89.547206,0.104528
S004,S004,8,122,3.97,0.22574,0.280644,7.069108,7.543096,2.459016,-20.585109,0.794149
