hour,site_id,site_name,county,capacity_mw,n_samples,actual_mean,pred_mean,bias_pct,avg_rel_err_raw,wape,mape,is_low_power_site_hour,is_problem,problem_type,problem_reason
6,S002,华筑泰宝光伏,连云区,3.3,54,0.8061111111111109,0.0046137450584545405,-99.43,98.33,99.43,98.33,False,True,systematic_underestimate,系统性低估
6,S017,富云四队光伏,灌云县,0.954,30,0.15000000000000002,0.020939999999999983,-86.04,86.04,86.04,86.04,False,True,systematic_underestimate,系统性低估
6,S018,国能百菇源光伏,灌云县,5.1,13,0.05461538461538463,0.009369561306113652,-82.84,72.01,82.84,72.01,True,True,systematic_underestimate,系统性低估
6,S019,首耀新海光伏,海州区,3.0,31,2.3422580645161295,0.021736774193548372,-99.07,97.83,99.09,97.83,False,True,systematic_underestimate,系统性低估
6,S024,兴怡紧固件光伏,赣榆区,5.99,13,0.04692307692307692,0.0049444819902826976,-89.46,84.07,89.46,84.07,True,True,systematic_underestimate,系统性低估
6,S033,天瀚万发光伏,海州区,5.688,14,0.08,0.009779013795074811,-87.78,75.52,87.78,75.52,True,True,systematic_underestimate,系统性低估
6,S040,华电苏班光伏,赣榆区,5.96,13,0.08076923076923077,0.010037600496608085,-87.57,85.02,87.57,85.02,True,True,systematic_underestimate,系统性低估
6,S042,国能联合动力光伏,连云区,3.724,11,0.05363636363636364,0.009117026450327278,-83.0,81.56,83.0,81.56,True,True,systematic_underestimate,系统性低估
6,S049,华能灌云光伏,灌云县,14.1,11,0.09454545454545454,0.0,-100.0,100.0,100.0,100.0,True,True,systematic_underestimate,系统性低估
6,S050,沐恒东海产业园光伏,东海县,2.55,53,0.06867924528301887,0.013010419408719784,-81.06,80.12,83.95,80.12,True,True,systematic_underestimate,系统性低估
6,S051,鲲鹏德宇光伏,灌云县,5.025,10,0.42800000000000005,0.005965041498571195,-98.61,79.09,98.61,79.09,False,True,systematic_underestimate,系统性低估
6,S053,鹰游新立成光伏电站,灌云县,13.33,123,5.540000000000001,0.1055895275254679,-98.09,98.09,98.09,98.09,False,True,systematic_underestimate,系统性低估
6,S054,鸿天伍江光伏,连云区,11.272,12,0.1441666666666667,0.01575981023792068,-89.07,82.89,89.07,82.89,True,True,systematic_underestimate,系统性低估
6,S059,首耀清墩光伏,海州区,2.0,114,0.38912280701754387,0.0036770349131911447,-99.06,95.85,99.06,95.85,False,True,systematic_underestimate,系统性低估
6,S060,华电蒙然源光伏,赣榆区,5.84,15,0.07733333333333334,0.00894167236409059,-88.44,82.0,88.44,82.0,True,True,systematic_underestimate,系统性低估
6,S062,韩华大浦光伏电站,连云区,4.45368,10,0.038,0.0015954907638058504,-95.8,95.71,95.8,95.71,True,True,systematic_underestimate,系统性低估
6,S071,协鑫南岗光伏,灌云县,20.0,82,4.007439024390244,0.0062354508317002885,-99.84,98.04,99.84,98.04,False,True,systematic_underestimate,系统性低估
6,S073,华能裕灌光伏,灌南县,15.0,26,0.105,0.09795412789416841,-6.71,251.66,75.44,251.66,True,True,low_power_denominator,低功率分母放大效应
6,S074,华能中林二期光伏,灌云县,4.0,17,0.04352941176470588,0.0084216841167007,-80.65,66.38,80.65,66.38,True,True,systematic_underestimate,系统性低估
7,S002,华筑泰宝光伏,连云区,3.3,113,0.43194690265486724,0.023196773070844057,-94.63,84.28,94.77,84.28,False,True,systematic_underestimate,系统性低估
7,S017,富云四队光伏,灌云县,0.954,69,0.07449275362318838,0.023799999999999977,-68.05,91.3,82.66,91.3,False,True,normal,正常
7,S019,首耀新海光伏,海州区,3.0,102,0.7787254901960786,0.05330243312380882,-93.16,74.34,93.46,74.34,False,True,systematic_underestimate,系统性低估
7,S037,华能中林三期光伏,灌云县,5.946,44,0.16113636363636363,0.027775518438757772,-82.76,81.6,82.76,81.6,True,True,systematic_underestimate,系统性低估
7,S049,华能灌云光伏,灌云县,14.1,83,0.41891566265060237,0.07864873389968643,-81.23,90.68,81.43,90.68,True,True,systematic_underestimate,系统性低估
7,S053,鹰游新立成光伏电站,灌云县,13.33,123,5.540000000000001,0.6916941842997505,-87.51,87.51,87.51,87.51,False,True,systematic_underestimate,系统性低估
7,S059,首耀清墩光伏,海州区,2.0,118,0.38805084745762697,0.03167974875447873,-91.84,88.85,91.98,88.85,False,True,systematic_underestimate,系统性低估
7,S071,协鑫南岗光伏,灌云县,20.0,88,3.8546590909090908,0.09873300345020454,-97.44,90.91,97.44,90.91,False,True,systematic_underestimate,系统性低估
7,S073,华能裕灌光伏,灌南县,15.0,104,0.6411538461538462,0.18254744678954435,-71.53,101.91,73.83,101.91,True,True,low_power_denominator,低功率分母放大效应
16,S071,协鑫南岗光伏,灌云县,20.0,120,3.11025,0.8196426950394133,-73.65,91.66,81.5,91.66,False,True,normal,正常
17,S002,华筑泰宝光伏,连云区,3.3,84,0.5199999999999999,0.011312161926191293,-97.82,82.89,97.86,82.89,False,True,systematic_underestimate,系统性低估
17,S017,富云四队光伏,灌云县,0.954,47,0.09999999999999996,0.023634042553191466,-76.37,94.36,84.32,94.36,False,True,normal,正常
17,S019,首耀新海光伏,海州区,3.0,69,1.04536231884058,0.0992695846764931,-90.5,75.9,91.46,75.9,False,True,systematic_underestimate,系统性低估
17,S023,连洋徐圩光伏,连云区,16.37,47,0.5859574468085106,0.5564166173568671,-5.04,102.7,43.53,102.7,True,True,low_power_denominator,低功率分母放大效应
17,S025,夏源银得隆光伏,灌南县,5.65,49,0.2626530612244898,0.3025444181004319,15.19,119.45,53.9,119.45,True,True,low_power_denominator,低功率分母放大效应
17,S031,富云杨集光伏,灌云县,0.9222,31,0.05258064516129033,0.007425195826632444,-85.88,91.05,85.88,91.05,False,True,systematic_underestimate,系统性低估
17,S039,沐恒腾东光伏,东海县,3.45,60,0.07633333333333331,0.008633379564168661,-88.69,76.02,89.2,76.02,True,True,systematic_underestimate,系统性低估
17,S051,鲲鹏德宇光伏,灌云县,5.025,77,0.28363636363636363,0.05332349347309925,-81.2,64.27,81.71,64.27,False,True,systematic_underestimate,系统性低估
17,S053,鹰游新立成光伏电站,灌云县,13.33,122,5.540000000000001,0.8169544291239188,-85.25,85.25,85.25,85.25,False,True,systematic_underestimate,系统性低估
17,S059,首耀清墩光伏,海州区,2.0,120,0.3896666666666667,0.013678847723009594,-96.49,95.26,96.49,95.26,False,True,systematic_underestimate,系统性低估
17,S071,协鑫南岗光伏,灌云县,20.0,89,3.7996629213483146,0.13200478211976718,-96.53,94.8,97.11,94.8,False,True,systematic_underestimate,系统性低估
17,S073,华能裕灌光伏,灌南县,15.0,80,0.5109999999999999,0.3002959602087016,-41.23,227.28,58.83,227.28,True,True,low_power_denominator,低功率分母放大效应
18,S002,华筑泰宝光伏,连云区,3.3,35,0.6517142857142858,3.6981905125959694e-05,-99.99,100.0,99.99,100.0,False,True,systematic_underestimate,系统性低估
18,S017,富云四队光伏,灌云县,0.954,30,0.14800000000000002,0.019379999999999988,-86.91,86.84,86.91,86.84,False,True,systematic_underestimate,系统性低估
18,S019,首耀新海光伏,海州区,3.0,29,2.4200000000000004,0.024152831540274852,-99.0,99.0,99.0,99.0,False,True,systematic_underestimate,系统性低估
18,S039,沐恒腾东光伏,东海县,3.45,12,0.03166666666666667,0.0,-100.0,100.0,100.0,100.0,True,True,systematic_underestimate,系统性低估
18,S050,沐恒东海产业园光伏,东海县,2.55,55,0.06727272727272729,0.013421069022074317,-80.05,89.89,88.11,89.89,True,True,systematic_underestimate,系统性低估
18,S051,鲲鹏德宇光伏,灌云县,5.025,23,0.49869565217391293,0.012983985399405106,-97.4,86.96,97.4,86.96,False,True,systematic_underestimate,系统性低估
18,S053,鹰游新立成光伏电站,灌云县,13.33,99,5.539999999999999,0.298659115513428,-94.61,94.61,94.61,94.61,False,True,systematic_underestimate,系统性低估
18,S059,首耀清墩光伏,海州区,2.0,118,0.3816949152542371,0.0003552613136927052,-99.91,99.41,99.91,99.41,False,True,systematic_underestimate,系统性低估
18,S068,富云下车光伏,灌云县,1.223,11,0.024545454545454547,6.41840355150966e-05,-99.74,99.68,99.74,99.68,True,True,systematic_underestimate,系统性低估
18,S071,协鑫南岗光伏,灌云县,20.0,83,3.9602409638554215,0.013475802293634983,-99.66,94.11,99.7,94.11,False,True,systematic_underestimate,系统性低估
18,S073,华能裕灌光伏,灌南县,15.0,21,0.13095238095238093,0.18512366284147364,41.37,443.37,75.03,443.37,True,True,low_power_denominator,低功率分母放大效应
19,S002,华筑泰宝光伏,连云区,3.3,35,0.6517142857142858,0.00021411359991263838,-99.97,99.96,99.97,99.96,False,True,systematic_underestimate,系统性低估
19,S017,富云四队光伏,灌云县,0.954,30,0.14800000000000002,0.015999999999999976,-89.19,89.1,89.19,89.1,False,True,systematic_underestimate,系统性低估
19,S019,首耀新海光伏,海州区,3.0,29,2.4200000000000004,0.01599999999999998,-99.34,99.34,99.34,99.34,False,True,systematic_underestimate,系统性低估
