site_id,hour,valid_rows,alpha,k,valid_before_nrmse_pct,valid_after_nrmse_pct,improvement_pp
S002,10,62,1.0,0.88,22.2248,20.3208,1.904
S002,11,62,1.0,0.88,24.9912,22.9801,2.0111
S002,12,62,1.0,0.88,26.1752,23.8299,2.3453
S002,13,62,1.0,0.88,24.7386,22.1841,2.5545
S002,14,62,1.0,0.88,22.8676,20.8633,2.0043
S004,11,62,1.0,1.04,17.9063,17.6865,0.2198
S004,12,62,0.0,1.12,18.7839,18.4003,0.3835
S004,13,62,0.1,1.12,18.3715,18.0025,0.369
S004,14,61,0.1,1.12,17.7972,17.5301,0.2671
S006,10,61,1.0,0.88,16.7325,13.0077,3.7248
S006,11,62,1.0,0.88,17.8807,13.7701,4.1106
S006,12,62,1.0,0.88,18.6243,14.3738,4.2505
S006,13,61,1.0,0.88,19.3321,15.2189,4.1131
S006,14,61,1.0,0.88,17.5182,13.7601,3.758
S008,10,62,1.0,1.12,20.9961,18.9573,2.0388
S008,11,62,1.0,1.12,24.1616,22.3409,1.8206
S008,12,62,1.0,1.12,26.3025,25.1132,1.1892
S008,13,62,1.0,1.12,28.7991,27.5913,1.2078
S008,14,61,1.0,1.12,24.9322,23.0747,1.8575
S009,10,62,1.0,1.12,17.339,16.1498,1.1893
S009,11,62,1.0,1.12,18.5908,17.0127,1.5781
S009,12,62,1.0,1.12,17.4562,15.2528,2.2034
S009,13,62,1.0,1.12,19.5392,17.9485,1.5907
S009,14,62,1.0,1.12,20.5793,18.9819,1.5974
S010,11,62,1.0,0.96,16.4476,16.2555,0.192
S010,13,62,1.0,0.96,19.6899,19.5234,0.1665
S011,11,62,0.85,0.92,17.2556,16.9391,0.3165
S011,12,62,1.0,0.96,17.3859,17.1945,0.1915
S012,10,62,1.0,0.88,12.662,11.2788,1.3832
S012,11,62,1.0,0.88,13.5329,12.1025,1.4304
S012,12,62,1.0,0.88,14.0417,12.3342,1.7075
S012,13,61,1.0,0.88,15.3494,13.8461,1.5034
S012,14,61,1.0,0.88,13.8523,12.4948,1.3575
S014,10,61,0.0,0.92,16.2783,15.946,0.3322
S014,11,60,0.0,0.92,15.9571,15.6311,0.326
S014,13,59,0.7,0.92,17.1293,16.8284,0.3009
S014,14,60,0.85,0.92,17.5597,17.1307,0.429
S016,10,60,0.0,0.92,14.9811,14.6439,0.3372
S016,11,61,0.85,0.92,16.0185,15.5552,0.4633
S016,12,61,0.7,0.92,18.0737,17.6846,0.3891
S016,13,60,0.0,0.92,15.6675,15.3594,0.3081
S017,10,62,1.0,1.12,30.4949,28.6408,1.8541
S017,11,62,1.0,1.12,32.9221,30.9471,1.975
S017,12,62,1.0,1.12,32.2758,30.213,2.0628
S017,13,62,1.0,1.12,31.4297,29.1446,2.2851
S017,14,62,1.0,1.12,27.86,25.8891,1.971
S018,10,62,1.0,0.96,16.1833,15.9312,0.2522
S018,11,61,0.2,0.88,21.8066,21.1035,0.7031
S018,12,61,0.0,0.88,16.9123,16.1237,0.7886
S018,13,61,0.35,0.92,20.7557,20.4877,0.268
S018,14,60,1.0,0.92,18.6286,18.1133,0.5153
S019,10,56,0.5,1.12,25.6548,25.2494,0.4054
S019,12,56,0.35,1.08,26.3074,26.1274,0.1799
S019,13,56,1.0,1.04,23.4499,23.2686,0.1812
S020,10,62,0.0,1.12,16.0425,15.2926,0.7498
S020,11,62,0.0,1.12,17.6302,16.5084,1.1218
S020,12,62,0.7,1.12,15.8557,14.5279,1.3278
S020,13,62,0.0,1.12,17.8769,17.025,0.8519
S020,14,62,0.0,1.12,17.5326,16.7833,0.7492
S021,10,61,1.0,1.12,19.3655,17.4606,1.9049
S021,11,61,1.0,1.12,21.0172,18.9822,2.035
S021,12,62,1.0,1.12,20.7611,17.9003,2.8607
S021,13,62,1.0,1.12,22.1983,20.0891,2.1092
S021,14,62,1.0,1.12,20.4649,18.4925,1.9724
S022,10,62,1.0,1.12,23.2535,21.0605,2.193
S022,11,62,1.0,1.12,25.8173,23.2642,2.5531
S022,12,62,1.0,1.12,25.4496,22.6127,2.8369
S022,13,62,1.0,1.12,27.9239,25.4022,2.5217
S022,14,62,1.0,1.12,24.5137,22.4344,2.0793
S023,10,62,0.0,0.96,12.7957,12.6376,0.1581
S023,11,62,1.0,0.96,13.2871,13.1234,0.1637
S024,14,61,1.0,0.96,15.5585,15.3866,0.1719
S025,10,62,0.2,0.88,14.1603,13.0802,1.08
S025,11,62,0.7,0.88,17.7,16.4888,1.2112
S025,12,62,1.0,0.88,17.1983,15.7532,1.4451
S025,13,62,1.0,0.88,19.2696,17.5202,1.7494
S025,14,61,1.0,0.88,18.2228,17.0334,1.1894
S028,10,61,0.85,1.12,17.0751,16.246,0.8292
