ghi_bin,month,n_samples,raw_factor,final_factor,fallback_reason
0,7,6031,1.4,1.3955,full_shrinkage
0,8,6663,1.4,1.3959,full_shrinkage
1,7,2726,1.1319,1.1407,full_shrinkage
1,8,3353,1.2218,1.224,full_shrinkage
2,7,1992,1.2474,1.2486,full_shrinkage
2,8,3057,1.1566,1.163,full_shrinkage
3,7,3342,1.1013,1.1103,full_shrinkage
3,8,2881,1.1312,1.1396,full_shrinkage
4,7,3503,1.0771,1.087,full_shrinkage
4,8,3007,1.047,1.0603,full_shrinkage
5,7,5509,1.01,1.0188,full_shrinkage
5,8,4142,1.0141,1.0254,full_shrinkage
6,7,2105,1.0204,1.0412,full_shrinkage
6,8,433,1.0083,1.0879,full_shrinkage
