site_id,month,pr_month_new,pr_month_final,pr_count,pr_month_old,pr_diff
S002,4,0.8656282497359977,0.78,6,0.78,0.0
S002,5,0.95,0.95,203,0.78,0.16999999999999993
S002,6,0.5529126438828166,0.5529126438828166,164,0.78,0.22708735611718345
S003,1,0.48696481063449726,0.48696481063449726,190,0.78,0.29303518936550277
S003,2,0.46056413708726135,0.46056413708726135,223,0.78,0.3194358629127387
S003,3,0.5174271111944957,0.5174271111944957,317,0.78,0.26257288880550433
S003,4,0.4784832045298455,0.4784832045298455,384,0.78,0.30151679547015453
S003,5,0.1,0.1,407,0.78,0.68
S003,6,0.6972857628874349,0.6972857628874349,369,0.78,0.08271423711256509
S003,7,0.7961786049328909,0.7961786049328909,126,0.78,0.016178604932890917
S003,8,0.82426751631186,0.82426751631186,174,0.78,0.04426751631185999
S003,9,0.745324726790284,0.745324726790284,265,0.78,0.03467527320971597
S003,10,0.706456593337524,0.706456593337524,251,0.78,0.07354340666247605
S003,11,0.6744914742955677,0.6744914742955677,166,0.78,0.10550852570443237
S003,12,0.4874141485874446,0.4874141485874446,154,0.78,0.29258585141255544
S004,4,0.6437758492201935,0.6437758492201935,48,0.78,0.13622415077980654
S004,5,0.6169309542398425,0.6169309542398425,203,0.78,0.16306904576015757
S004,6,0.6988797326940155,0.6988797326940155,164,0.78,0.08112026730598454
S006,4,0.1,0.78,16,0.78,0.0
S006,5,0.25291348095153626,0.25291348095153626,195,0.78,0.5270865190484637
S006,6,0.2411175808537453,0.2411175808537453,162,0.78,0.5388824191462547
S007,1,0.95,0.95,277,0.78,0.16999999999999993
S007,2,0.95,0.95,323,0.78,0.16999999999999993
S007,3,0.8635793673160298,0.8635793673160298,506,0.78,0.08357936731602977
S007,4,0.8636446042573653,0.8636446042573653,572,0.78,0.08364460425736531
S007,5,0.83435967107422,0.83435967107422,592,0.78,0.05435967107422002
S007,6,0.7906937739528794,0.7906937739528794,544,0.78,0.010693773952879404
S007,7,0.7930720118355288,0.7930720118355288,269,0.78,0.013072011835528752
S007,8,0.9014232938777713,0.9014232938777713,353,0.78,0.12142329387777129
S007,9,0.8602196944047696,0.8602196944047696,265,0.78,0.08021969440476961
S007,10,0.95,0.95,244,0.78,0.16999999999999993
S007,11,0.95,0.95,160,0.78,0.16999999999999993
S007,12,0.95,0.95,142,0.78,0.16999999999999993
S008,4,0.95,0.95,217,0.78,0.16999999999999993
S008,5,0.95,0.95,197,0.78,0.16999999999999993
S008,6,0.95,0.95,152,0.78,0.16999999999999993
S009,1,,0.78,0,0.78,0.0
S009,2,,0.78,0,0.78,0.0
S009,3,,0.78,0,0.78,0.0
S009,4,,0.78,0,0.78,0.0
S009,5,,0.78,0,0.78,0.0
S009,6,,0.78,0,0.78,0.0
S009,10,,0.78,0,0.78,0.0
S009,11,,0.78,0,0.78,0.0
S009,12,,0.78,0,0.78,0.0
S010,1,0.5068469312114421,0.5068469312114421,277,0.78,0.27315306878855794
S010,2,0.5260341842674,0.5260341842674,324,0.78,0.2539658157326
S010,3,0.6810342345966267,0.6810342345966267,504,0.78,0.09896576540337332
S010,4,0.7549957605242581,0.7549957605242581,570,0.78,0.02500423947574193
S010,5,0.775106498130594,0.775106498130594,587,0.78,0.0048935018694060695
S010,6,0.8064809219609674,0.8064809219609674,541,0.78,0.026480921960967407
S010,7,0.8507635610349108,0.8507635610349108,271,0.78,0.07076356103491077
S010,8,0.8956762439490966,0.8956762439490966,354,0.78,0.11567624394909659
S010,9,0.8233817117329186,0.8233817117329186,267,0.78,0.043381711732918604
S010,10,0.7993813313721361,0.7993813313721361,246,0.78,0.019381331372136046
S010,11,0.7669391652485384,0.7669391652485384,162,0.78,0.01306083475146158
S010,12,0.6430416047815078,0.6430416047815078,143,0.78,0.13695839521849218
S011,1,0.5618114078048071,0.5618114078048071,288,0.78,0.21818859219519293
S011,2,0.6041042115818092,0.6041042115818092,319,0.78,0.17589578841819087
S011,3,0.6492308371870208,0.6492308371870208,496,0.78,0.13076916281297923
S011,4,0.6872483131998541,0.6872483131998541,559,0.78,0.0927516868001459
S011,5,0.695692820359403,0.695692820359403,579,0.78,0.08430717964059697
S011,6,0.7179678302551089,0.7179678302551089,515,0.78,0.06203216974489112
S011,7,0.7548842028534217,0.7548842028534217,251,0.78,0.0251157971465783
S011,8,0.791309703707333,0.791309703707333,357,0.78,0.011309703707332974
