version,site_id,hour,rows,capacity_mw,site_hour_nrmse_pct,mae_mw,rmse_mw
final,S002,6,54,3.3,26.866252,0.804738,0.886586
final,S002,7,113,3.3,17.594306,0.359877,0.580612
final,S002,8,121,3.3,14.348212,0.309937,0.473491
final,S002,9,121,3.3,12.000483,0.312288,0.396016
final,S002,10,121,3.3,11.434215,0.282379,0.377329
final,S002,11,121,3.3,13.057993,0.316031,0.430914
final,S002,12,122,3.3,14.937686,0.371006,0.492944
final,S002,13,122,3.3,13.725254,0.340167,0.452933
final,S002,14,122,3.3,11.50173,0.283485,0.379557
final,S002,15,122,3.3,12.106775,0.314013,0.399524
final,S002,16,122,3.3,14.225037,0.316256,0.469426
final,S002,17,84,3.3,20.62836,0.480955,0.680736
final,S002,18,35,3.3,21.785142,0.647771,0.71891
final,S002,19,35,3.3,21.862089,0.651714,0.721449
final,S004,6,4,3.97,0.878651,0.03149,0.034882
final,S004,7,65,3.97,2.84139,0.081376,0.112803
final,S004,8,119,3.97,5.36501,0.159339,0.212991
final,S004,9,121,3.97,9.022844,0.270177,0.358207
final,S004,10,119,3.97,13.268738,0.433658,0.526769
final,S004,11,122,3.97,14.468753,0.470317,0.57441
final,S004,12,121,3.97,16.587792,0.52543,0.658535
final,S004,13,122,3.97,16.669643,0.533143,0.661785
final,S004,14,122,3.97,15.318083,0.512597,0.608128
final,S004,15,120,3.97,9.456309,0.303356,0.375415
final,S004,16,111,3.97,5.784554,0.180845,0.229647
final,S004,17,35,3.97,4.494576,0.118312,0.178435
final,S004,18,3,3.97,1.059939,0.035931,0.04208
final,S007,6,13,22.0,0.901997,0.174824,0.198439
final,S007,7,96,22.0,3.500973,0.588389,0.770214
final,S007,8,120,22.0,8.328436,1.421812,1.832256
final,S007,9,122,22.0,12.343073,2.255333,2.715476
final,S007,10,122,22.0,13.585095,2.236219,2.988721
final,S007,11,122,22.0,14.831051,2.35269,3.262831
final,S007,12,122,22.0,13.539436,2.236734,2.978676
final,S007,13,122,22.0,15.57426,2.693051,3.426337
final,S007,14,122,22.0,11.274718,1.813482,2.480438
final,S007,15,122,22.0,8.400661,1.267867,1.848145
final,S007,16,122,22.0,3.85688,0.605166,0.848514
final,S007,17,59,22.0,1.964803,0.288774,0.432257
final,S007,18,12,22.0,0.8096,0.146303,0.178112
final,S008,6,19,3.172,1.070694,0.025791,0.033962
final,S008,7,105,3.172,3.863544,0.075539,0.122552
final,S008,8,122,3.172,7.462386,0.165584,0.236707
final,S008,9,121,3.172,10.675994,0.241264,0.338643
final,S008,10,122,3.172,13.939325,0.347439,0.442155
final,S008,11,122,3.172,15.098332,0.347716,0.478919
final,S008,12,122,3.172,14.788876,0.352031,0.469103
final,S008,13,122,3.172,16.549375,0.368401,0.524946
final,S008,14,122,3.172,12.817314,0.318604,0.406565
final,S008,15,122,3.172,9.487235,0.199125,0.300935
final,S008,16,122,3.172,6.717216,0.127094,0.21307
final,S008,17,84,3.172,2.306982,0.048259,0.073177
final,S008,18,14,3.172,0.793367,0.020506,0.025166
final,S009,6,23,5.25,2.218301,0.100404,0.116461
final,S009,7,87,5.25,3.13303,0.113426,0.164484
final,S009,8,122,5.25,7.166959,0.280502,0.376265
final,S009,9,121,5.25,11.3964,0.472283,0.598311
final,S009,10,122,5.25,14.034234,0.557978,0.736797
final,S009,11,122,5.25,17.661333,0.671214,0.92722
final,S009,12,122,5.25,17.159356,0.677562,0.900866
final,S009,13,122,5.25,16.57815,0.667778,0.870353
final,S009,14,122,5.25,14.496262,0.59947,0.761054
final,S009,15,122,5.25,9.52871,0.391547,0.500257
final,S009,16,122,5.25,6.006291,0.260937,0.31533
final,S009,17,78,5.25,3.630927,0.129579,0.190624
final,S009,18,22,5.25,2.158299,0.09139,0.113311
final,S009,19,5,5.25,2.805889,0.118,0.147309
final,S010,6,48,2.0,0.531256,0.010377,0.010625
final,S010,7,92,2.0,2.145996,0.030182,0.04292
final,S010,8,118,2.0,4.69185,0.065065,0.093837
final,S010,9,122,2.0,8.117388,0.119263,0.162348
