metric,current,backup,delta,threshold,passed,exceeded
overall_nrmse_pct,19.7105,19.7105,0.0,0.05,True,False
mae_mw,0.58932,0.58932,0.0,0.005,True,False
rmse_mw,1.204699,1.204699,0.0,0.005,True,False
bias_pct,-1.4065,-1.4065,0.0,,True,False
pred_actual_ratio,0.985935,0.985935,0.0,,True,False
rows,68888,68888,0.0,,True,False
n_sites,53,53,0.0,,True,False
midday_10_14h_site_mean_nrmse_pct,14.4806,14.4806,0.0,0.05,True,False
midday_10_14h_city_nrmse_pct,2.4208,2.4208,0.0,,True,False
final_equals_best,True,True,,,True,False
audit_grade_A,True,True,,,True,False
