factor,spearman_corr_with_test_nrmse,valid_site_count
full_history_rows,-0.349605,68
train_valid_daytime_rows,-0.349605,68
train_valid_daytime_positive_rows,-0.302134,68
test_daytime_low_output_ratio_pct,-0.300884,68
full_history_positive_rows,-0.298472,68
test_pred_actual_ratio,0.165172,68
test_bias_pct,0.165172,68
capacity_mw,0.156504,68
test_daytime_zero_ratio_pct,-0.150307,68
test_daytime_positive_rows,0.150307,68
test_daytime_capacity_factor_mean,0.142868,68
train_valid_daytime_capacity_factor_mean,0.064855,68
over_predict_ratio_pct,0.064684,68
capacity_factor_shift,0.045387,68
under_predict_ratio_pct,0.027509,68
train_valid_daytime_zero_ratio_pct,-0.024659,68
test_peak_power_ratio_p95,0.023404,68
full_history_zero_ratio_pct,-0.014658,68
train_valid_daytime_low_output_ratio_pct,0.011299,68
test_daytime_rows,,68
