site_id,site_name,capacity_mw,full_history_rows,full_history_positive_rows,full_history_zero_ratio_pct,train_valid_daytime_rows,train_valid_daytime_positive_rows,train_valid_daytime_zero_rows,train_valid_daytime_zero_ratio_pct,train_valid_daytime_low_output_ratio_pct,train_valid_daytime_capacity_factor_mean,test_daytime_rows,test_daytime_positive_rows,test_daytime_zero_rows,test_daytime_zero_ratio_pct,test_daytime_low_output_ratio_pct,test_daytime_capacity_factor_mean,test_mae_mw,test_rmse_mw,test_nrmse_pct,test_bias_pct,test_pred_actual_ratio,over_predict_ratio_pct,under_predict_ratio_pct,test_peak_power_ratio_p95,capacity_factor_shift
S002,S002,3.3,5893,3095,47.4801,1731,1680,51,2.9463,5.0838,0.289556,1708,1415,293,17.1546,5.6206,0.191906,0.304588,0.462029,14.000888,-16.747997,0.83252,36.3583,47.5995,0.453485,-0.09764999999999999
S003,S003,4.1667,20462,7350,64.0798,10230,7350,2880,28.1525,7.1261,0.184515,1708,0,1708,100.0,0.0,0.0,0.588944,0.830954,19.942747,100591669245522.69,1005916692455.2268,76.5222,0.0,0.0,-0.184515
S004,S004,3.97,6033,2816,53.3234,1811,1632,179,9.884,3.7548,0.313931,1708,1184,524,30.6792,8.0796,0.144861,0.250427,0.400149,10.079316,31.900215,1.319002,61.6511,14.5785,0.471033,-0.16907000000000003
S006,S006,5.0,5935,2360,60.2359,1753,1438,315,17.9692,9.0702,0.108436,1708,922,786,46.0187,11.6511,0.052029,0.426978,0.607184,12.143682,161.645661,2.616457,73.5363,2.4005,0.1745,-0.056407000000000006
S007,S007,22.0,26304,12778,51.4218,13636,11502,2134,15.6498,9.2622,0.294397,1708,1276,432,25.2927,10.8899,0.211585,1.254697,2.100605,9.548206,7.04341,1.070434,43.8525,33.4309,0.694386,-0.08281200000000002
S008,S008,3.172,6588,3365,48.9223,2136,2046,90,4.2135,6.9757,0.416408,1708,1319,389,22.7752,9.9532,0.20643,0.184077,0.317339,10.004374,0.249832,1.002498,42.6815,35.3044,0.630517,-0.209978
S009,S009,5.25,10479,5076,51.5603,4407,3764,643,14.5904,9.3488,0.24882,1708,1312,396,23.185,10.4215,0.160776,0.344094,0.564596,10.754217,16.915181,1.169152,53.2787,26.2295,0.541524,-0.08804400000000001
S010,S010,2.0,26304,12824,51.247,13636,11403,2233,16.3758,10.5823,0.24095,1708,1421,287,16.8033,19.3794,0.147676,0.084913,0.137897,6.894852,15.079294,1.150793,58.7822,27.2834,0.47325,-0.093274
S011,S011,2.323,26304,12968,50.6995,13636,11682,1954,14.3297,11.257,0.221076,1708,1286,422,24.7073,9.5433,0.139772,0.095953,0.169006,7.275349,5.573103,1.055731,45.082,33.4895,0.439087,-0.08130399999999999
S012,S012,17.55,5889,2909,50.6028,1727,1507,220,12.7389,10.9438,0.174871,1708,1402,306,17.9157,60.5972,0.052468,2.097226,3.229583,18.402181,202.641283,3.026413,64.3443,26.5222,0.315242,-0.122403
S014,S014,5.1,5894,2906,50.6956,1732,1645,87,5.0231,8.8337,0.286877,1708,1261,447,26.171,12.178,0.12942,0.309003,0.481034,9.432031,34.035218,1.340352,59.8946,17.5059,0.439804,-0.15745699999999999
S016,S016,8.5,5904,2602,55.9282,1736,1490,246,14.1705,2.4194,0.301807,1708,1062,646,37.822,2.2834,0.137992,0.482367,0.735652,8.654724,27.524634,1.275246,62.2951,13.8173,0.458412,-0.163815
S017,S017,0.954,26304,5982,77.2582,13636,4694,8942,65.5764,2.4201,0.100868,1708,1288,420,24.5902,11.8852,0.081746,0.035363,0.059518,6.238761,-18.141335,0.818587,35.1288,42.74,0.167715,-0.019122
S018,S018,5.1,16094,7763,51.7646,7682,6502,1180,15.3606,7.1336,0.27195,1708,1261,447,26.171,9.4848,0.155283,0.23933,0.416286,8.162468,13.713424,1.137134,52.4005,23.6534,0.5,-0.11666700000000002
S019,S019,3.0,26304,12461,52.627,13636,11104,2532,18.5685,8.2356,0.306641,1708,1357,351,20.5504,6.9087,0.36639,0.534313,0.930844,31.028126,-37.1638,0.628362,31.2061,49.5902,0.806667,0.059749
S020,S020,3.8,8880,4268,51.9369,3472,3013,459,13.22,8.0645,0.269514,1708,1255,453,26.5222,10.0703,0.152014,0.220282,0.363634,9.569327,15.88942,1.158894,50.9368,26.2881,0.494737,-0.11749999999999997
S021,S021,2.2,6392,2904,54.5682,2020,1699,321,15.8911,5.8911,0.281906,1708,1205,503,29.4496,5.9719,0.180205,0.16089,0.248716,11.305276,-1.118059,0.988819,40.9251,35.8899,0.590909,-0.10170099999999999
