site_id,site_name,capacity_mw,full_history_rows,full_history_positive_rows,full_history_zero_ratio_pct,train_valid_daytime_rows,train_valid_daytime_positive_rows,train_valid_daytime_zero_rows,train_valid_daytime_zero_ratio_pct,train_valid_daytime_low_output_ratio_pct,train_valid_daytime_capacity_factor_mean,test_daytime_rows,test_daytime_positive_rows,test_daytime_zero_rows,test_daytime_zero_ratio_pct,test_daytime_low_output_ratio_pct,test_daytime_capacity_factor_mean,test_mae_mw,test_rmse_mw,test_nrmse_pct,test_bias_pct,test_pred_actual_ratio,over_predict_ratio_pct,under_predict_ratio_pct,test_peak_power_ratio_p95,capacity_factor_shift,diagnosis_reason
S019,S019,3.0,26304,12461,52.627,13636,11104,2532,18.5685,8.2356,0.306641,1708,1357,351,20.5504,6.9087,0.36639,0.534313,0.930844,31.028126,-37.1638,0.628362,31.2061,49.5902,0.806667,0.059749,测试期白天0值占比高；训练/测试容量利用率分布漂移；系统性高估/低估明显
S076,S076,5.0,5894,1317,77.6552,1732,1317,415,23.9607,0.8083,0.309724,1708,0,1708,100.0,0.0,0.0,0.926196,1.278113,25.562252,158194356630366.25,1581943566303.6626,75.2927,0.0,0.0,-0.309724,测试期白天0值占比高；训练/测试容量利用率分布漂移；系统性高估/低估明显
S053,S053,13.33,26304,13951,46.9624,13636,12289,1347,9.8783,2.9261,0.256579,1708,1662,46,2.6932,0.0,0.404411,2.596448,3.162384,23.72381,-41.719631,0.582804,15.9251,81.3817,0.415604,0.14783200000000002,训练/测试容量利用率分布漂移；系统性高估/低估明显
S044,S044,8.492,7256,469,93.5364,2528,463,2065,81.6851,1.8196,0.066556,1708,0,1708,100.0,0.0,0.0,1.443713,2.010586,23.676241,246586162353713.44,2465861623537.1343,75.3513,0.0,0.0,-0.066556,测试期白天0值占比高；训练/测试容量利用率分布漂移；系统性高估/低估明显
S069,S069,3.0,5892,0,100.0,1730,0,1730,100.0,0.0,0.0,1708,0,1708,100.0,0.0,0.0,0.494669,0.692997,23.099912,84489454483605.5,844894544836.0549,75.4684,0.0,0.0,0.0,测试期白天0值占比高；系统性高估/低估明显
S045,S045,2.915,6969,1743,74.9892,2357,1583,774,32.8384,17.5223,0.239546,1708,160,1548,90.6323,0.1756,0.027693,0.459907,0.663333,22.75584,541.532565,6.415326,69.1452,6.8501,0.267581,-0.211853,测试期白天0值占比高；训练/测试容量利用率分布漂移；系统性高估/低估明显
S115,S115,7.0,26304,11665,55.6531,13636,10535,3101,22.7413,4.9501,0.291837,1708,1130,578,33.8407,7.0258,0.217882,1.066712,1.526557,21.807954,13.500508,1.135005,42.5644,33.1967,0.750929,-0.07395500000000002,测试期白天0值占比高；训练/测试容量利用率分布漂移
S003,S003,4.1667,20462,7350,64.0798,10230,7350,2880,28.1525,7.1261,0.184515,1708,0,1708,100.0,0.0,0.0,0.588944,0.830954,19.942747,100591669245522.69,1005916692455.2268,76.5222,0.0,0.0,-0.184515,测试期白天0值占比高；训练/测试容量利用率分布漂移；系统性高估/低估明显
S012,S012,17.55,5889,2909,50.6028,1727,1507,220,12.7389,10.9438,0.174871,1708,1402,306,17.9157,60.5972,0.052468,2.097226,3.229583,18.402181,202.641283,3.026413,64.3443,26.5222,0.315242,-0.122403,测试期白天极低出力占比高；训练/测试容量利用率分布漂移；系统性高估/低估明显
S055,S055,4.0,5889,2020,65.6988,1727,517,1210,70.0637,0.579,0.080787,1708,1503,205,12.0023,0.1756,0.085599,0.522703,0.709011,17.725285,97.639261,1.976393,59.719,36.007,0.2775,0.004811999999999997,系统性高估/低估明显
S116,S116,22.0,26304,13038,50.4334,13636,11704,1932,14.1684,10.3036,0.297676,1708,1334,374,21.897,12.5293,0.221832,2.607817,3.734795,16.976339,9.77588,1.097759,40.5738,39.0515,0.717727,-0.075844,测试期白天0值占比高；训练/测试容量利用率分布漂移
S050,S050,2.55,5889,3079,47.7161,1727,1639,88,5.0955,9.612,0.251616,1708,1440,268,15.6909,7.7283,0.093247,0.25243,0.397638,15.593666,84.819633,1.848196,60.7143,25.2927,0.394706,-0.158369,训练/测试容量利用率分布漂移；系统性高估/低估明显
S032,S032,9.335,18000,8013,55.4833,8792,6750,2042,23.2257,13.0914,0.126179,1708,1263,445,26.0539,9.9532,0.16613,0.888311,1.393058,14.922953,-50.38803,0.49612,18.1499,58.2553,0.529888,0.039950999999999987,测试期白天0值占比高；系统性高估/低估明显
S037,S037,5.946,5936,762,87.1631,1754,3,1751,99.829,0.0,0.000473,1708,759,949,55.5621,3.63,0.112857,0.50206,0.877921,14.7649,50.884804,1.508848,52.3419,22.7752,0.489405,0.112384,测试期白天0值占比高；训练/测试容量利用率分布漂移；系统性高估/低估明显
S059,S059,2.0,26304,12838,51.1937,13636,11131,2505,18.3705,9.7683,0.215204,1708,1677,31,1.815,1.2295,0.203267,0.243474,0.283428,14.171382,-32.006533,0.679935,30.9719,67.7986,0.205,-0.011937000000000003,系统性高估/低估明显
