site_id,hour,rows,zero_ratio_pct,actual_mean_mw,pred_mean_mw,rmse_mw,nrmse_pct
S003,6,122,100.0,0.0,0.012101,0.034515,0.82835
S003,7,122,100.0,0.0,0.084814,0.116878,2.805039
S003,8,122,100.0,0.0,0.380982,0.448917,10.773923
S003,9,122,100.0,0.0,0.721489,0.800888,19.22116
S003,10,122,100.0,0.0,1.041904,1.137459,27.298795
S003,11,122,100.0,0.0,1.214173,1.316675,31.59995
S003,12,122,100.0,0.0,1.287034,1.387188,33.292247
S003,13,122,100.0,0.0,1.213868,1.305628,31.334814
S003,14,122,100.0,0.0,1.031737,1.118095,26.834075
S003,15,122,100.0,0.0,0.720468,0.799101,19.178264
S003,16,122,100.0,0.0,0.406868,0.470491,11.291696
S003,17,122,100.0,0.0,0.113861,0.200563,4.813476
S003,18,122,100.0,0.0,0.015917,0.048031,1.152737
S003,19,122,100.0,0.0,0.0,0.0,0.0
S019,6,122,74.5902,0.595164,0.010652,1.178691,39.289688
S019,7,122,16.3934,0.651066,0.097503,1.118506,37.28352
S019,8,122,0.0,0.937131,0.409516,0.963089,32.102979
S019,9,122,0.0,1.29377,0.846489,0.859237,28.641224
S019,10,122,0.8197,1.582787,1.302956,0.740417,24.680557
S019,11,122,0.0,1.758361,1.438014,0.689886,22.996188
S019,12,122,0.0,1.770164,1.514475,0.6595,21.983317
S019,13,122,0.0,1.701639,1.449634,0.676927,22.564249
S019,14,122,0.0,1.461639,1.244294,0.724631,24.154361
S019,15,122,0.0,1.112459,0.826509,0.816921,27.230712
S019,16,122,0.0,0.782459,0.435586,0.917961,30.598698
S019,17,122,43.4426,0.59123,0.084334,1.064403,35.480094
S019,18,122,76.2295,0.575246,0.009499,1.160563,38.685429
S019,19,122,76.2295,0.575246,0.0,1.179871,39.329026
S053,6,122,0.0,5.54,0.117712,5.435782,40.778557
S053,7,122,0.0,5.54,2.065888,3.537219,26.535779
S053,8,122,0.0,5.54,3.109957,2.538017,19.039885
S053,9,122,0.0,5.54,3.991082,1.84268,13.823555
S053,10,122,0.0,5.54,5.269834,1.396009,10.472687
S053,11,122,0.0,5.54,5.509716,1.397534,10.484126
S053,12,122,0.0,5.54,5.537089,1.374799,10.313569
S053,13,122,0.0,5.54,5.344062,1.305285,9.792082
S053,14,122,0.0,5.54,4.906401,1.30425,9.784325
S053,15,122,0.0,5.54,3.624059,2.09912,15.747336
S053,16,122,0.0,5.54,2.924877,2.698285,20.242198
S053,17,122,0.0,5.54,1.310221,4.443509,33.33465
S053,18,122,18.8525,4.495574,0.273965,4.751696,35.646631
S053,19,122,18.8525,4.495574,0.0,4.990539,37.438401
S115,6,122,100.0,0.0,0.0,0.0,0.0
S115,7,122,36.8852,0.408607,0.320525,0.947082,13.529736
S115,8,122,16.3934,1.071885,1.186072,1.097068,15.672398
S115,9,122,12.2951,1.881475,2.109989,1.562213,22.317323
S115,10,122,11.4754,2.488279,3.208991,2.022813,28.897326
S115,11,122,10.6557,3.170984,3.600357,2.232172,31.888171
S115,12,122,10.6557,3.214754,3.842324,2.309314,32.990194
S115,13,122,9.0164,2.949016,3.519757,2.133746,30.482092
S115,14,122,8.1967,2.558197,3.17712,1.890874,27.012484
S115,15,122,7.377,1.968115,2.134659,1.427187,20.388379
S115,16,122,11.4754,0.977131,1.135356,1.133682,16.195463
S115,17,122,54.918,0.398607,0.0,1.103251,15.760731
S115,18,122,84.4262,0.26541,0.0,1.004687,14.352677
S115,19,122,100.0,0.0,0.0,0.0,0.0
S116,6,122,89.3443,0.017377,0.0,0.090345,0.410661
S116,7,122,21.3115,0.726967,1.088311,0.899951,4.090684
S116,8,122,0.0,3.409016,3.8086,2.34322,10.650998
S116,9,122,0.0,6.870082,6.724201,3.885487,17.661303
S116,10,122,0.0,8.884344,10.103084,5.243728,23.835127
S116,11,122,0.0,10.319016,11.019514,5.738405,26.083657
S116,12,122,0.0,10.712131,11.232939,5.923891,26.926778
S116,13,122,0.0,10.336803,10.871857,5.64498,25.659002
S116,14,122,0.0,8.359672,9.737112,5.072952,23.058874
S116,15,122,0.0,5.630164,6.796503,3.896889,17.71313
S116,16,122,0.0,2.54541,3.62144,2.185713,9.935057
S116,17,122,18.8525,0.471557,0.0,0.881516,4.006889
S116,18,122,77.8689,0.041475,0.0,0.12907,0.586681
S116,19,122,99.1803,0.000246,0.0,0.002716,0.012346
