site_id,month,rows,zero_ratio_pct,low_output_ratio_pct,actual_sum_mwh,pred_sum_mwh,pred_actual_ratio,rmse_mw,nrmse_pct
S003,2025-09,420,100.0,0.0,0.0,309.828892,309828891767.98,0.980208,23.524794
S003,2025-10,434,100.0,0.0,0.0,252.54409,252544090404.99634,0.828733,19.88944
S003,2025-11,420,100.0,0.0,0.0,272.091118,272091117674.58057,0.902176,21.652043
S003,2025-12,434,100.0,0.0,0.0,171.452593,171452592607.66998,0.559568,13.429523
S019,2025-09,420,0.4762,0.0,1006.78,286.563619,0.284634,1.826607,60.886902
S019,2025-10,434,22.5806,12.4424,251.89,269.405659,1.069537,0.304488,10.149615
S019,2025-11,420,26.4286,8.8095,332.9,333.263802,1.001093,0.220169,7.338963
S019,2025-12,434,32.2581,6.2212,285.81,290.441172,1.016204,0.203693,6.78977
S053,2025-09,420,0.0,0.0,2326.8,1578.098144,0.678227,2.869133,21.523881
S053,2025-10,434,0.0,0.0,2404.36,1409.800388,0.586352,3.122928,23.427815
S053,2025-11,420,0.0,0.0,2326.8,1404.640861,0.603679,3.376972,25.333623
S053,2025-12,434,10.5991,0.0,2149.52,973.613942,0.452945,3.256125,24.427048
S115,2025-09,420,28.5714,7.1429,559.06,773.603753,1.383758,1.531061,21.872305
S115,2025-10,434,25.1152,13.8249,569.83,787.745048,1.382421,1.526904,21.812917
S115,2025-11,420,35.2381,4.5238,781.6,688.311639,0.880644,1.336444,19.092054
S115,2025-12,434,46.3134,2.5346,694.51,707.027796,1.018024,1.686037,24.086245
S116,2025-09,420,12.8571,14.7619,1895.05,2391.548393,1.261998,4.167359,18.94254
S116,2025-10,434,20.5069,15.6682,1701.4,2436.272933,1.431922,4.286004,19.481835
S116,2025-11,420,23.5714,11.6667,2468.41,2132.579652,0.863949,2.96287,13.467589
S116,2025-12,434,30.4147,8.0645,2270.7,2190.033381,0.964475,3.350067,15.227578
