site_id,site_name,capacity_mw,full_history_rows,full_history_positive_rows,full_history_zero_ratio_pct,train_valid_rows,train_valid_positive_rows,train_valid_zero_ratio_pct,train_valid_low_output_ratio_pct,train_valid_capacity_factor_mean,train_valid_capacity_factor_p95,test_rows,test_positive_rows,test_zero_ratio_pct,test_low_output_ratio_pct,test_capacity_factor_mean,test_capacity_factor_p95,test_mae_mw,test_rmse_mw,test_nrmse_pct,test_bias_pct,test_pred_actual_ratio,over_predict_ratio_pct,under_predict_ratio_pct,test_actual_sum_mwh,test_pred_sum_mwh,capacity_factor_shift_mean,capacity_factor_shift_p95,diagnosis_group
S002,华筑泰宝光伏,3.3,5893,3095,47.4801,1731,1680,2.9463,5.0838,0.289556,0.951515,1708,1415,17.1546,5.6206,0.191906,0.453485,0.304588,0.462029,14.000888,-16.747997,0.83252,36.3583,47.5995,1081.66,900.503612,-0.09764999999999999,-0.49803,other
S003,京运通西湖光伏电站,4.1667,20462,7350,64.0798,10230,7350,28.1525,7.1261,0.184515,0.573595,1708,0,100.0,0.0,0.0,0.0,0.588944,0.830954,19.942747,100591669245522.69,1005916692455.2268,76.5222,0.0,0.0,1005.916692,-0.184515,-0.573595,high_sample_bad
S004,旭樱东堡光伏,3.97,6033,2816,53.3234,1811,1632,9.884,3.7548,0.313931,0.741814,1708,1184,30.6792,8.0796,0.144861,0.471033,0.250427,0.400149,10.079316,31.900215,1.319002,61.6511,14.5785,982.27,1295.616243,-0.16907000000000003,-0.270781,other
S006,沐恒石湖光伏,5.0,5935,2360,60.2359,1753,1438,17.9692,9.0702,0.108436,0.252,1708,922,46.0187,11.6511,0.052029,0.1745,0.426978,0.607184,12.143682,161.645661,2.616457,73.5363,2.4005,444.33,1162.570167,-0.056407000000000006,-0.07750000000000001,other
S007,林洋朝阳光伏,22.0,26304,12778,51.4218,13636,11502,15.6498,9.2622,0.294397,0.797273,1708,1276,25.2927,10.8899,0.211585,0.694386,1.254697,2.100605,9.548206,7.04341,1.070434,43.8525,33.4309,7950.52,8510.507759,-0.08281200000000002,-0.10288700000000006,other
S008,协鑫盛昌光伏,3.172,6588,3365,48.9223,2136,2046,4.2135,6.9757,0.416408,0.946564,1708,1319,22.7752,9.9532,0.20643,0.630517,0.184077,0.317339,10.004374,0.249832,1.002498,42.6815,35.3044,1118.39,1121.184093,-0.209978,-0.31604699999999997,other
S009,华电金叶光伏,5.25,10479,5076,51.5603,4407,3764,14.5904,9.3488,0.24882,0.704762,1708,1312,23.185,10.4215,0.160776,0.541524,0.344094,0.564596,10.754217,16.915181,1.169152,53.2787,26.2295,1441.68,1685.542783,-0.08804400000000001,-0.163238,other
S010,易睐珂浦南光伏,2.0,26304,12824,51.247,13636,11403,16.3758,10.5823,0.24095,0.7,1708,1421,16.8033,19.3794,0.147676,0.47325,0.084913,0.137897,6.894852,15.079294,1.150793,58.7822,27.2834,504.46,580.529007,-0.093274,-0.22674999999999995,other
S011,中森西苑光伏,2.323,26304,12968,50.6995,13636,11682,14.3297,11.257,0.221076,0.615583,1708,1286,24.7073,9.5433,0.139772,0.439087,0.095953,0.169006,7.275349,5.573103,1.055731,45.082,33.4895,554.57,585.476759,-0.08130399999999999,-0.176496,other
S012,泰富如意情光伏,17.55,5889,2909,50.6028,1727,1507,12.7389,10.9438,0.174871,0.50849,1708,1402,17.9157,60.5972,0.052468,0.315242,2.097226,3.229583,18.402181,202.641283,3.026413,64.3443,26.5222,1572.74,4759.760517,-0.122403,-0.19324799999999998,other
S014,鲲鹏昇昌光伏,5.1,5894,2906,50.6956,1732,1645,5.0231,8.8337,0.286877,0.686275,1708,1261,26.171,12.178,0.12942,0.439804,0.309003,0.481034,9.432031,34.035218,1.340352,59.8946,17.5059,1127.35,1511.046035,-0.15745699999999999,-0.246471,low_sample_good
S016,衡航亚新光伏,8.5,5904,2602,55.9282,1736,1490,14.1705,2.4194,0.301807,0.733235,1708,1062,37.822,2.2834,0.137992,0.458412,0.482367,0.735652,8.654724,27.524634,1.275246,62.2951,13.8173,2003.37,2554.790263,-0.163815,-0.274823,low_sample_good
S017,富云四队光伏,0.954,26304,5982,77.2582,13636,4694,65.5764,2.4201,0.100868,0.566038,1708,1288,24.5902,11.8852,0.081746,0.167715,0.035363,0.059518,6.238761,-18.141335,0.818587,35.1288,42.74,133.2,109.035742,-0.019122,-0.39832300000000004,other
S018,国能百菇源光伏,5.1,16094,7763,51.7646,7682,6502,15.3606,7.1336,0.27195,0.731373,1708,1261,26.171,9.4848,0.155283,0.5,0.23933,0.416286,8.162468,13.713424,1.137134,52.4005,23.6534,1352.64,1538.133261,-0.11666700000000002,-0.23137300000000005,other
S019,首耀新海光伏,3.0,26304,12461,52.627,13636,11104,18.5685,8.2356,0.306641,0.826667,1708,1357,20.5504,6.9087,0.36639,0.806667,0.534313,0.930844,31.028126,-37.1638,0.628362,31.2061,49.5902,1877.38,1179.674251,0.059749,-0.020000000000000018,high_sample_bad
S020,国能赫睿光伏,3.8,8880,4268,51.9369,3472,3013,13.22,8.0645,0.269514,0.692105,1708,1255,26.5222,10.0703,0.152014,0.494737,0.220282,0.363634,9.569327,15.88942,1.158894,50.9368,26.2881,986.63,1143.399782,-0.11749999999999997,-0.197368,other
S021,国能鑫江源光伏,2.2,6392,2904,54.5682,2020,1699,15.8911,5.8911,0.281906,0.790909,1708,1205,29.4496,5.9719,0.180205,0.590909,0.16089,0.248716,11.305276,-1.118059,0.988819,40.9251,35.8899,677.14,669.569177,-0.10170099999999999,-0.19999999999999996,other
S022,浦西光伏电站,3.24,26304,12131,53.8815,13636,10818,20.6659,10.4869,0.158706,0.515432,1708,1313,23.1265,10.2459,0.188781,0.58642,0.241584,0.376581,11.622865,-31.188843,0.688112,20.4918,58.3138,1044.7,718.870153,0.03007499999999999,0.07098800000000005,other
S023,连洋徐圩光伏,16.37,26304,12323,53.1516,13636,11088,18.6858,8.8296,0.187526,0.530849,1708,1235,27.6932,11.9438,0.123895,0.412737,0.568361,0.968107,5.913912,2.739753,1.027398,41.3934,35.4801,3464.1,3559.007793,-0.063631,-0.118112,other
S024,兴怡紧固件光伏,5.99,21320,9476,55.5535,10728,8216,23.4154,8.2401,0.215228,0.63773,1708,1260,26.2295,10.4801,0.131905,0.42571,0.301627,0.490831,8.194175,-4.274678,0.957253,32.904,43.4426,1349.51,1291.822799,-0.08332300000000001,-0.21202000000000004,other
S025,夏源银得隆光伏,5.65,14335,6458,54.9494,6653,5217,21.5842,5.0053,0.246063,0.715044,1708,1241,27.3419,7.0258,0.163002,0.509735,0.259451,0.430898,7.626506,2.323784,1.023238,42.9742,32.9625,1573.0,1609.553126,-0.083061,-0.20530899999999996,other
