site_id,hour,calibrated_ratio,n,calibration_level
S002,6,1.15,62.0,4
S002,7,1.15,62.0,4
S002,8,1.0153230370408621,62.0,4
S002,9,0.9830528202650133,62.0,4
S002,10,1.0060559411905174,62.0,4
S002,11,0.9610286412415212,62.0,4
S002,12,0.9385597553467906,62.0,4
S002,13,0.9360029991020418,62.0,4
S002,14,1.009664952766845,62.0,4
S002,15,1.0269543326536266,62.0,4
S002,16,1.0258685938532839,62.0,4
S002,17,1.0988063267224573,62.0,4
S002,18,1.15,62.0,4
S002,19,1.15,62.0,4
S003,6,0.85,62.0,1
S003,7,0.85,62.0,1
S003,8,0.85,62.0,1
S003,9,0.85,62.0,1
S003,10,0.85,62.0,1
S003,11,0.85,62.0,1
S003,12,0.85,62.0,1
S003,13,0.85,62.0,1
S003,14,0.85,62.0,1
S003,15,0.85,62.0,1
S003,16,0.85,62.0,1
S003,17,0.85,62.0,1
S003,18,0.85,62.0,1
S003,19,0.8997083981972321,62.0,1
S004,6,1.15,62.0,4
S004,7,1.15,62.0,4
S004,8,1.1166904866735186,62.0,4
S004,9,1.0664069423582616,62.0,4
S004,10,1.0366733775501076,62.0,4
S004,11,1.0418001836627702,62.0,4
S004,12,1.0430062142934828,62.0,4
S004,13,1.0419880041103229,62.0,4
S004,14,1.0487336722883573,62.0,4
S004,15,1.0818984985918867,62.0,4
S004,16,1.10165753782006,62.0,4
S004,17,1.0870452203751868,62.0,4
S004,18,1.1206192485570523,62.0,4
S004,19,0.85,62.0,4
S006,6,0.9230763365738456,62.0,1
S006,7,0.952032447947414,62.0,1
S006,8,0.9445271155293726,62.0,1
S006,9,0.8923243988068899,62.0,1
S006,10,0.8742717944496696,62.0,1
S006,11,0.877456676792637,62.0,1
S006,12,0.8719313107932101,62.0,1
S006,13,0.8617719999546994,62.0,1
S006,14,0.8702935593378684,62.0,1
S006,15,0.8968909133456344,62.0,1
S006,16,0.9845120149207588,62.0,1
S006,17,0.9764633760144326,62.0,1
S006,18,1.0948271262182152,62.0,1
S006,19,0.85,62.0,1
S007,6,1.15,62.0,1
S007,7,1.0249562587894059,62.0,1
S007,8,1.006164951081856,62.0,1
S007,9,0.9972588294266699,62.0,1
S007,10,1.007345360425949,62.0,1
S007,11,1.0160726182956346,62.0,1
S007,12,1.0188623486030404,62.0,1
S007,13,1.0126988384966717,62.0,1
S007,14,1.0014726138220158,62.0,1
S007,15,1.0116646968831027,62.0,1
S007,16,1.036743848379401,62.0,1
S007,17,0.9877127035958873,62.0,1
S007,18,1.0048930142344819,62.0,1
S007,19,1.15,62.0,1
S008,6,1.15,62.0,4
S008,7,1.0954754251717325,62.0,4
S008,8,1.0824125267198141,62.0,4
S008,9,1.0827317617729602,62.0,4
S008,10,1.070785210508268,62.0,4
S008,11,1.0750688891990712,62.0,4
S008,12,1.06299398327781,62.0,4
S008,13,1.0709603506873813,62.0,4
S008,14,1.087209221762385,62.0,4
S008,15,1.0768262656524175,62.0,4
S008,16,1.107307241968377,62.0,4
S008,17,1.0595280920613623,62.0,4
S008,18,1.037957375803228,62.0,4
S008,19,0.9653553808154665,62.0,4
S009,6,1.0380207975699598,62.0,1
S009,7,1.15,62.0,1
S009,8,1.15,62.0,1
S009,9,1.15,62.0,1
S009,10,1.1153942974354127,62.0,1
S009,11,1.1016118687045993,62.0,1
S009,12,1.0998387393889668,62.0,1
S009,13,1.1022365530545788,62.0,1
S009,14,1.1289621290364271,62.0,1
S009,15,1.15,62.0,1
S009,16,1.15,62.0,1
S009,17,1.15,62.0,1
S009,18,1.15,62.0,1
S009,19,0.8581541940854965,62.0,1
S010,6,1.0988827230095457,62.0,4
S010,7,1.0231761710258505,62.0,4
S010,8,0.9982636255483963,62.0,4
S010,9,1.0044152714474954,62.0,4
S010,10,1.0064766838122952,62.0,4
S010,11,1.006483739145139,62.0,4
S010,12,1.0204232816617724,62.0,4
S010,13,1.0062418753214792,62.0,4
S010,14,1.0234766462599871,62.0,4
S010,15,1.0059551853082391,62.0,4
S010,16,1.027641944323196,62.0,4
S010,17,1.0317873610427886,62.0,4
S010,18,0.9670720190116134,62.0,4
S010,19,0.9764380357926796,62.0,4
S011,6,1.15,62.0,1
S011,7,1.1447881586806452,62.0,1
S011,8,1.0183849481134852,62.0,1
S011,9,1.0181509547197352,62.0,1
S011,10,1.0100076636672033,62.0,1
S011,11,1.0032596066516206,62.0,1
S011,12,1.0053114805593115,62.0,1
S011,13,1.020183270768468,62.0,1
S011,14,1.0339280092579002,62.0,1
S011,15,1.0255833188775871,62.0,1
S011,16,1.0369778601340873,62.0,1
S011,17,1.0836381918332814,62.0,1
S011,18,1.15,62.0,1
S011,19,1.15,62.0,1
S012,6,1.15,62.0,4
S012,7,0.9841382044459327,62.0,4
S012,8,0.9747037658781861,62.0,4
S012,9,0.9419562244089543,62.0,4
S012,10,0.9579703825346888,62.0,4
S012,11,0.9630783917829384,62.0,4
S012,12,0.9537530249438353,62.0,4
S012,13,0.9509888476376034,62.0,4
S012,14,0.9509631086685018,62.0,4
S012,15,0.9753138321202877,62.0,4
S012,16,1.0030000964819836,62.0,4
S012,17,0.9933507761430665,62.0,4
S012,18,1.0444801891307458,62.0,4
S012,19,1.0076170919171594,62.0,4
S014,6,1.15,62.0,4
S014,7,1.1147031151837592,62.0,4
S014,8,1.0644528689991546,62.0,4
S014,9,1.0106632450831887,62.0,4
S014,10,0.9925135417434936,62.0,4
S014,11,0.9869105382070894,62.0,4
S014,12,0.9937342456065865,62.0,4
S014,13,0.9779844308587812,62.0,4
S014,14,0.979536089816471,62.0,4
S014,15,0.9948794466207342,62.0,4
S014,16,1.064311697160756,62.0,4
S014,17,1.063824001136487,62.0,4
S014,18,1.1296272179835216,62.0,4
S014,19,1.15,62.0,4
S016,6,1.15,62.0,4
S016,7,1.0768503300481433,62.0,4
S016,8,0.99803447825823,62.0,4
S016,9,0.9921902831367515,62.0,4
S016,10,0.9761336931053062,62.0,4
S016,11,0.9736634187293384,62.0,4
S016,12,0.9735377450272197,62.0,4
S016,13,0.9758413662231494,62.0,4
S016,14,0.9891379731400118,62.0,4
S016,15,0.9922476922296287,62.0,4
S016,16,1.0107645492053245,62.0,4
S016,17,1.0900751637891117,62.0,4
S016,18,1.0576520475529598,62.0,4
S016,19,0.85,62.0,4
S017,6,1.15,62.0,4
S017,7,1.15,62.0,4
S017,8,1.148794274263965,62.0,4
S017,9,1.1346201103178606,62.0,4
S017,10,1.1108334599374943,62.0,4
S017,11,1.108610437895464,62.0,4
S017,12,1.0811648408491656,62.0,4
S017,13,1.0773950293459071,62.0,4
S017,14,1.0878304662983722,62.0,4
S017,15,1.0681638734805694,62.0,4
S017,16,1.098519383575952,62.0,4
S017,17,1.1237197626012105,62.0,4
S017,18,1.15,62.0,4
S017,19,1.15,62.0,4
S018,6,1.097699665429263,62.0,4
S018,7,1.0252213803278194,62.0,4
S018,8,1.0016915084711546,62.0,4
S018,9,0.9925046563399637,62.0,4
S018,10,0.993286258211942,62.0,4
S018,11,0.971641072082892,62.0,4
S018,12,0.9668979780979543,62.0,4
S018,13,0.9780810275338954,62.0,4
S018,14,0.9729128700376483,62.0,4
S018,15,0.9759782230936059,62.0,4
S018,16,0.9929095354559873,62.0,4
S018,17,1.0273843953169992,62.0,4
S018,18,0.9571795923547951,62.0,4
S018,19,0.85,62.0,4
S019,6,1.15,62.0,1
S019,7,1.15,62.0,1
S019,8,1.0679562172834953,62.0,1
S019,9,1.021710174618463,62.0,1
S019,10,1.0296095909372545,62.0,1
S019,11,1.0175687668656754,62.0,1
S019,12,1.0202377949115697,62.0,1
S019,13,1.0163539826021257,62.0,1
S019,14,1.021258960407035,62.0,1
S019,15,1.0479825184494627,62.0,1
S019,16,1.0765934316302856,62.0,1
S019,17,1.15,62.0,1
S019,18,1.15,62.0,1
S019,19,1.15,62.0,1
S020,6,0.9471855106989484,62.0,4
S020,7,1.15,62.0,4
S020,8,1.15,62.0,4
S020,9,1.15,62.0,4
S020,10,1.15,62.0,4
S020,11,1.15,62.0,4
S020,12,1.15,62.0,4
S020,13,1.15,62.0,4
S020,14,1.15,62.0,4
S020,15,1.15,62.0,4
S020,16,1.15,62.0,4
S020,17,1.15,62.0,4
S020,18,1.0416779454211471,62.0,4
S020,19,0.85,62.0,4
S021,6,0.8899195100704986,62.0,4
S021,7,1.15,62.0,4
S021,8,1.15,62.0,4
S021,9,1.15,62.0,4
S021,10,1.15,62.0,4
S021,11,1.15,62.0,4
S021,12,1.15,62.0,4
S021,13,1.15,62.0,4
S021,14,1.15,62.0,4
S021,15,1.15,62.0,4
S021,16,1.15,62.0,4
S021,17,1.15,62.0,4
S021,18,0.9582608738576073,62.0,4
S021,19,0.85,62.0,4
S022,6,1.065144052958041,62.0,1
S022,7,1.1254979687445765,62.0,1
S022,8,1.15,62.0,1
S022,9,1.15,62.0,1
S022,10,1.15,62.0,1
S022,11,1.15,62.0,1
S022,12,1.1467517454839478,62.0,1
S022,13,1.15,62.0,1
S022,14,1.15,62.0,1
S022,15,1.15,62.0,1
S022,16,1.15,62.0,1
S022,17,1.15,62.0,1
S022,18,1.006589223892725,62.0,1
S022,19,0.8583357975326935,62.0,1
S023,6,1.1480703020894323,62.0,1
S023,7,1.0001092472423758,62.0,1
S023,8,0.9838162279265554,62.0,1
S023,9,0.9967286805426984,62.0,1
S023,10,0.9927206746214999,62.0,1
S023,11,0.9917383063094518,62.0,1
S023,12,1.015193010682749,62.0,1
S023,13,1.0059183402519793,62.0,1
S023,14,1.006327902101607,62.0,1
S023,15,0.984980668304581,62.0,1
S023,16,1.0139866268296216,62.0,1
S023,17,1.005620677553495,62.0,1
S023,18,0.9863222808299816,62.0,1
S023,19,0.85,62.0,1
S024,6,1.1110469137364363,62.0,4
S024,7,1.0147649834538792,62.0,4
S024,8,1.0248409500860545,62.0,4
S024,9,1.0116560762596334,62.0,4
S024,10,1.0160736623428663,62.0,4
S024,11,1.0091822341183831,62.0,4
S024,12,1.0081059041936826,62.0,4
S024,13,0.9938693558382998,62.0,4
S024,14,0.9860080048904302,62.0,4
S024,15,0.9956085386885456,62.0,4
S024,16,1.0394772650236348,62.0,4
S024,17,1.0393512137144163,62.0,4
S024,18,1.0124678816603851,62.0,4
S024,19,1.1279439750149376,62.0,4
S025,6,1.0037210444712028,62.0,4
S025,7,0.9929768707860067,62.0,4
S025,8,0.9814624043828308,62.0,4
