hour,n_sites,n_rows,mae_MW,rmse_MW,nrmse_pct,bias_MW,capacity_sum_MW,actual_sum_MWh,pred_sum_MWh,pred_actual_ratio,scope
6,68,8296,0.1538,0.8001,0.2058,-0.1394,388.7,1251.69,95.21,0.0761,全部站点
6,18,2196,0.0125,0.0443,0.0321,0.0057,138.12,17.0,29.5,1.735,有效站点
7,68,8296,0.2236,0.7138,0.1836,-0.1837,388.7,2295.29,770.95,0.3359,全部站点
7,18,2196,0.1763,0.4788,0.3467,-0.1348,138.12,509.36,213.32,0.4188,有效站点
8,68,8296,0.4142,0.8609,0.2215,-0.2158,388.7,5598.14,3807.57,0.6801,全部站点
8,18,2196,0.5651,1.2079,0.8745,-0.3876,138.12,2094.32,1243.09,0.5936,有效站点
9,68,8296,0.6408,1.3437,0.3457,-0.1295,388.7,9618.74,8544.57,0.8883,全部站点
9,18,2196,0.9563,2.1357,1.5463,-0.6317,138.12,4017.34,2630.21,0.6547,有效站点
10,68,8296,0.8221,1.7174,0.4418,-0.0801,388.7,12668.99,12004.13,0.9475,全部站点
10,18,2196,1.1889,2.7143,1.9652,-0.7728,138.12,5402.29,3705.22,0.6859,有效站点
11,68,8296,0.9359,1.968,0.5063,-0.1049,388.7,14773.59,13903.36,0.9411,全部站点
11,18,2196,1.3716,3.1306,2.2666,-0.9291,138.12,6384.49,4344.13,0.6804,有效站点
12,68,8296,0.9692,2.0351,0.5236,-0.0897,388.7,15331.48,14586.99,0.9514,全部站点
12,18,2196,1.3719,3.2066,2.3216,-0.9124,138.12,6585.49,4581.83,0.6957,有效站点
13,68,8296,0.9411,1.9585,0.5039,-0.0594,388.7,14189.79,13697.27,0.9653,全部站点
13,18,2196,1.3629,3.1063,2.249,-0.8458,138.12,6060.68,4203.19,0.6935,有效站点
14,68,8296,0.7953,1.6326,0.42,-0.0958,388.7,11923.45,11128.56,0.9333,全部站点
14,18,2196,1.1399,2.5662,1.8579,-0.7615,138.12,5016.04,3343.85,0.6666,有效站点
15,68,8296,0.564,1.1766,0.3027,-0.103,388.7,8381.38,7527.18,0.8981,全部站点
15,18,2196,0.7812,1.8107,1.3109,-0.5194,138.12,3358.7,2218.06,0.6604,有效站点
16,68,8296,0.3255,0.7391,0.1902,-0.0906,388.7,4473.15,3721.8,0.832,全部站点
16,18,2196,0.3769,0.9066,0.6564,-0.191,138.12,1499.63,1080.26,0.7204,有效站点
17,68,8296,0.1876,0.7243,0.1863,-0.1305,388.7,1924.04,841.79,0.4375,全部站点
17,18,2196,0.1054,0.3665,0.2654,-0.0456,138.12,328.16,227.97,0.6947,有效站点
18,68,8296,0.1364,0.7415,0.1908,-0.1262,388.7,1149.89,102.81,0.0894,全部站点
18,18,2196,0.0253,0.2409,0.1744,-0.0136,138.12,53.24,23.29,0.4375,有效站点
19,68,8296,0.1293,0.7539,0.194,-0.1293,388.7,1072.79,0.0,0.0,全部站点
19,18,2196,0.0008,0.0106,0.0076,-0.0008,138.12,1.71,0.0,0.0,有效站点
