site_id,hour,n_rows,capacity_MW,mae_MW,rmse_MW,nrmse_pct,bias_MW,pred_actual_ratio,exclude_from_ranking,site_status
S002,6,122,3.3,0.3562,0.5898,17.8741,-0.3562,0.0018,是,测试期分布漂移
S002,7,122,3.3,0.3845,0.5874,17.7998,-0.384,0.0401,是,测试期分布漂移
S002,8,122,3.3,0.3954,0.5672,17.1875,-0.35,0.3686,是,测试期分布漂移
S002,9,122,3.3,0.3219,0.425,12.8788,-0.1483,0.8001,是,测试期分布漂移
S002,10,122,3.3,0.276,0.3694,11.1933,-0.0336,0.9627,是,测试期分布漂移
S002,11,122,3.3,0.3408,0.4511,13.6696,-0.0745,0.9281,是,测试期分布漂移
S002,12,122,3.3,0.3895,0.512,15.516,-0.1189,0.8905,是,测试期分布漂移
S002,13,122,3.3,0.3343,0.4392,13.3098,-0.0606,0.9388,是,测试期分布漂移
S002,14,122,3.3,0.269,0.3472,10.522,-0.0862,0.9018,是,测试期分布漂移
S002,15,122,3.3,0.288,0.4022,12.1879,-0.1808,0.7428,是,测试期分布漂移
S002,16,122,3.3,0.3245,0.5203,15.7678,-0.2814,0.4246,是,测试期分布漂移
S002,17,122,3.3,0.3318,0.5649,17.1175,-0.3305,0.077,是,测试期分布漂移
S002,18,122,3.3,0.1858,0.3851,11.6685,-0.1858,0.0061,是,测试期分布漂移
S002,19,122,3.3,0.187,0.3864,11.7097,-0.187,0.0,是,测试期分布漂移
S003,6,122,4.1667,0.0121,0.0345,0.8284,0.0121,,是,测试期无有效发电
S003,7,122,4.1667,0.0788,0.1,2.4006,0.0788,,是,测试期无有效发电
S003,8,122,4.1667,0.3216,0.4094,9.8264,0.3216,,是,测试期无有效发电
S003,9,122,4.1667,0.6977,0.7842,18.8213,0.6977,,是,测试期无有效发电
S003,10,122,4.1667,0.974,1.068,25.6323,0.974,,是,测试期无有效发电
S003,11,122,4.1667,1.1491,1.2566,30.1579,1.1491,,是,测试期无有效发电
S003,12,122,4.1667,1.2233,1.3299,31.9164,1.2233,,是,测试期无有效发电
S003,13,122,4.1667,1.164,1.2582,30.1967,1.164,,是,测试期无有效发电
S003,14,122,4.1667,0.9661,1.0488,25.1705,0.9661,,是,测试期无有效发电
S003,15,122,4.1667,0.7286,0.8057,19.3359,0.7286,,是,测试期无有效发电
S003,16,122,4.1667,0.4492,0.5078,12.1869,0.4492,,是,测试期无有效发电
S003,17,122,4.1667,0.1139,0.2006,4.8135,0.1139,,是,测试期无有效发电
S003,18,122,4.1667,0.0159,0.048,1.1527,0.0159,,是,测试期无有效发电
S003,19,122,4.1667,0.0,0.0,0.0,0.0,,是,测试期无有效发电
S004,6,122,3.97,0.0016,0.0066,0.1655,-0.0005,0.6317,是,测试期分布漂移
S004,7,122,3.97,0.068,0.1372,3.4562,-0.0632,0.2448,是,测试期分布漂移
S004,8,122,3.97,0.1934,0.2457,6.188,-0.1112,0.7144,是,测试期分布漂移
S004,9,122,3.97,0.2288,0.3242,8.1658,0.0171,1.0222,是,测试期分布漂移
S004,10,122,3.97,0.3378,0.4388,11.0521,0.1289,1.1236,是,测试期分布漂移
S004,11,122,3.97,0.3517,0.451,11.3603,0.1313,1.1051,是,测试期分布漂移
S004,12,122,3.97,0.4118,0.548,13.8032,0.1203,1.0902,是,测试期分布漂移
S004,13,122,3.97,0.3903,0.5387,13.5682,0.1703,1.1402,是,测试期分布漂移
S004,14,122,3.97,0.3336,0.4522,11.3893,0.1291,1.1326,是,测试期分布漂移
S004,15,122,3.97,0.2345,0.3254,8.1975,0.0476,1.0718,是,测试期分布漂移
S004,16,122,3.97,0.1207,0.178,4.4836,0.0183,1.0665,是,测试期分布漂移
S004,17,122,3.97,0.0381,0.0968,2.4376,-0.0131,0.762,是,测试期分布漂移
S004,18,122,3.97,0.0018,0.0075,0.1893,0.0001,1.0489,是,测试期分布漂移
S004,19,122,3.97,0.0,0.0,0.0,0.0,,是,测试期分布漂移
S006,6,122,5.0,0.0006,0.0018,0.0361,0.0006,,是,系统性偏差
S006,7,122,5.0,0.022,0.0357,0.7141,0.0082,1.7171,是,系统性偏差
S006,8,122,5.0,0.1718,0.2432,4.8631,0.1272,2.0275,是,系统性偏差
S006,9,122,5.0,0.4575,0.5384,10.7672,0.43,2.4597,是,系统性偏差
S006,10,122,5.0,0.7903,0.9571,19.1411,0.7741,2.7294,是,系统性偏差
S006,11,122,5.0,1.0223,1.1968,23.936,0.9963,2.7341,是,系统性偏差
S006,12,122,5.0,1.1232,1.2934,25.8677,1.0773,2.7913,是,系统性偏差
S006,13,122,5.0,1.0272,1.2113,24.227,0.9969,2.7047,是,系统性偏差
S006,14,122,5.0,0.6635,0.8112,16.2235,0.6168,2.2733,是,系统性偏差
S006,15,122,5.0,0.3543,0.4237,8.4736,0.3294,1.9989,是,系统性偏差
S006,16,122,5.0,0.1288,0.1974,3.9488,0.0996,1.6111,是,系统性偏差
S006,17,122,5.0,0.0415,0.0922,1.8434,0.0077,1.2869,是,系统性偏差
S006,18,122,5.0,0.0014,0.006,0.1201,0.0014,,是,系统性偏差
S006,19,122,5.0,0.0,0.0,0.0,0.0,,是,系统性偏差
S007,6,122,22.0,0.0208,0.0654,0.2975,-0.0165,0.2871,否,正常评价
S007,7,122,22.0,0.523,0.8647,3.9305,-0.407,0.471,否,正常评价
S007,8,122,22.0,1.3447,1.7928,8.149,0.1049,1.0302,否,正常评价
S007,9,122,22.0,2.2256,2.7079,12.3086,0.2798,1.0411,否,正常评价
S007,10,122,22.0,2.2716,2.9208,13.2764,0.5842,1.0661,否,正常评价
S007,11,122,22.0,2.4619,3.2632,14.8325,-0.0216,0.998,否,正常评价
S007,12,122,22.0,2.2323,2.9311,13.3234,0.2622,1.0251,否,正常评价
S007,13,122,22.0,2.6601,3.3582,15.2646,0.6325,1.069,否,正常评价
S007,14,122,22.0,1.7913,2.4581,11.1734,0.2137,1.0279,否,正常评价
S007,15,122,22.0,1.2813,1.8532,8.4235,0.0058,1.0011,否,正常评价
S007,16,122,22.0,0.5867,0.8565,3.8933,0.052,1.026,否,正常评价
S007,17,122,22.0,0.1493,0.3091,1.405,-0.0681,0.8021,否,正常评价
S007,18,122,22.0,0.0155,0.0563,0.256,-0.0131,0.3215,否,正常评价
S007,19,122,22.0,0.0,0.0,0.0,0.0,,否,正常评价
S008,6,122,3.172,0.006,0.0173,0.5444,0.0028,1.4542,是,测试期分布漂移
S008,7,122,3.172,0.0833,0.1504,4.7425,-0.0712,0.4445,是,测试期分布漂移
S008,8,122,3.172,0.2057,0.2685,8.4647,-0.1415,0.7015,是,测试期分布漂移
S008,9,122,3.172,0.2298,0.3338,10.5247,-0.0871,0.9027,是,测试期分布漂移
S008,10,122,3.172,0.3157,0.456,14.375,-0.1146,0.9058,是,测试期分布漂移
S008,11,122,3.172,0.3915,0.517,16.3002,-0.2009,0.8579,是,测试期分布漂移
S008,12,122,3.172,0.3775,0.4968,15.6619,-0.1631,0.8862,是,测试期分布漂移
S008,13,122,3.172,0.3839,0.5477,17.2655,-0.1362,0.8992,是,测试期分布漂移
S008,14,122,3.172,0.272,0.3964,12.4973,-0.0757,0.9298,是,测试期分布漂移
S008,15,122,3.172,0.2058,0.3087,9.7317,-0.0162,0.9777,是,测试期分布漂移
S008,16,122,3.172,0.1319,0.2183,6.8821,-0.012,0.9668,是,测试期分布漂移
S008,17,122,3.172,0.0332,0.0607,1.9143,-0.0027,0.9637,是,测试期分布漂移
S008,18,122,3.172,0.0039,0.0129,0.4074,0.0014,1.2355,是,测试期分布漂移
S008,19,122,3.172,0.0,0.0,0.0,0.0,,是,测试期分布漂移
S009,6,122,5.25,0.0246,0.0594,1.1321,0.0134,2.1075,否,正常评价
S009,7,122,5.25,0.1078,0.1866,3.5538,-0.0233,0.8581,否,正常评价
S009,8,122,5.25,0.378,0.5837,11.1173,-0.3251,0.4487,否,正常评价
S009,9,122,5.25,0.8352,1.0854,20.675,-0.7948,0.3048,否,正常评价
S009,10,122,5.25,0.857,1.0445,19.8944,-0.7456,0.5034,否,正常评价
S009,11,122,5.25,0.9722,1.17,22.2848,-0.5364,0.6968,否,正常评价
S009,12,122,5.25,0.7616,1.0008,19.0631,-0.3746,0.8086,否,正常评价
S009,13,122,5.25,0.8823,1.0742,20.4612,-0.5322,0.6834,否,正常评价
S009,14,122,5.25,0.9025,1.1074,21.0929,-0.7747,0.4708,否,正常评价
S009,15,122,5.25,0.6031,0.7953,15.1486,-0.5746,0.3871,否,正常评价
S009,16,122,5.25,0.2558,0.4424,8.4273,-0.2007,0.5661,否,正常评价
S009,17,122,5.25,0.0905,0.157,2.9913,-0.0203,0.8251,否,正常评价
