site_id,county,install_group,capacity_MW,n_rows,mae_MW,rmse_MW,nrmse_pct,bias_MW,pred_actual_ratio,test_zero_ratio_pct,site_status,exclude_from_ranking,exclude_reason
S062,连云区,rooftop,4.454,1708,0.1401,0.2361,5.301,0.0379,1.0723,28.63,正常评价,否,
S023,连云区,rooftop,16.37,1708,0.5832,0.9788,5.9795,-0.0222,0.9891,27.69,正常评价,否,
S031,灌云县,ground,0.922,1708,0.0337,0.0576,6.2412,0.0047,1.0437,33.61,正常评价,否,
S049,灌云县,rooftop,14.1,1708,0.5031,0.8913,6.3214,-0.092,0.9469,27.52,正常评价,否,
S056,连云区,rooftop,3.15,1708,0.1269,0.2118,6.7238,0.0078,1.0179,32.79,测试期分布漂移,是,cf_mean漂移0.117>=0.1或cf_p95漂移0.109>=0.2
S047,灌云县,rooftop,4.8,1708,0.1807,0.3248,6.766,-0.0076,0.989,27.99,正常评价,否,
S064,赣榆区,rooftop,3.288,1708,0.1424,0.2265,6.8883,0.0478,1.111,33.55,正常评价,否,
S010,海州区,rooftop,2.0,1708,0.0839,0.1382,6.909,0.0254,1.0858,16.8,测试期分布漂移,是,cf_mean漂移0.093>=0.1或cf_p95漂移0.227>=0.2
S070,连云区,rooftop,2.1,1708,0.0864,0.1489,7.089,0.0157,1.0638,29.04,测试期分布漂移,是,cf_mean漂移0.092>=0.1或cf_p95漂移0.221>=0.2
S068,灌云县,ground,1.223,1708,0.0527,0.0906,7.407,-0.0001,0.9997,27.99,正常评价,否,
S024,赣榆区,rooftop,5.99,1708,0.2511,0.4477,7.4747,0.0572,1.0724,26.23,测试期分布漂移,是,cf_mean漂移0.083>=0.1或cf_p95漂移0.212>=0.2
S025,灌南县,rooftop,5.65,1708,0.2543,0.4264,7.5478,0.0285,1.0309,27.34,测试期分布漂移,是,cf_mean漂移0.083>=0.1或cf_p95漂移0.205>=0.2
S011,灌云县,rooftop,2.323,1708,0.1035,0.1777,7.6484,0.003,1.0092,24.71,正常评价,否,
S048,连云区,rooftop,4.0,1708,0.1787,0.3061,7.653,-0.004,0.9928,33.9,系统性偏差,是,"pred/actual=1.203超出[0.8,1.2]"
S018,灌云县,rooftop,5.1,1708,0.242,0.4224,8.2816,0.0873,1.1103,26.17,测试期分布漂移,是,cf_mean漂移0.117>=0.1或cf_p95漂移0.231>=0.2
S004,连云区,rooftop,3.97,1708,0.1937,0.3297,8.3056,0.0411,1.0714,30.68,测试期分布漂移,是,cf_mean漂移0.169>=0.1或cf_p95漂移0.271>=0.2
S054,连云区,rooftop,11.272,1708,0.616,0.9648,8.5596,0.3663,1.2242,26.99,系统性偏差,是,"pred/actual=1.223超出[0.8,1.2]"
S035,灌云县,rooftop,5.296,1708,0.2688,0.4549,8.5888,0.0666,1.0838,24.77,测试期分布漂移,是,cf_mean漂移0.087>=0.1或cf_p95漂移0.246>=0.2
