hour,n_sites,n_timestamps,capacity_sum_MW,actual_sum_MWh,pred_sum_MWh,mae_city_MW,rmse_city_MW,nrmse_city_pct,bias_city_MW,pred_actual_ratio
6,68,122,388.7,1251.69,100.78,9.4337,9.8024,2.5219,-9.4337,0.0805
7,68,122,388.7,2295.29,818.77,12.1026,14.178,3.6476,-12.1026,0.3567
8,68,122,388.7,5598.14,3882.66,15.8757,18.3946,4.7324,-14.0613,0.6936
9,68,122,388.7,9618.74,8609.17,14.7085,19.3662,4.9823,-8.2752,0.895
10,68,122,388.7,12668.99,12113.29,16.4202,21.7202,5.588,-4.5549,0.9561
11,68,122,388.7,14773.59,13988.53,17.6699,23.1383,5.9528,-6.4349,0.9469
12,68,122,388.7,15331.48,14646.08,16.6915,22.8067,5.8675,-5.6181,0.9553
13,68,122,388.7,14189.79,13702.57,16.8425,22.4364,5.7722,-3.9936,0.9657
14,68,122,388.7,11923.45,11199.06,16.1755,22.2925,5.7352,-5.9376,0.9392
15,68,122,388.7,8381.38,7627.38,10.9723,14.8267,3.8145,-6.1803,0.91
16,68,122,388.7,4473.15,3854.49,6.9271,9.5959,2.4687,-5.071,0.8617
17,68,122,388.7,1924.04,876.29,8.6725,9.4157,2.4224,-8.5881,0.4554
18,68,122,388.7,1149.89,106.31,8.5539,9.6712,2.4881,-8.5539,0.0925
19,68,122,388.7,1072.79,0.0,8.7934,9.7326,2.5039,-8.7934,0.0
