site_id,site_name,site_status,exclude_reason,nrmse_pct,mae_MW,rmse_MW,pred_actual_ratio,test_zero_ratio_6_19_pct
S056,昱中科技光伏电站,测试期分布漂移,cf_mean漂移-0.117>=0.1或cf_p95漂移-0.109>=0.2,6.8625,0.1319,0.2162,1.0539,32.79
S010,易睐珂浦南光伏发电站,测试期分布漂移,cf_mean漂移-0.093>=0.1或cf_p95漂移-0.227>=0.2,6.9846,0.0856,0.1397,1.0983,16.8
S070,旭日虎山光伏发电站,测试期分布漂移,cf_mean漂移-0.092>=0.1或cf_p95漂移-0.221>=0.2,7.1415,0.088,0.15,1.0812,29.04
S024,兴怡紧固件光伏电站,测试期分布漂移,cf_mean漂移-0.083>=0.1或cf_p95漂移-0.212>=0.2,7.4819,0.2525,0.4482,1.0794,26.23
S025,夏源银得隆光伏电站,测试期分布漂移,cf_mean漂移-0.083>=0.1或cf_p95漂移-0.205>=0.2,7.5253,0.2547,0.4252,0.9976,27.34
S018,国能百菇源光伏电站,测试期分布漂移,cf_mean漂移-0.117>=0.1或cf_p95漂移-0.231>=0.2,8.1179,0.2361,0.414,1.0887,26.17
S016,衡航亚新光伏电站,测试期分布漂移,cf_mean漂移-0.164>=0.1或cf_p95漂移-0.275>=0.2,8.3474,0.4411,0.7095,1.1698,37.82
S035,国能品品鲜光伏电站,测试期分布漂移,cf_mean漂移-0.087>=0.1或cf_p95漂移-0.246>=0.2,8.4339,0.2668,0.4467,1.0519,24.77
S004,旭樱东堡光伏电站,测试期分布漂移,cf_mean漂移-0.169>=0.1或cf_p95漂移-0.271>=0.2,8.69,0.2056,0.345,1.1279,30.68
S042,国能联合动力光伏电站,测试期分布漂移,cf_mean漂移-0.104>=0.1或cf_p95漂移-0.207>=0.2,8.6991,0.1849,0.324,0.9576,27.34
S074,华能中林二期光伏电站,测试期分布漂移,cf_mean漂移-0.157>=0.1或cf_p95漂移-0.285>=0.2,8.7086,0.2064,0.3483,1.0235,25.0
S014,鲲鹏昇昌光伏电站,测试期分布漂移,cf_mean漂移-0.157>=0.1或cf_p95漂移-0.246>=0.2,8.7352,0.2686,0.4455,1.1674,26.17
