hour,n_sites,mae_MW_avg,rmse_MW_avg,nrmse_pct_avg,nrmse_pct_median,bias_MW_avg
6,68,0.1538,0.1979,2.8024,0.674,-0.1387
7,68,0.22,0.3214,5.0667,3.4211,-0.178
8,68,0.4028,0.5195,8.3402,6.9569,-0.2068
9,68,0.6187,0.7719,12.4074,10.2092,-0.1217
10,68,0.7999,0.9797,15.7823,12.8525,-0.067
11,68,0.9107,1.1038,17.6645,13.9693,-0.0946
12,68,0.9468,1.1444,18.3931,14.6456,-0.0826
13,68,0.9171,1.1118,17.9994,14.9562,-0.0587
14,68,0.7743,0.9511,15.5504,13.1483,-0.0873
15,68,0.549,0.6912,11.1753,8.792,-0.0909
16,68,0.3209,0.4285,7.0192,5.3685,-0.0746
17,68,0.185,0.2745,4.1889,2.1038,-0.1263
18,68,0.1359,0.1978,2.8069,0.5547,-0.1258
19,68,0.1293,0.1662,2.2035,0.0,-0.1293
