site_id,hour,n_rows,capacity_MW,mae_MW,rmse_MW,nrmse_pct,bias_MW,pred_actual_ratio
S002,6,122,3.3,0.3561,0.5898,17.872,-0.3561,0.0021
S002,7,122,3.3,0.3823,0.5864,17.7689,-0.3816,0.0462
S002,8,122,3.3,0.3945,0.5667,17.1727,-0.3468,0.3742
S002,9,122,3.3,0.3235,0.4264,12.9211,-0.1584,0.7866
S002,10,122,3.3,0.2753,0.3696,11.2005,-0.0283,0.9685
S002,11,122,3.3,0.3394,0.4562,13.825,-0.112,0.8919
S002,12,122,3.3,0.3919,0.5247,15.8994,-0.1783,0.8357
S002,13,122,3.3,0.3382,0.4467,13.5372,-0.1201,0.8787
S002,14,122,3.3,0.268,0.3461,10.4889,-0.0785,0.9105
S002,15,122,3.3,0.2878,0.3983,12.0704,-0.1667,0.7628
S002,16,122,3.3,0.323,0.5192,15.7345,-0.276,0.4355
S002,17,122,3.3,0.3293,0.5638,17.0854,-0.3277,0.0846
S002,18,122,3.3,0.1857,0.3849,11.6624,-0.1857,0.007
S002,19,122,3.3,0.187,0.3864,11.7097,-0.187,0.0
S003,6,122,4.1667,0.0103,0.0293,0.7041,0.0103,
S003,7,122,4.1667,0.067,0.085,2.0405,0.067,
S003,8,122,4.1667,0.2734,0.348,8.3525,0.2734,
S003,9,122,4.1667,0.5931,0.6666,15.9981,0.5931,
S003,10,122,4.1667,0.8279,0.9078,21.7874,0.8279,
S003,11,122,4.1667,0.9767,1.0681,25.6342,0.9767,
S003,12,122,4.1667,1.0398,1.1304,27.1289,1.0398,
S003,13,122,4.1667,0.9894,1.0695,25.6672,0.9894,
S003,14,122,4.1667,0.8212,0.8915,21.3949,0.8212,
S003,15,122,4.1667,0.6193,0.6848,16.4355,0.6193,
S003,16,122,4.1667,0.3818,0.4316,10.3589,0.3818,
S003,17,122,4.1667,0.0968,0.1705,4.0915,0.0968,
S003,18,122,4.1667,0.0135,0.0408,0.9798,0.0135,
S003,19,122,4.1667,0.0,0.0,0.0,0.0,
S004,6,122,3.97,0.0017,0.0065,0.1641,-0.0003,0.7264
S004,7,122,3.97,0.0657,0.1333,3.3574,-0.0601,0.2816
S004,8,122,3.97,0.192,0.2444,6.1559,-0.0787,0.7977
S004,9,122,3.97,0.2378,0.3375,8.501,0.0694,1.0901
S004,10,122,3.97,0.3529,0.4557,11.4787,0.1719,1.1648
S004,11,122,3.97,0.3756,0.4774,12.0243,0.189,1.1513
S004,12,122,3.97,0.4361,0.5738,14.4526,0.1827,1.1371
S004,13,122,3.97,0.4182,0.5661,14.2598,0.2284,1.188
S004,14,122,3.97,0.3624,0.4743,11.9476,0.1828,1.1878
S004,15,122,3.97,0.2619,0.3454,8.701,0.1058,1.1596
S004,16,122,3.97,0.1337,0.1904,4.7966,0.0483,1.1749
S004,17,122,3.97,0.0385,0.0948,2.3868,-0.0095,0.8284
S004,18,122,3.97,0.0019,0.0075,0.1879,0.0002,1.1754
S004,19,122,3.97,0.0,0.0,0.0,0.0,
S006,6,122,5.0,0.0005,0.0017,0.0333,0.0005,
S006,7,122,5.0,0.0213,0.0352,0.7032,0.0073,1.6348
S006,8,122,5.0,0.16,0.2265,4.5309,0.1133,1.9151
S006,9,122,5.0,0.3833,0.4581,9.1623,0.352,2.1948
S006,10,122,5.0,0.6423,0.791,15.8202,0.6205,2.3862
S006,11,122,5.0,0.8389,0.9891,19.7814,0.8038,2.3991
S006,12,122,5.0,0.9207,1.0632,21.2646,0.8623,2.4338
S006,13,122,5.0,0.8226,0.979,19.5801,0.7782,2.3309
S006,14,122,5.0,0.5365,0.6626,13.2513,0.474,1.9785
S006,15,122,5.0,0.2902,0.3543,7.0864,0.2614,1.7928
S006,16,122,5.0,0.1256,0.1936,3.8717,0.0956,1.5861
S006,17,122,5.0,0.0411,0.0908,1.8159,0.0069,1.2567
S006,18,122,5.0,0.0016,0.0066,0.1314,0.0016,
S006,19,122,5.0,0.0,0.0,0.0,0.0,
S007,6,122,22.0,0.0204,0.0636,0.2893,-0.0155,0.3302
S007,7,122,22.0,0.5195,0.8596,3.9075,-0.398,0.4828
S007,8,122,22.0,1.3444,1.7928,8.1489,0.1269,1.0365
S007,9,122,22.0,2.2306,2.7077,12.3076,0.2603,1.0382
