site_id,site_name,county,install_group,capacity_MW,n_rows,test_positive_rows_6_19,test_zero_ratio_6_19_pct,mae_MW,rmse_MW,nrmse_pct,bias_MW,pred_actual_ratio,site_status,exclude_from_ranking,exclude_reason
S062,韩华大浦光伏电站,连云区,rooftop,4.454,1708,1219,28.63,0.1397,0.2358,5.2936,0.0372,1.0709,正常评价,否,
S023,连洋徐圩光伏发电站,连云区,rooftop,16.37,1708,1235,27.69,0.583,0.9788,5.9791,-0.0212,0.9895,正常评价,否,
S031,富云杨集光伏电站,灌云县,ground,0.922,1708,1134,33.61,0.0344,0.058,6.2881,0.008,1.0734,正常评价,否,
S049,华能灌云光伏发电站,灌云县,rooftop,14.1,1708,1238,27.52,0.5041,0.8924,6.3294,-0.0968,0.9441,正常评价,否,
S056,昱中科技光伏电站,连云区,rooftop,3.15,1708,1148,32.79,0.1319,0.2162,6.8625,0.0234,1.0539,测试期分布漂移,是,cf_mean漂移-0.117>=0.1或cf_p95漂移-0.109>=0.2
S047,汇九齿轮光伏发电站,灌云县,rooftop,4.8,1708,1230,27.99,0.1847,0.3304,6.8827,-0.0408,0.9415,正常评价,否,
S064,昱瑞青口光伏发电站,赣榆区,rooftop,3.288,1708,1135,33.55,0.1425,0.2282,6.939,0.0541,1.1257,正常评价,否,
S010,易睐珂浦南光伏发电站,海州区,rooftop,2.0,1708,1421,16.8,0.0856,0.1397,6.9846,0.029,1.0983,测试期分布漂移,是,cf_mean漂移-0.093>=0.1或cf_p95漂移-0.227>=0.2
S070,旭日虎山光伏发电站,连云区,rooftop,2.1,1708,1212,29.04,0.088,0.15,7.1415,0.02,1.0812,测试期分布漂移,是,cf_mean漂移-0.092>=0.1或cf_p95漂移-0.221>=0.2
S068,富云下车光伏电站,灌云县,ground,1.223,1708,1230,27.99,0.0544,0.0908,7.4226,0.0066,1.0381,正常评价,否,
S024,兴怡紧固件光伏电站,赣榆区,rooftop,5.99,1708,1260,26.23,0.2525,0.4482,7.4819,0.0627,1.0794,测试期分布漂移,是,cf_mean漂移-0.083>=0.1或cf_p95漂移-0.212>=0.2
S025,夏源银得隆光伏电站,灌南县,rooftop,5.65,1708,1241,27.34,0.2547,0.4252,7.5253,-0.0022,0.9976,测试期分布漂移,是,cf_mean漂移-0.083>=0.1或cf_p95漂移-0.205>=0.2
S048,卓贵光之明光伏电站,连云区,rooftop,4.0,1708,1129,33.9,0.1809,0.3067,7.6677,0.0057,1.0102,正常评价,否,
S011,中森西苑光伏电站,灌云县,rooftop,2.323,1708,1286,24.71,0.1052,0.1792,7.7151,0.0091,1.0281,正常评价,否,
S077,富云图河光伏电站,灌云县,ground,0.901,1708,0,100.0,0.0419,0.0706,7.84,0.0419,,测试期无有效发电,是,test正功率样本0<100或总电量0.00e+00≤1e-06
S054,鸿天伍江光伏电站,连云区,rooftop,11.272,1708,1247,26.99,0.5791,0.9146,8.1136,0.303,1.1854,系统性偏差,是,"pred/actual=1.224超出[0.8,1.2]"
S018,国能百菇源光伏电站,灌云县,rooftop,5.1,1708,1261,26.17,0.2361,0.414,8.1179,0.0702,1.0887,测试期分布漂移,是,cf_mean漂移-0.117>=0.1或cf_p95漂移-0.231>=0.2
S016,衡航亚新光伏电站,灌南县,rooftop,8.5,1708,1062,37.82,0.4411,0.7095,8.3474,0.1992,1.1698,测试期分布漂移,是,cf_mean漂移-0.164>=0.1或cf_p95漂移-0.275>=0.2
