site_id,site_name,county,install_group,capacity_mw,full_history_rows,full_history_positive_rows,full_history_zero_ratio_pct,tv_cf_mean,tv_cf_p95,tv_zero_ratio_pct,test_rows_6_19,test_positive_rows_6_19,test_zero_ratio_6_19_pct,test_actual_sum_mwh,test_pred_sum_mwh,test_cf_mean,test_cf_p95,cf_mean_shift,cf_p95_shift,test_pred_actual_ratio,test_nrmse_pct,site_status,exclude_from_ranking,exclude_reason
S001,智邦纺织光伏电站,灌云县,rooftop,5.99,0,0,0.0,,,,0,0,0.0,0.0,0.0,,,,,,,无测试预测结果,是,final_eval 中无 test 6-19 点预测结果
S002,华筑泰宝光伏电站,连云区,rooftop,3.3,5893,3095,47.48006108942813,0.28955587066505606,0.9515151515151516,2.946273830155979,1708,1415,17.15456674473068,1081.6599999999999,742.7833189941568,0.19190618125044354,0.4534848484848481,-0.09764968941461252,-0.49803030303030354,0.6867068385575477,14.396916190202615,测试期分布漂移,是,cf_mean漂移-0.098>=0.1或cf_p95漂移-0.498>=0.2
S003,京运通西湖光伏电站,东海县,rooftop,4.1667,20462,7350,64.07975759945265,0.18451465291503474,0.5735954112367102,28.152492668621704,1708,0,100.0,0.0,963.084337458651,0.0,0.0,-0.18451465291503474,-0.5735954112367102,,19.151104842596165,测试期无有效发电,是,test正功率样本0<100或总电量0.00e+00≤1e-06
S004,旭樱东堡光伏电站,连云区,rooftop,3.97,6033,2816,53.32338803248798,0.31393095927907677,0.7418136020151134,9.884041965764771,1708,1184,30.679156908665107,982.27,1052.4187964108528,0.14486134297630351,0.47103274559193953,-0.16906961630277326,-0.27078085642317384,1.0714149840785658,8.30563354242398,测试期分布漂移,是,cf_mean漂移-0.169>=0.1或cf_p95漂移-0.271>=0.2
S005,华之检恒邦光伏电站,灌云县,rooftop,7.04,0,0,0.0,,,,0,0,0.0,0.0,0.0,,,,,,,无测试预测结果,是,final_eval 中无 test 6-19 点预测结果
S006,沐恒石湖光伏电站,东海县,rooftop,5.0,5935,2360,60.23588879528222,0.10843582430119796,0.252,17.969195664575015,1708,922,46.01873536299766,444.33,1111.1172311541914,0.052029274004683844,0.17449999999999863,-0.05640655029651411,-0.07750000000000137,2.5006576894519643,13.860269677524602,系统性偏差,是,"pred/actual=2.501超出[0.8,1.2]"
S007,林洋朝阳光伏电站,连云区,ground,22.0,26304,12778,51.42183698296837,0.29439681724845995,0.7972727272727272,15.6497506600176,1708,1276,25.292740046838407,7950.5199999999995,8146.784234380388,0.21158505428997232,0.6943863636363635,-0.08281176295848763,-0.10288636363636372,1.0246857104164744,9.461308540307565,正常评价,否,
S008,协鑫盛昌光伏电站,灌云县,rooftop,3.172,6588,3365,48.92228293867638,0.4164083790281064,0.9465636822194199,4.213483146067416,1708,1319,22.775175644028103,1118.3899999999999,994.2967924289237,0.2064297231926901,0.6305170239596469,-0.2099786558354163,-0.31604665825977296,0.8890429925418896,10.430104550215557,测试期分布漂移,是,cf_mean漂移-0.210>=0.1或cf_p95漂移-0.316>=0.2
S009,华电金叶光伏电站,赣榆区,rooftop,5.25,10479,5076,51.56026338391067,0.24881973483743397,0.7047619047619048,14.590424324937597,1708,1312,23.185011709601874,1441.6799999999998,845.5236682089603,0.1607761793241887,0.5415238095238091,-0.08804355551324528,-0.16323809523809574,0.5864849815555189,14.626391125137875,系统性偏差,是,"pred/actual=0.586超出[0.8,1.2]"
S010,易睐珂浦南光伏发电站,海州区,rooftop,2.0,26304,12824,51.24695863746959,0.2409504253446759,0.7,16.37577002053388,1708,1421,16.80327868852459,504.46000000000004,547.7660506355561,0.14767564402810304,0.4732499999999993,-0.09327478131657285,-0.22675000000000067,1.0858463518129406,6.908972408105997,测试期分布漂移,是,cf_mean漂移-0.093>=0.1或cf_p95漂移-0.227>=0.2
S011,中森西苑光伏电站,灌云县,rooftop,2.323,26304,12968,50.69951338199513,0.22107637894020124,0.6155832974601808,14.32971545907891,1708,1286,24.707259953161593,554.5699999999999,559.682940315667,0.13977171569106817,0.43908738699956956,-0.08130466324913307,-0.17649591046061125,1.0092196482241504,7.648442582229206,正常评价,否,
S012,泰富如意情光伏电站,东海县,rooftop,17.55,5889,2909,50.60281881473935,0.17487070608089714,0.5084900284900282,12.738853503184714,1708,1402,17.915690866510538,1572.7400000000002,4801.685593417881,0.05246769017260821,0.31524216524216486,-0.12240301590828892,-0.19324786324786336,3.053070179061943,19.576540124234334,测试期分布漂移,是,cf_mean漂移-0.122>=0.1或cf_p95漂移-0.193>=0.2
S013,鑫众墩尚光伏发电站,赣榆区,ground,7.0,0,0,0.0,,,,0,0,0.0,0.0,0.0,,,,,,,无测试预测结果,是,final_eval 中无 test 6-19 点预测结果
S014,鲲鹏昇昌光伏电站,灌云县,rooftop,5.1,5894,2906,50.6956226671191,0.28687678304578185,0.6862745098039216,5.023094688221709,1708,1261,26.170960187353632,1127.35,1322.9225462979625,0.12941980070716813,0.43980392156862697,-0.15745698233861372,-0.2464705882352946,1.1734798831755555,8.8794271587226,测试期分布漂移,是,cf_mean漂移-0.157>=0.1或cf_p95漂移-0.246>=0.2
S015,振江轨道交通光伏电站,灌云县,rooftop,9.73,0,0,0.0,,,,0,0,0.0,0.0,0.0,,,,,,,无测试预测结果,是,final_eval 中无 test 6-19 点预测结果
S016,衡航亚新光伏电站,灌南县,rooftop,8.5,5904,2602,55.92818428184282,0.30180740037950665,0.7332352941176471,14.170506912442397,1708,1062,37.822014051522245,2003.3700000000001,2386.0209809485823,0.1379921476787436,0.4584117647058822,-0.16381525270076305,-0.2748235294117649,1.191003649325178,8.595196166378393,测试期分布漂移,是,cf_mean漂移-0.164>=0.1或cf_p95漂移-0.275>=0.2
