类型,site_id,site_name,county,capacity_MW,n_rows,test_positive_rows_6_19,test_zero_ratio_6_19_pct,mae_MW,rmse_MW,nrmse_pct,pred_actual_ratio
相对正确,S064,昱瑞青口光伏发电站,赣榆区,3.288,1708,1135,33.55,0.1425,0.2282,6.939,1.1257
相对正确,S068,富云下车光伏电站,灌云县,1.223,1708,1230,27.99,0.0544,0.0908,7.4226,1.0381
相对正确,S048,卓贵光之明光伏电站,连云区,4.0,1708,1129,33.9,0.1809,0.3067,7.6677,1.0102
相对正确,S011,中森西苑光伏电站,灌云县,2.323,1708,1286,24.71,0.1052,0.1792,7.7151,1.0281
预测最好,S062,韩华大浦光伏电站,连云区,4.454,1708,1219,28.63,0.1397,0.2358,5.2936,1.0709
预测最好,S023,连洋徐圩光伏发电站,连云区,16.37,1708,1235,27.69,0.583,0.9788,5.9791,0.9895
预测最好,S031,富云杨集光伏电站,灌云县,0.922,1708,1134,33.61,0.0344,0.058,6.2881,1.0734
预测最好,S049,华能灌云光伏发电站,灌云县,14.1,1708,1238,27.52,0.5041,0.8924,6.3294,0.9441
预测最好,S047,汇九齿轮光伏发电站,灌云县,4.8,1708,1230,27.99,0.1847,0.3304,6.8827,0.9415
预测最差,S030,中森侍庄光伏发电站,灌云县,2.9,1708,1253,26.64,0.1551,0.2559,8.825,1.0023
预测最差,S007,林洋朝阳光伏电站,连云区,22.0,1708,1276,25.29,1.2495,2.0865,9.484,1.0357
预测最差,S058,远途大浦光伏电站,连云区,5.99,1708,1296,24.12,0.3638,0.5796,9.6759,0.8181
预测最差,S065,中盛石榴光伏电站,东海县,1.924,1708,1413,17.27,0.1083,0.1887,9.8061,1.0379
预测最差,S072,交控大浦光伏电站,连云区,3.125,1708,1282,24.94,0.238,0.3744,11.981,0.8698
