site_id,site_status,nrmse_pct,rmse_MW,mae_MW,bias_MW,n_samples,capacity_mw
S062,无测试预测结果,5.291470082652194,0.23566514477706424,0.14085834912386427,0.03965712038788383,1708,4.45368
S023,无测试预测结果,5.98414208127423,0.9796040587045916,0.583402387932511,-0.030957036634091575,1708,16.37
S049,无测试预测结果,6.321393323154455,0.891316458564778,0.5047473033197027,-0.07371020890994105,1708,14.1
S031,无测试预测结果,6.386283201623861,0.05889430368537526,0.035517044649145596,0.009932412587871402,1708,0.9222
S010,无测试预测结果,6.704016338806448,0.13408032677612897,0.081674739407479,0.02771254653702391,1708,2.0
S047,无测试预测结果,6.737209834269121,0.3233860720449178,0.18291260810536755,0.010342507620635209,1708,4.8
S064,无测试预测结果,6.781401363598894,0.2229724768351316,0.14171872673381414,0.05385553344401048,1708,3.288
S056,无测试预测结果,7.02531556220486,0.2212974402094531,0.1435973652720056,0.05588716362775296,1708,3.15
S070,无测试预测结果,7.038298574311792,0.14780427006054764,0.08761205427120175,0.02170433519504571,1708,2.1
S024,无测试预测结果,7.3986920898786686,0.44318165618373223,0.25024398966884054,0.05452871976923793,1708,5.99
S068,无测试预测结果,7.48915941402246,0.0915924196334947,0.05398558158219562,0.00412540523560333,1708,1.223
S025,无测试预测结果,7.490225858384157,0.42319776099870493,0.24824770275912336,0.015211142605343193,1708,5.65
S011,无测试预测结果,7.517709649227287,0.17463639515154988,0.10123135288001266,0.009912244132775827,1708,2.323
S054,无测试预测结果,7.747180685696364,0.8732622068916942,0.543539280723545,0.2380294366409519,1708,11.272
S048,无测试预测结果,7.773769708309566,0.31095078833238265,0.1943307937159016,0.06936213941417659,1708,4.0
S066,无测试预测结果,7.963626988262734,0.434017670860319,0.2501190092951989,-0.007296580832552054,1708,5.45
S016,无测试预测结果,8.032249790063725,0.6827412321554166,0.43895287787360254,0.22229051289930338,1708,8.5
S018,无测试预测结果,8.36975800149614,0.42685765807630305,0.24745216149990512,0.11405563001916248,1708,5.1
S075,无测试预测结果,8.495825389856227,0.22344020775321877,0.13522145330392793,0.033213856484459583,1708,2.63
S020,无测试预测结果,8.502947735205762,0.3231120139378189,0.1981267114876554,0.064727379947937,1708,3.8
S074,无测试预测结果,8.505278255699702,0.34021113022798805,0.2004986102423257,0.010944524225709873,1708,4.0
S004,无测试预测结果,8.555834408552947,0.339666626019552,0.2106273949046462,0.10539934131471129,1708,3.97
S014,无测试预测结果,8.562737530350972,0.43669961404789953,0.26960207861086416,0.1444584560802846,1708,5.1
S035,无测试预测结果,8.593788910514983,0.4551270607008735,0.26778897950182656,0.07963968388353206,1708,5.296
S077,无测试预测结果,8.801807656156106,0.07930428698196651,0.046214220122555084,0.046214220122555084,1708,0.901
S030,无测试预测结果,8.810257032322061,0.2554974539373398,0.15716491381898032,0.03235409343888946,1708,2.9
S042,无测试预测结果,8.868833382458217,0.330275355162744,0.19022655674158592,-0.02182625700222318,1708,3.724
S061,无测试预测结果,8.88042250023322,0.336035187408825,0.20477455100298625,0.034005545453914064,1708,3.784
