site_id,site_status
S001,无测试预测结果
S002,测试期分布漂移
S003,测试期无有效发电
S004,测试期分布漂移
S005,无测试预测结果
S006,系统性偏差
S007,正常评价
S008,测试期分布漂移
S009,正常评价
S010,测试期分布漂移
S011,正常评价
S012,测试期分布漂移
S013,无测试预测结果
S014,测试期分布漂移
S015,无测试预测结果
S016,测试期分布漂移
S017,测试期分布漂移
S018,测试期分布漂移
S019,系统性偏差
S020,测试期分布漂移
S021,测试期分布漂移
S022,系统性偏差
S023,正常评价
S024,测试期分布漂移
S025,测试期分布漂移
S026,无测试预测结果
S027,无测试预测结果
S028,测试期分布漂移
S029,无测试预测结果
S030,正常评价
S031,测试期分布漂移
S032,系统性偏差
S033,测试期分布漂移
S034,测试期分布漂移
S035,测试期分布漂移
S036,无测试预测结果
S037,测试期分布漂移
S038,测试期分布漂移
S039,测试期分布漂移
S040,测试期分布漂移
S041,正常评价
S042,测试期分布漂移
S043,无测试预测结果
S044,测试期无有效发电
S045,测试期分布漂移
S046,测试期分布漂移
S047,正常评价
S048,正常评价
S049,正常评价
S050,测试期分布漂移
S051,测试期分布漂移
S052,系统性偏差
S053,系统性偏差
S054,正常评价
S055,测试期分布漂移
S056,正常评价
S057,无测试预测结果
S058,系统性偏差
S059,测试期分布漂移
S060,测试期分布漂移
S061,测试期分布漂移
S062,正常评价
S063,正常评价
S064,测试期分布漂移
S065,正常评价
S066,正常评价
S067,无测试预测结果
S068,测试期分布漂移
S069,测试期无有效发电
S070,测试期分布漂移
S071,系统性偏差
S072,正常评价
S073,系统性偏差
S074,测试期分布漂移
S075,测试期分布漂移
S076,测试期无有效发电
S077,测试期无有效发电
S078,无测试预测结果
S079,无测试预测结果
S080,无测试预测结果
S081,无测试预测结果
S082,无测试预测结果
S083,无测试预测结果
S084,无测试预测结果
S085,无测试预测结果
S086,无测试预测结果
S087,无测试预测结果
S088,无测试预测结果
S089,无测试预测结果
S090,无测试预测结果
S091,无测试预测结果
S092,无测试预测结果
S093,无测试预测结果
S094,无测试预测结果
S095,无测试预测结果
S096,无测试预测结果
S097,无测试预测结果
S098,无测试预测结果
S099,无测试预测结果
S100,无测试预测结果
S101,无测试预测结果
S102,无测试预测结果
S103,无测试预测结果
S104,无测试预测结果
S105,无测试预测结果
S106,无测试预测结果
S107,无测试预测结果
S108,无测试预测结果
S109,无测试预测结果
S110,无测试预测结果
S111,无测试预测结果
S112,无测试预测结果
S113,无测试预测结果
S114,无测试预测结果
S115,正常评价
S116,正常评价
S117,无测试预测结果
S118,无测试预测结果
