site_id,fit_samples,alpha_raw_clipped,alpha,weight
S002,1377,1.26861796,1.19706283,0.73361747
S003,6798,1.07788504,1.07254898,0.93148808
S004,1441,1.3,1.22272025,0.74240082
S006,1365,1.0305092,1.02232979,0.73190349
S007,9374,1.00706202,1.00670441,0.94936196
S008,1930,1.08815178,1.07001356,0.79423868
S009,3443,1.3,1.2619579,0.873193
S010,10109,1.07305352,1.06961052,0.9528702
S011,10337,1.05640508,1.05380265,0.95386177
S012,1250,1.04382448,1.0313032,0.71428571
S014,1377,1.23156069,1.16987697,0.73361747
S016,1351,1.15570522,1.11364546,0.72987574
S017,3774,1.17393618,1.15358801,0.88301357
S018,6121,1.05988684,1.05536434,0.92448271
S019,10325,1.06112126,1.05829811,0.95381062
S020,2811,1.3,1.25469647,0.84898822
S021,1608,1.3,1.2288425,0.76280835
S022,9781,1.14897678,1.14173153,0.9513666
S023,10329,1.01436657,1.01370323,0.95382768
S024,7573,1.05171986,1.0485166,0.93806516
S025,4999,1.02524704,1.02295143,0.90907438
S028,3394,1.10321136,1.08995875,0.87159733
S030,9304,1.12892834,1.12235304,0.94900041
S031,8891,1.08081488,1.07651209,0.94675753
S032,5985,1.3,1.2768697,0.922899
S033,1907,1.07089379,1.0561672,0.79227254
S034,1108,1.13916342,1.09589121,0.68905473
S035,7067,1.05612305,1.05241464,0.93392362
S037,3,1.0,1.0,0.0
S038,1269,1.1736447,1.1245648,0.71735444
S039,1376,1.26237831,1.19244806,0.73347548
S040,1464,1.14442596,1.10765764,0.74541752
S041,5826,1.17557602,1.16169869,0.92096111
S042,2793,1.11468344,1.09727022,0.84816277
S044,377,1.17558202,1.07547824,0.42987457
S045,1182,1.07243463,1.05090234,0.70273484
S046,2842,1.3,1.2551167,0.85038899
S047,8738,1.05084934,1.04809715,0.94587573
S048,1087,1.3,1.20548204,0.68494014
S049,10209,1.01279001,1.01219284,0.9533103
S050,1366,1.3,1.21961415,0.73204716
S051,1369,1.23182449,1.16980617,0.73247726
S052,3931,1.11758298,1.10431476,0.88715865
S053,11968,1.03085815,1.02962066,0.95989734
S054,2345,1.06533665,1.05385393,0.82425308
S055,479,1.3,1.14678243,0.48927477
S056,1430,1.29054355,1.2152732,0.74093264
S058,11246,1.06766542,1.06478506,0.95743232
S059,9968,1.08017812,1.07634845,0.95223538
S060,1497,1.15316221,1.11481414,0.74962444
S061,1354,1.3,1.21909385,0.73031284
S062,9590,1.05514786,1.05241506,0.95044599
S063,1439,1.08232826,1.06109869,0.74213512
S064,10557,1.08221205,1.07849441,0.95477978
S065,10188,1.05804791,1.05533235,0.95321856
S066,4468,1.3,1.26980676,0.89935588
S068,9327,1.08232813,1.07813925,0.94911977
S070,9969,1.06826986,1.06500928,0.95223995
S071,7802,0.99905425,0.99911121,0.93977355
S072,7405,1.07322662,1.06859496,0.93674889
S073,6466,1.08402536,1.07799426,0.9282228
S074,2483,1.09388688,1.07814989,0.83238351
S075,1824,1.14491921,1.11374038,0.7848537
S076,1306,1.08087066,1.05848122,0.72314507
S077,4652,1.07219629,1.06518966,0.90295031
S115,0,1.0,1.0,0.0
S116,0,1.0,1.0,0.0
