check,status,value
exists_metadata.json,PASS,586
exists_city_series.json,PASS,5834541
exists_site_metrics.json,PASS,67748
exists_typical_sites.json,PASS,2328
exists_season_best_days_city.json,PASS,1238
exists_season_best_days_by_site.json,PASS,109096
exists_dashboard_update_stamp.json,PASS,36764
city_series_not_empty,PASS,15344
city_series_has_time,PASS,True
city_series_has_actual_mw,PASS,True
city_series_has_pred_mw,PASS,True
city_series_has_n_sites,PASS,True
city_series_no_future,PASS,False
city_series_hours_6_19,PASS,6-19
typical_has_best_or_chinese,PASS,best
typical_has_worst_or_chinese,PASS,worst
season_city_has_spring,PASS,True
season_city_has_summer,PASS,True
season_city_has_autumn,PASS,True
season_city_has_winter,PASS,True
season_site_not_empty,PASS,68
site_series_files_exist,PASS,68
site_series_S017_not_empty,PASS,15344
site_series_S062_not_empty,PASS,15344
site_series_S019_not_empty,PASS,15344
dashboard_update_stamp_refreshed,PASS,True
dashboard_update_stamp_city_consistency,PASS,PASS
