site_id,site_name,hour,samples,capacity_mw,zero_actual_ratio_pct,zero_pred_ratio_pct,active_ratio_pct,nrmse_pct,active_nrmse_pct,bias_pct,pred_actual
S053,S053,6,122,13.33,0.0,0.0,100.0,40.060015,40.060015,-96.389892,0.036101
S053,S053,7,122,13.33,0.0,0.0,100.0,39.912115,39.912115,-95.850684,0.041493
S019,S019,6,122,3.0,74.590164,0.0,24.590164,38.748089,78.0,-86.558325,0.134417
S019,S019,7,122,3.0,16.393443,0.0,53.278689,38.618681,52.870605,-87.287327,0.127127
S019,S019,19,122,3.0,76.229508,0.0,23.770492,38.100098,78.0,-86.092904,0.139071
S019,S019,18,122,3.0,76.229508,0.0,23.770492,38.100098,78.0,-86.092904,0.139071
S076,S076,12,122,5.0,100.0,0.0,0.0,37.679749,,,
S053,S053,19,122,13.33,18.852459,0.0,81.147541,36.092714,40.060015,-95.55118,0.044488
S053,S053,18,122,13.33,18.852459,0.0,81.147541,35.971384,39.925304,-95.141327,0.048587
S115,S115,12,122,7.0,10.655738,0.0,87.704918,35.710823,30.436642,35.349207,1.353492
S076,S076,11,122,5.0,100.0,0.0,0.0,34.560577,,,
S019,S019,17,122,3.0,43.442623,51.639344,32.786885,34.521885,60.246481,-82.028691,0.179713
S115,S115,11,122,7.0,10.655738,0.0,86.885246,33.769644,28.672249,27.769545,1.277695
S076,S076,13,122,5.0,100.0,0.0,0.0,33.323994,,,
S115,S115,13,122,7.0,9.016393,0.0,90.163934,32.760994,29.179268,34.035672,1.340357
S053,S053,17,122,13.33,0.0,51.639344,100.0,31.941198,31.941198,-70.457195,0.295428
S115,S115,10,122,7.0,11.47541,0.0,87.704918,31.312439,27.528661,44.369439,1.443694
S019,S019,8,122,3.0,0.0,0.0,94.262295,30.813687,31.709068,-49.855165,0.501448
S076,S076,10,122,5.0,100.0,0.0,0.0,29.756091,,,
S019,S019,16,122,3.0,0.0,0.0,92.622951,29.552437,30.666226,-35.52304,0.64477
S115,S115,14,122,7.0,8.196721,0.0,88.52459,29.350058,25.475937,39.232031,1.39232
S076,S076,14,122,5.0,100.0,0.0,0.0,28.770347,,,
S012,S012,12,122,17.55,10.655738,0.0,31.147541,28.271111,13.073664,189.109604,2.891096
S116,S116,12,122,22.0,0.0,0.0,100.0,27.777468,27.777468,14.328503,1.143285
S044,S044,12,122,8.492,100.0,0.0,0.0,27.341849,,,
S019,S019,9,122,3.0,0.0,0.0,99.180328,27.305448,27.412447,-27.718276,0.722817
S069,S069,12,122,3.0,100.0,0.0,0.0,27.288554,,,
S045,S045,12,122,2.915,85.245902,0.0,14.754098,27.273909,21.106864,274.344297,3.743443
S116,S116,11,122,22.0,0.0,0.0,100.0,27.142574,27.142574,16.995781,1.169958
S012,S012,11,122,17.55,10.655738,0.0,31.147541,27.009024,9.229802,225.624956,3.25625
S116,S116,13,122,22.0,0.0,0.0,99.180328,26.636824,26.261852,15.538204,1.155382
S019,S019,15,122,3.0,0.0,0.0,98.360656,26.386662,26.576127,-16.078317,0.839217
S044,S044,11,122,8.492,100.0,0.0,0.0,26.310874,,,
S069,S069,13,122,3.0,100.0,0.0,0.0,26.232101,,,
S045,S045,13,122,2.915,85.245902,0.0,14.754098,26.160194,17.865506,304.879722,4.048797
S045,S045,11,122,2.915,85.245902,0.0,14.754098,26.099533,18.12867,311.966309,4.119663
S012,S012,13,122,17.55,10.655738,0.0,31.147541,26.080553,10.883611,198.101918,2.981019
S044,S044,13,122,8.492,100.0,0.0,0.0,25.878411,,,
S116,S116,10,122,22.0,0.0,0.0,98.360656,25.352433,24.719872,25.064733,1.250647
S069,S069,11,122,3.0,100.0,0.0,0.0,25.094979,,,
S116,S116,14,122,22.0,0.0,0.0,98.360656,24.681837,24.061834,27.918393,1.279184
S019,S019,10,122,3.0,0.819672,0.0,98.360656,23.861358,24.018847,-9.675532,0.903245
S044,S044,10,122,8.492,100.0,0.0,0.0,23.651322,,,
S019,S019,14,122,3.0,0.0,0.0,100.0,23.648322,23.648322,-7.486053,0.925139
S115,S115,9,122,7.0,12.295082,0.0,82.786885,23.601609,20.713446,30.52716,1.305272
S003,S003,12,122,4.1667,100.0,0.0,0.0,23.304573,,,
S045,S045,10,122,2.915,85.245902,0.0,14.754098,22.998178,13.942726,359.645028,4.59645
S009,S009,12,122,5.25,0.0,0.0,100.0,22.842542,22.842542,45.724869,1.457249
S012,S012,10,122,17.55,10.655738,0.0,31.967213,22.744924,8.096292,204.148773,3.041488
S009,S009,11,122,5.25,0.0,0.0,100.0,22.532954,22.532954,45.618183,1.456182
S003,S003,11,122,4.1667,100.0,0.0,0.0,22.119965,,,
S050,S050,12,122,2.55,0.0,3.278689,99.180328,22.084122,22.160708,49.54849,1.495485
S003,S003,13,122,4.1667,100.0,0.0,0.0,21.93437,,,
S009,S009,13,122,5.25,0.0,0.0,100.0,21.916842,21.916842,50.314315,1.503143
S019,S019,11,122,3.0,0.0,0.0,98.360656,21.863146,22.005263,-10.797668,0.892023
S045,S045,14,122,2.915,85.245902,0.0,14.754098,21.801937,14.620901,307.001821,4.070018
S019,S019,13,122,3.0,0.0,0.0,100.0,21.780424,21.780424,-7.340619,0.926594
S012,S012,14,122,17.55,10.655738,0.0,31.147541,21.679222,10.30347,202.330383,3.023304
S115,S115,15,122,7.0,7.377049,0.0,91.803279,21.468452,19.98942,24.437065,1.244371
S044,S044,14,122,8.492,100.0,0.0,0.0,21.42367,,,
S069,S069,10,122,3.0,100.0,0.0,0.0,21.386107,,,
S037,S037,12,122,5.946,35.245902,0.0,64.754098,21.379546,18.843745,-6.662269,0.933377
S050,S050,13,122,2.55,0.0,3.278689,99.180328,21.220049,21.307435,54.138271,1.541383
S055,S055,12,122,4.0,6.557377,0.0,93.442623,21.067449,20.595291,106.67556,2.066756
S019,S019,12,122,3.0,0.0,0.0,99.180328,21.030633,21.100612,-6.730313,0.932697
S069,S069,14,122,3.0,100.0,0.0,0.0,20.807049,,,
S032,S032,12,122,9.335,0.0,0.0,99.180328,20.656431,20.735763,-35.477358,0.645226
S050,S050,11,122,2.55,0.0,4.918033,98.360656,20.634068,20.780676,54.066906,1.540669
S076,S076,9,122,5.0,100.0,0.0,0.0,20.494633,,,
S037,S037,11,122,5.946,35.245902,0.0,64.754098,20.406509,17.525025,-3.887317,0.961127
S037,S037,13,122,5.946,35.245902,0.0,64.754098,20.194019,17.224732,-1.734664,0.982653
S055,S055,11,122,4.0,7.377049,0.0,92.622951,20.04531,19.633416,108.409491,2.084095
S046,S046,12,122,4.25,0.0,0.0,100.0,19.841355,19.841355,26.276085,1.262761
S032,S032,13,122,9.335,0.0,0.0,100.0,19.728576,19.728576,-36.682071,0.633179
S046,S046,13,122,4.25,0.0,0.0,100.0,19.706542,19.706542,25.294423,1.252944
S055,S055,13,122,4.0,6.557377,0.0,93.442623,19.67669,19.199041,102.298949,2.022989
S072,S072,13,122,3.125,0.0,0.0,100.0,19.627872,19.627872,-15.008995,0.84991
S076,S076,15,122,5.0,100.0,0.0,0.0,19.612796,,,
S032,S032,11,122,9.335,0.0,0.0,100.0,19.561133,19.561133,-34.145884,0.658541
S116,S116,15,122,22.0,0.0,0.0,100.0,19.468003,19.468003,36.963446,1.369634
