site_id,site_name,hour,samples,capacity_mw,mae_mw,rmse_mw,nrmse_pct,active_nrmse_pct,zero_actual_ratio_pct,bias_pct,pred_actual
S002,S002,6,122,3.3,0.356803,0.590305,17.888026,27.139532,55.737705,-100.0,0.0
S002,S002,7,122,3.3,0.39359,0.59246,17.953331,21.88408,7.377049,-98.377429,0.016226
S002,S002,8,122,3.3,0.398882,0.571213,17.309471,17.549347,0.819672,-58.124871,0.418751
S002,S002,9,122,3.3,0.321187,0.430759,13.053308,12.881346,0.819672,-12.777016,0.87223
S002,S002,10,122,3.3,0.271139,0.378004,11.454667,10.765798,0.819672,5.532372,1.055324
S002,S002,11,122,3.3,0.352669,0.448493,13.5907,13.252588,0.819672,-0.877385,0.991226
S002,S002,12,122,3.3,0.386831,0.498013,15.091306,15.153471,0.0,-7.4373,0.925627
S002,S002,13,122,3.3,0.331768,0.433095,13.124103,13.124103,0.0,-2.440837,0.975592
S002,S002,14,122,3.3,0.266024,0.341394,10.345267,10.387925,0.0,-0.857109,0.991429
S002,S002,15,122,3.3,0.286645,0.378939,11.483004,11.530222,0.0,-15.69722,0.843028
S002,S002,16,122,3.3,0.313454,0.495433,15.013133,15.395638,0.0,-44.086635,0.559134
S002,S002,17,122,3.3,0.317041,0.558503,16.924336,23.728448,31.147541,-86.952306,0.130477
S002,S002,18,122,3.3,0.186008,0.385397,11.678694,21.804201,71.311475,-99.486726,0.005133
S002,S002,19,122,3.3,0.186967,0.38642,11.7097,21.862089,71.311475,-100.0,0.0
S003,S003,6,122,4.1667,0.077,0.077,1.847985,,100.0,,
S003,S003,7,122,4.1667,0.079179,0.082727,1.985442,,100.0,,
S003,S003,8,122,4.1667,0.224493,0.286669,6.879996,,100.0,,
S003,S003,9,122,4.1667,0.494345,0.554397,13.305415,,100.0,,
S003,S003,10,122,4.1667,0.680494,0.746173,17.908015,,100.0,,
S003,S003,11,122,4.1667,0.81571,0.88884,21.33198,,100.0,,
S003,S003,12,122,4.1667,0.868179,0.94346,22.642851,,100.0,,
S003,S003,13,122,4.1667,0.831192,0.89577,21.498314,,100.0,,
S003,S003,14,122,4.1667,0.675872,0.732937,17.590358,,100.0,,
S003,S003,15,122,4.1667,0.502675,0.555125,13.322891,,100.0,,
S003,S003,16,122,4.1667,0.304764,0.343993,8.255759,,100.0,,
S003,S003,17,122,4.1667,0.078463,0.138548,3.325129,,100.0,,
S003,S003,18,122,4.1667,0.078746,0.079898,1.917538,,100.0,,
S003,S003,19,122,4.1667,0.077,0.077,1.847985,,100.0,,
S004,S004,6,122,3.97,0.00123,0.007299,0.18386,,96.721311,-100.0,0.0
S004,S004,7,122,3.97,0.076096,0.150432,3.78922,7.193569,46.721311,-90.927182,0.090728
S004,S004,8,122,3.97,0.219324,0.273201,6.881649,7.342784,2.459016,-25.59636,0.744036
S004,S004,9,122,3.97,0.265606,0.373528,9.408756,9.575435,0.819672,15.335386,1.153354
S004,S004,10,122,3.97,0.399311,0.500955,12.61852,12.508614,2.459016,24.453882,1.244539
S004,S004,11,122,3.97,0.427016,0.526754,13.268355,13.348006,0.0,21.903586,1.219036
S004,S004,12,122,3.97,0.479266,0.613166,15.444995,15.40204,0.819672,18.570834,1.185708
S004,S004,13,122,3.97,0.473611,0.6037,15.20656,15.123204,0.0,23.892958,1.23893
S004,S004,14,122,3.97,0.392615,0.497535,12.532366,12.481767,0.0,22.156915,1.221569
S004,S004,15,122,3.97,0.271546,0.349886,8.813258,8.710104,1.639344,15.490313,1.154903
S004,S004,16,122,3.97,0.147225,0.197992,4.987215,5.079588,9.016393,22.523313,1.225233
S004,S004,17,122,3.97,0.041274,0.096008,2.418349,5.600323,71.311475,-11.152027,0.88848
