hour,sm_nrmse_base,sm_nrmse_r59,sm_nrmse_delta,c_nrmse_base,c_nrmse_r59,c_nrmse_delta,bias_base,bias_r59,bias_delta
6,4.1951,4.3334,0.1383,0.2008,0.2024,0.0017,-33.4595,-31.0312,2.4284
7,5.6191,5.7446,0.1255,0.2137,0.2152,0.0014,-61.3347,-59.7719,1.5628
8,7.8392,7.8565,0.0172,0.1747,0.1788,0.004,-21.3063,-21.5291,-0.2228
9,11.3433,11.3167,-0.0266,0.2225,0.2229,0.0004,1.6603,1.1202,-0.5401
10,14.5192,14.4799,-0.0393,0.2855,0.2811,-0.0044,8.2393,7.8088,-0.4305
11,16.3029,16.2907,-0.0122,0.3251,0.3189,-0.0062,8.2874,8.0175,-0.2699
12,16.9753,16.9604,-0.015,0.3343,0.327,-0.0073,8.8577,8.7357,-0.122
13,16.578,16.5727,-0.0053,0.3231,0.317,-0.0061,10.3659,10.1229,-0.243
14,14.2375,14.1581,-0.0794,0.2702,0.2666,-0.0036,5.7541,5.3744,-0.3796
15,10.091,10.0458,-0.0453,0.1946,0.1968,0.0022,1.1767,0.7185,-0.4582
16,6.6768,6.7186,0.0418,0.1472,0.1531,0.0059,-2.3219,-2.5109,-0.189
17,4.283,4.357,0.0741,0.1805,0.1827,0.0022,-43.4928,-43.3462,0.1465
18,4.1945,4.3484,0.1539,0.1885,0.1903,0.0018,-28.7523,-25.6851,3.0673
19,3.9396,4.0822,0.1426,0.1875,0.1892,0.0016,-27.8772,-24.9402,2.9371
