site_id,site_short_name,capacity_mw,county,install_type_raw,cell_type,tilt_deg,azimuth_deg,module_gamma_pdc,loss_factor,inverter_efficiency,mount_type,parameter_source
S001,智邦纺织光伏,5.99,灌云县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S002,华筑泰宝光伏,3.3,连云区,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S003,京运通西湖光伏电站,4.1667,东海县,屋顶,多晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S004,旭樱东堡光伏,3.97,连云区,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S005,华之检恒邦光伏,7.04,灌云县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S006,沐恒石湖光伏,5.0,东海县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S007,林洋朝阳光伏,22.0,连云区,地面,单晶硅,25,180,-0.004,0.85,0.98,ground_mounted,ground_default
S008,协鑫盛昌光伏,3.172,灌云县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S009,华电金叶光伏,5.25,赣榆区,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S010,易睐珂浦南光伏,2.0,海州区,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S011,中森西苑光伏,2.323,灌云县,屋顶,多晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S012,泰富如意情光伏,17.55,东海县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S013,鑫众墩尚光伏,7.0,赣榆区,地面及鱼塘,多晶硅,25,180,-0.004,0.85,0.98,ground_mounted,ground_default
S014,鲲鹏昇昌光伏,5.1,灌云县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S015,振江轨道交通光伏,9.73,灌云县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S016,衡航亚新光伏,8.5,灌南县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S017,富云四队光伏,0.954,灌云县,地面,多晶硅,25,180,-0.004,0.85,0.98,ground_mounted,ground_default
S018,国能百菇源光伏,5.1,灌云县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S019,首耀新海光伏,3.0,海州区,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S020,国能赫睿光伏,3.8,赣榆区,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S021,国能鑫江源光伏,2.2,赣榆区,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S022,浦西光伏电站,3.24,海州区,屋顶,多晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S023,连洋徐圩光伏,16.37,连云区,屋顶,多晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S024,兴怡紧固件光伏,5.99,赣榆区,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S025,夏源银得隆光伏,5.65,灌南县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S026,京运通牛山光伏电站,2.6,东海县,屋顶,多晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S027,林洋伊山光伏,22.0,灌云县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S028,华能星耀光伏,3.14,灌云县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S029,协鑫曲阳光伏电站,20.0,东海县,鱼塘,单晶硅,20,180,-0.004,0.85,0.98,unknown,unknown_default
S030,中森侍庄光伏,2.9,灌云县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S031,富云杨集光伏,0.9222,灌云县,地面,多晶硅,25,180,-0.004,0.85,0.98,ground_mounted,ground_default
S032,华能中林光伏,9.335,灌云县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S033,天瀚万发光伏,5.688,海州区,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
