date,city_actual_peak_hour,city_pred_peak_hour,city_delta,site_mean_delta,g_blend_delta
2025-07-01,11,11,0,-0.5555555555555556,0
2025-07-02,12,12,0,-0.35185185185185186,1
2025-07-03,12,12,0,-0.2222222222222222,0
2025-07-04,12,13,1,1.0188679245283019,2
2025-07-05,12,12,0,-0.03773584905660377,0
2025-07-06,11,10,-1,-0.8846153846153846,0
2025-07-07,14,11,-3,-1.3773584905660377,2
2025-07-08,11,11,0,-0.39622641509433965,3
2025-07-09,11,11,0,-0.05660377358490566,1
2025-07-10,14,13,-1,-0.9245283018867925,1
2025-07-11,14,13,-1,0.4716981132075472,-1
2025-07-12,12,12,0,0.22641509433962265,2
2025-07-13,12,13,1,0.7547169811320755,1
2025-07-14,12,12,0,0.40384615384615385,2
2025-07-15,11,12,1,1.3076923076923077,1
2025-07-16,12,13,1,1.5192307692307692,1
2025-07-17,11,12,1,0.6730769230769231,1
2025-07-18,11,12,1,-0.24528301886792453,1
2025-07-19,12,12,0,0.5471698113207547,1
2025-07-20,10,11,1,-1.3018867924528301,1
2025-07-21,11,11,0,-0.9245283018867925,1
2025-07-22,13,12,-1,0.3018867924528302,2
2025-07-23,11,11,0,-0.07692307692307693,-1
2025-07-24,11,12,1,0.05660377358490566,0
2025-07-25,12,13,1,0.8301886792452831,0
2025-07-26,12,13,1,1.3962264150943395,1
2025-07-27,12,12,0,0.33962264150943394,0
2025-07-28,12,12,0,0.09433962264150944,1
2025-07-29,12,13,1,0.7358490566037735,2
2025-07-30,11,13,2,1.2641509433962264,4
2025-07-31,13,13,0,-0.660377358490566,0
2025-08-01,15,12,-3,-2.2641509433962264,-3
2025-08-02,14,12,-2,0.1509433962264151,-3
2025-08-03,14,13,-1,1.5660377358490567,0
2025-08-04,11,12,1,0.09433962264150944,1
2025-08-05,12,13,1,0.07547169811320754,0
2025-08-06,13,11,-2,-0.9056603773584906,1
2025-08-07,13,12,-1,-0.5094339622641509,-1
2025-08-08,12,13,1,0.3018867924528302,0
2025-08-09,13,15,2,2.3962264150943398,3
2025-08-10,12,12,0,0.4528301886792453,-1
2025-08-11,12,13,1,1.4528301886792452,1
2025-08-12,11,11,0,0.32075471698113206,0
2025-08-13,13,10,-3,-1.5576923076923077,1
2025-08-14,12,14,2,1.9423076923076923,2
2025-08-15,12,13,1,0.8269230769230769,2
2025-08-16,11,13,2,0.8461538461538461,1
2025-08-17,11,12,1,-0.28846153846153844,-1
2025-08-18,13,12,-1,0.32,1
2025-08-19,11,12,1,0.0392156862745098,1
2025-08-20,11,12,1,0.49019607843137253,2
2025-08-21,11,11,0,-0.5961538461538461,0
2025-08-22,12,12,0,0.11538461538461539,1
2025-08-23,12,12,0,0.2692307692307692,0
2025-08-24,12,11,-1,-0.19230769230769232,1
2025-08-25,13,15,2,1.2884615384615385,2
2025-08-26,14,11,-3,-0.8269230769230769,-1
2025-08-27,11,12,1,0.19230769230769232,-1
2025-08-28,12,12,0,0.3269230769230769,0
2025-08-29,12,12,0,0.49019607843137253,1
2025-08-30,10,9,-1,2.923076923076923,3
2025-08-31,14,14,0,1.8235294117647058,2
2025-09-01,13,10,-3,0.46153846153846156,2
2025-09-02,12,11,-1,0.6274509803921569,2
2025-09-03,10,13,3,1.607843137254902,4
2025-09-04,11,12,1,0.6470588235294118,1
2025-09-05,12,11,-1,0.49019607843137253,3
2025-09-06,12,13,1,0.8823529411764706,-1
2025-09-07,11,12,1,1.6862745098039216,1
2025-09-08,13,14,1,1.8,2
2025-09-09,11,13,2,1.36,2
2025-09-10,11,13,2,1.1,2
2025-09-11,10,11,1,1.52,2
2025-09-12,15,12,-3,-1.08,10
2025-09-13,11,14,3,2.44,6
2025-09-14,12,12,0,0.98,0
2025-09-15,12,12,0,-0.37254901960784315,0
2025-09-16,11,12,1,0.3076923076923077,1
2025-09-17,13,13,0,1.4705882352941178,7
2025-09-18,12,12,0,0.8269230769230769,0
2025-09-19,11,10,-1,-0.5192307692307693,4
2025-09-20,13,11,-2,0.8076923076923077,2
2025-09-21,11,11,0,-0.21153846153846154,1
2025-09-22,11,12,1,1.5576923076923077,-1
2025-09-23,14,12,-2,-0.6538461538461539,-2
2025-09-24,12,11,-1,-0.07692307692307693,5
2025-09-25,13,11,-2,0.09615384615384616,1
2025-09-26,13,11,-2,-0.7692307692307693,6
2025-09-27,10,13,3,2.173076923076923,6
2025-09-28,13,13,0,2.230769230769231,2
2025-09-29,12,13,1,1.4313725490196079,1
2025-09-30,11,12,1,0.45098039215686275,1
2025-10-01,13,10,-3,-1.86,-2
2025-10-02,14,13,-1,-0.4117647058823529,8
2025-10-03,12,13,1,0.47058823529411764,-2
2025-10-04,10,10,0,0.11764705882352941,4
2025-10-05,12,14,2,0.96,-1
2025-10-06,12,13,1,1.0784313725490196,2
2025-10-07,13,12,-1,-0.3333333333333333,-1
2025-10-08,10,10,0,0.09615384615384616,1
2025-10-09,12,12,0,0.7307692307692307,1
2025-10-10,11,11,0,-0.6346153846153846,1
2025-10-11,11,11,0,0.2692307692307692,0
2025-10-12,11,12,1,0.9807692307692307,7
2025-10-13,11,12,1,0.9245283018867925,6
2025-10-14,10,11,1,0.39622641509433965,0
2025-10-15,12,10,-2,-0.9811320754716981,4
2025-10-16,10,11,1,-0.18867924528301888,1
2025-10-17,10,11,1,1.7169811320754718,6
2025-10-18,12,13,1,1.6603773584905661,2
2025-10-19,11,12,1,1.7924528301886793,1
2025-10-20,12,10,-2,-0.5471698113207547,2
2025-10-21,13,12,-1,-0.41509433962264153,-1
2025-10-22,12,12,0,0.5094339622641509,1
2025-10-23,12,12,0,0.5660377358490566,1
2025-10-24,12,13,1,0.22641509433962265,1
2025-10-25,12,13,1,1.2075471698113207,7
2025-10-26,12,11,-1,-0.5849056603773585,-1
2025-10-27,12,12,0,0.7169811320754716,1
2025-10-28,12,12,0,0.6792452830188679,1
2025-10-29,11,11,0,0.8867924528301887,1
2025-10-30,12,13,1,1.6037735849056605,1
2025-10-31,13,13,0,0.49056603773584906,1
2025-11-01,12,12,0,0.49056603773584906,0
2025-11-02,12,12,0,0.5283018867924528,0
2025-11-03,12,11,-1,0.4528301886792453,1
2025-11-04,12,12,0,0.9811320754716981,0
2025-11-05,12,12,0,0.8490566037735849,0
2025-11-06,12,13,1,1.7924528301886793,2
2025-11-07,12,11,-1,0.11320754716981132,-2
2025-11-08,12,12,0,1.6603773584905661,6
2025-11-09,12,11,-1,0.8490566037735849,1
2025-11-10,12,11,-1,0.33962264150943394,1
2025-11-11,12,14,2,2.150943396226415,2
2025-11-12,12,12,0,0.5660377358490566,1
2025-11-13,12,11,-1,0.1320754716981132,1
2025-11-14,12,11,-1,-0.20754716981132076,0
2025-11-15,11,11,0,0.7735849056603774,1
2025-11-16,12,11,-1,0.3584905660377358,0
2025-11-17,12,11,-1,0.3018867924528302,1
2025-11-18,12,11,-1,0.3584905660377358,0
2025-11-19,12,12,0,0.5849056603773585,0
2025-11-20,11,12,1,1.0192307692307692,1
2025-11-21,12,12,0,0.5660377358490566,0
2025-11-22,11,12,1,0.6981132075471698,1
2025-11-23,12,12,0,0.2641509433962264,1
2025-11-24,12,11,-1,0.6226415094339622,1
2025-11-25,12,12,0,0.7547169811320755,1
2025-11-26,12,12,0,0.37735849056603776,1
2025-11-27,12,12,0,0.5769230769230769,0
2025-11-28,12,12,0,0.6037735849056604,1
2025-11-29,12,12,0,0.5660377358490566,1
2025-11-30,12,12,0,0.33962264150943394,0
2025-12-01,12,11,-1,0.41509433962264153,1
2025-12-02,11,11,0,0.16981132075471697,0
2025-12-03,12,12,0,0.6037735849056604,1
2025-12-04,12,12,0,0.5849056603773585,1
2025-12-05,12,12,0,0.6037735849056604,1
2025-12-06,12,12,0,0.5849056603773585,1
2025-12-07,12,13,1,1.3396226415094339,3
2025-12-08,12,12,0,0.5094339622641509,0
2025-12-09,12,12,0,0.6981132075471698,1
2025-12-10,11,11,0,-0.2830188679245283,1
2025-12-11,12,11,-1,0.6415094339622641,-2
2025-12-12,11,12,1,1.4528301886792452,0
2025-12-13,13,13,0,0.5849056603773585,7
2025-12-14,12,12,0,0.41509433962264153,1
2025-12-15,12,11,-1,-0.3584905660377358,0
2025-12-16,12,12,0,0.3269230769230769,0
2025-12-17,12,12,0,0.34615384615384615,1
2025-12-18,12,12,0,0.5283018867924528,0
2025-12-19,11,12,1,0.5769230769230769,1
2025-12-20,13,12,-1,0.3269230769230769,-1
2025-12-21,12,12,0,0.34615384615384615,1
2025-12-22,13,14,1,1.5961538461538463,1
2025-12-23,13,14,1,1.3461538461538463,8
2025-12-24,12,13,1,0.7692307692307693,1
2025-12-25,12,12,0,0.19230769230769232,1
2025-12-26,12,12,0,0.1346153846153846,0
2025-12-27,12,12,0,0.3076923076923077,0
2025-12-28,12,12,0,0.3076923076923077,1
2025-12-29,12,12,0,0.038461538461538464,1
2025-12-30,12,12,0,0.28846153846153844,1
2025-12-31,12,12,0,0.4807692307692308,1
