site_id,n_dates,peak_g_blend_pred_mean_delta,peak_g_blend_pred_median_delta,peak_g_blend_pred_delta_zero_pct,peak_p_base_mean_delta,peak_p_base_median_delta,peak_p_base_delta_zero_pct
S002,184,3.5649692712906056,5.0,16.549604916593502,,,
S002,184,,,,3.5772607550482878,5.0,15.935030728709393
S003,13,-0.5384615384615384,0.0,23.076923076923077,,,
S003,13,,,,-0.5384615384615384,0.0,23.076923076923077
S004,184,0.3192893401015228,0.0,39.746192893401016,,,
S004,184,,,,0.32588832487309644,0.0,39.746192893401016
S006,170,0.6493585827733659,1.0,21.075137446548563,,,
S006,170,,,,0.6566890653634697,1.0,20.34208918753818
S007,184,0.8247619047619048,1.0,22.57142857142857,,,
S007,184,,,,0.8376190476190476,1.0,21.904761904761905
S008,184,0.4676894467689447,0.0,39.51650395165039,,,
S008,184,,,,0.4802417480241748,0.0,39.377033937703395
S010,184,0.3371529308065227,0.0,40.45835169678272,,,
S010,184,,,,0.3371529308065227,0.0,40.45835169678272
S011,184,0.44433962264150945,0.0,35.89622641509434,,,
S011,184,,,,0.44858490566037734,0.0,35.471698113207545
S012,171,2.839090909090909,2.0,16.136363636363637,,,
S012,171,,,,2.845,2.0,16.727272727272727
S014,184,0.4236714975845411,0.0,37.29468599033817,,,
S014,184,,,,0.4236714975845411,0.0,37.29468599033817
S016,183,0.26536312849162014,0.0,35.25139664804469,,,
S016,183,,,,0.26536312849162014,0.0,35.25139664804469
S017,184,2.3378952336007552,1.0,26.89948088721095,,,
S017,184,,,,2.3430863614912694,1.0,26.89948088721095
S018,184,0.518840579710145,0.0,34.20289855072463,,,
S018,184,,,,0.518840579710145,0.0,34.20289855072463
S019,178,2.0644549763033178,1.0,28.29383886255924,,,
S019,178,,,,2.0644549763033178,1.0,28.29383886255924
S022,184,0.40111679851093535,0.0,35.59795253606329,,,
S022,184,,,,0.40111679851093535,0.0,35.59795253606329
S023,184,0.37395577395577395,0.0,37.64127764127764,,,
S023,184,,,,0.37395577395577395,0.0,37.64127764127764
S024,184,0.5558217537134643,0.0,41.063727839003356,,,
S024,184,,,,0.5558217537134643,0.0,41.063727839003356
S025,184,0.4006849315068493,0.0,38.454011741682976,,,
S025,184,,,,0.4050880626223092,0.0,38.89432485322896
S028,183,0.27972372964972864,0.0,38.82585101134682,,,
S028,183,,,,0.27972372964972864,0.0,38.82585101134682
S030,184,0.47195357833655704,1.0,28.91682785299807,,,
S030,184,,,,0.4763056092843327,1.0,28.91682785299807
S031,184,-0.014729089952656496,0.0,33.824302998421885,,,
S031,184,,,,-0.0010520778537611783,0.0,33.14045239347712
S033,184,0.504521656354117,0.0,35.93526891956211,,,
S033,184,,,,0.5121370775821038,0.0,34.602570204664445
S034,175,0.3683360258481422,0.0,36.6182014001077,,,
S034,175,,,,0.3887991383952612,0.0,36.025848142164776
S035,184,0.47573739295908657,1.0,28.353948620361564,,,
S035,184,,,,0.47573739295908657,1.0,28.353948620361564
S037,80,0.4031620553359684,0.0,50.856389986824766,,,
S037,80,,,,0.4031620553359684,0.0,50.856389986824766
S038,182,0.42191373326722853,0.0,39.414972731779876,,,
S038,182,,,,0.4526524541398116,0.0,38.919186911254336
S039,184,0.8296545105566219,1.0,28.742802303262955,,,
S039,184,,,,0.8248560460652591,1.0,29.222648752399234
S040,184,0.2555023923444976,0.0,34.78468899521531,,,
S040,184,,,,0.2751196172248804,0.0,34.11483253588517
S041,184,0.5079441502166586,0.0,36.97640828117477,,,
S041,184,,,,0.502166586422725,0.0,36.928261916225324
S042,184,0.3587487781036168,0.0,37.24340175953079,,,
S042,184,,,,0.3675464320625611,0.0,36.36363636363637
S047,179,0.3608040201005025,0.0,34.57286432160804,,,
S047,179,,,,0.3608040201005025,0.0,34.57286432160804
S048,184,0.40610205155181484,0.0,36.98053655970542,,,
S048,184,,,,0.40610205155181484,0.0,36.98053655970542
S049,184,0.32436399217221135,0.0,37.133072407045006,,,
S049,184,,,,0.32974559686888455,0.0,36.59491193737769
S050,184,1.8979138925876609,1.0,19.618286728806037,,,
S050,184,,,,1.904127829560586,1.0,18.996893031513537
S051,183,0.33141486810551557,0.0,32.805755395683455,,,
S051,183,,,,0.33141486810551557,0.0,32.805755395683455
S052,184,0.2870632672332389,0.0,37.4409820585458,,,
S052,184,,,,0.2870632672332389,0.0,37.4409820585458
S053,184,5.671417260490895,6.0,2.2169437846397466,,,
S053,184,,,,5.671417260490895,6.0,2.2169437846397466
S054,184,0.3349538162372387,0.0,34.85658726300437,,,
S054,184,,,,0.3412736995624696,0.0,34.85658726300437
S055,160,4.0292079207920795,6.0,10.14851485148515,,,
S055,160,,,,4.0292079207920795,6.0,10.14851485148515
S056,184,0.4451948051948052,1.0,28.467532467532468,,,
S056,184,,,,0.4587012987012987,1.0,28.467532467532468
S059,184,3.780048076923077,6.0,13.221153846153847,,,
S059,184,,,,3.796875,6.0,12.660256410256409
S060,184,0.41057692307692306,0.0,31.25,,,
S060,184,,,,0.4149038461538462,0.0,31.25
S061,184,0.3729703915950334,0.0,38.4909264565425,,,
S061,184,,,,0.38156638013371535,0.0,37.63132760267431
S062,184,0.43445878848063557,0.0,35.99801390268123,,,
S062,184,,,,0.43892750744786496,0.0,35.55114200595829
S063,182,0.3793293018141836,0.0,34.8543155579989,,,
S063,182,,,,0.3787795492028587,0.0,35.34909290819132
S064,184,0.5633210719915922,0.0,38.09774040987914,,,
S064,184,,,,0.558591697320021,0.0,38.57067787703626
S065,184,0.4572573463935886,0.0,33.92698130008905,,,
S065,184,,,,0.45814781834372215,0.0,33.83793410507569
S068,184,0.42081894425259003,0.0,38.77651702022693,,,
S068,184,,,,0.4168722249629995,0.0,39.17118894918599
S070,184,0.2987141444114738,0.0,35.16320474777448,,,
S070,184,,,,0.304648862512364,0.0,34.56973293768546
S071,182,3.017911751856706,2.0,19.178680646570555,,,
S071,182,,,,3.0231542158147664,2.0,18.654434250764528
S072,184,0.8616920152091255,1.0,25.475285171102662,,,
S072,184,,,,0.8659695817490495,1.0,25.04752851711027
S073,184,0.3812615955473098,0.0,37.52319109461967,,,
S073,184,,,,0.38589981447124305,0.0,37.05936920222634
S074,184,0.38004750593824227,0.0,34.53681710213777,,,
S074,184,,,,0.3752969121140142,0.0,35.011876484560574
S075,184,0.28632887189292544,0.0,33.508604206500955,,,
S075,184,,,,0.28632887189292544,0.0,33.508604206500955
S076,47,0.13051146384479717,0.0,23.633156966490297,,,
S076,47,,,,0.13051146384479717,0.0,23.633156966490297
