站点ID,站点名称,平均相对误差(%),中位相对误差(%),样本数
S002,华筑泰宝光伏,38.102,28.443,1415
S004,旭樱东堡光伏,54.55,33.617,1184
S007,林洋朝阳光伏,38.279,14.612,1276
S008,协鑫盛昌光伏,28.123,16.698,1319
S009,华电金叶光伏,52.535,15.459,1312
S010,易睐珂浦南光伏,29.574,18.816,1421
S011,中森西苑光伏,26.435,12.732,1286
S012,泰富如意情光伏,849.806,920.804,1402
S014,鲲鹏昇昌光伏,61.144,45.147,1261
S017,富云四队光伏,31.786,20.844,1288
S018,国能百菇源光伏,33.63,17.322,1261
S019,首耀新海光伏,34.239,19.44,1357
S020,国能赫睿光伏,47.815,16.733,1255
S021,国能鑫江源光伏,43.193,26.593,1205
S022,浦西光伏电站,40.071,44.08,1313
S023,连洋徐圩光伏,28.623,13.163,1235
S024,兴怡紧固件光伏,37.113,27.566,1260
S025,夏源银得隆光伏,30.993,14.187,1241
S028,华能星耀光伏,35.574,25.709,1238
S030,中森侍庄光伏,33.03,14.99,1253
S032,华能中林光伏,56.221,61.911,1263
S033,天瀚万发光伏,30.187,21.024,1278
S035,国能品品鲜光伏,36.677,14.003,1285
S038,衡诚天晴光伏,25.649,19.556,1223
S039,沐恒腾东光伏,146.002,36.944,1266
S040,华电苏班光伏,33.431,21.511,1264
S041,交控赣榆南光伏,38.124,17.665,1257
S042,国能联合动力光伏,24.809,11.135,1241
S046,国能新易春光伏,76.142,19.046,1304
S047,汇九齿轮光伏电站,20.345,9.485,1230
S049,华能灌云光伏,27.227,13.107,1238
S050,沐恒东海产业园光伏,218.726,75.499,1440
S051,鲲鹏德宇光伏,84.205,60.447,1266
S052,鹰游新立成二期光伏,42.023,46.212,1290
S053,鹰游新立成光伏电站,45.268,45.514,1662
S054,鸿天伍江光伏,51.235,31.414,1247
S055,沐恒曲阳光伏,119.429,132.3,1503
S056,昱中科技光伏,54.426,31.037,1148
S059,首耀清墩光伏,36.275,34.966,1677
S060,华电蒙然源光伏,58.797,41.145,1251
S061,嘉伏黎明光伏,38.28,20.621,1277
S062,韩华大浦光伏电站,28.102,15.584,1219
S064,昱瑞青口光伏,37.384,12.833,1135
S065,中盛石榴光伏,24.017,13.477,1413
S066,科来恩润石光伏,38.65,17.833,1281
S068,富云下车光伏,26.315,18.939,1230
S070,旭日虎山光伏,39.941,21.668,1212
S071,协鑫南岗光伏,51.444,43.649,1495
S072,交控大浦光伏,28.48,17.026,1282
S073,华能裕灌光伏,27.227,25.61,1333
S074,华能中林二期光伏,33.632,12.235,1281
S075,旭樱新田光伏,47.896,25.503,1281
S116,林洋伊山光伏电站,103.996,36.647,1334
