站点ID,站点名称,MAE(MW),RMSE(MW),相对误差均值(%),误差<1MW比例(%),样本数,问题标注
S002,华筑泰宝光伏,0.3861,0.529,38.1,89.0,1415,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率50%)
S004,旭樱东堡光伏,0.3194,0.436,54.55,96.2,1184,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率55%)
S007,林洋朝阳光伏,1.6828,2.4038,38.28,46.9,1276,🔴 最差站点(MAE>0.8MW或相对误差>200%) | 🟠 训练数据少(n<3000) | 🔵 0值过多(零值率52%) | ⚠️ 预测偏离极大(<1MW比例仅47%)
S008,协鑫盛昌光伏,0.2486,0.3814,28.12,96.8,1319,🟠 训练数据少(n<3000)
S009,华电金叶光伏,0.4177,0.599,52.53,90.2,1312,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率52%)
S010,易睐珂浦南光伏,0.1,0.1499,29.57,100.0,1421,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率51%)
S011,中森西苑光伏,0.1251,0.1937,26.44,100.0,1286,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率51%)
S012,泰富如意情光伏,2.3293,3.5112,849.81,48.0,1402,🔴 最差站点(MAE>0.8MW或相对误差>200%) | 🟠 训练数据少(n<3000) | 🔵 0值过多(零值率61%) | ⚠️ 预测偏离极大(<1MW比例仅48%)
S014,鲲鹏昇昌光伏,0.4027,0.5328,61.14,93.5,1261,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率59%)
S017,富云四队光伏,0.0456,0.0678,31.79,100.0,1288,✅ 最好站点(MAE<0.1MW) | 🟠 训练数据少(n<3000) | 🔵 0值过多(零值率76%)
S018,国能百菇源光伏,0.3269,0.4929,33.63,93.2,1261,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率53%)
S019,首耀新海光伏,0.6881,1.0535,34.24,72.7,1357,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率53%)
S020,国能赫睿光伏,0.2735,0.3795,47.82,97.4,1255,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率53%)
S021,国能鑫江源光伏,0.2296,0.3035,43.19,99.6,1205,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率56%)
S022,浦西光伏电站,0.3699,0.5148,40.07,93.3,1313,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率54%)
S023,连洋徐圩光伏,0.7813,1.136,28.62,71.6,1235,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率54%)
S024,兴怡紧固件光伏,0.3874,0.534,37.11,93.5,1260,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率56%)
S025,夏源银得隆光伏,0.3468,0.5034,30.99,93.2,1241,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率55%)
S028,华能星耀光伏,0.2884,0.433,35.57,94.3,1238,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率55%)
S030,中森侍庄光伏,0.2091,0.2933,33.03,99.4,1253,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率52%)
