site_id,站点名称,hour,平均相对误差_pct,中位相对误差_pct,样本数
S002,华筑泰宝光伏,6,99.399,100.0,54
S002,华筑泰宝光伏,7,80.622,59.048,113
S002,华筑泰宝光伏,8,57.693,40.075,121
S002,华筑泰宝光伏,9,59.992,36.479,121
S002,华筑泰宝光伏,10,76.154,22.46,121
S002,华筑泰宝光伏,11,60.409,26.798,121
S002,华筑泰宝光伏,12,76.654,32.29,122
S002,华筑泰宝光伏,13,74.99,33.681,122
S002,华筑泰宝光伏,14,66.817,27.666,122
S002,华筑泰宝光伏,15,55.297,38.74,122
S002,华筑泰宝光伏,16,81.462,59.592,122
S002,华筑泰宝光伏,17,83.121,91.668,84
S002,华筑泰宝光伏,18,99.161,100.0,35
S002,华筑泰宝光伏,19,100.0,100.0,35
S004,旭樱东堡光伏,6,80.423,87.134,4
S004,旭樱东堡光伏,7,102.716,47.349,65
S004,旭樱东堡光伏,8,142.585,29.938,119
S004,旭樱东堡光伏,9,155.233,29.195,121
S004,旭樱东堡光伏,10,116.353,32.399,119
S004,旭樱东堡光伏,11,85.67,29.943,122
S004,旭樱东堡光伏,12,101.95,28.075,121
S004,旭樱东堡光伏,13,103.562,36.274,122
S004,旭樱东堡光伏,14,143.962,39.332,122
S004,旭樱东堡光伏,15,132.665,39.107,120
S004,旭樱东堡光伏,16,131.145,52.178,111
S004,旭樱东堡光伏,17,79.674,54.281,35
S004,旭樱东堡光伏,18,63.908,59.869,3
S007,林洋朝阳光伏,6,80.923,76.868,13
S007,林洋朝阳光伏,7,280.998,75.503,96
S007,林洋朝阳光伏,8,117.015,32.447,120
S007,林洋朝阳光伏,9,116.134,26.513,122
S007,林洋朝阳光伏,10,83.928,21.249,122
S007,林洋朝阳光伏,11,67.288,16.173,122
S007,林洋朝阳光伏,12,54.791,16.425,122
S007,林洋朝阳光伏,13,72.149,30.883,122
S007,林洋朝阳光伏,14,65.936,18.953,122
S007,林洋朝阳光伏,15,63.732,16.828,122
S007,林洋朝阳光伏,16,89.401,25.549,122
S007,林洋朝阳光伏,17,53.845,55.854,59
S007,林洋朝阳光伏,18,71.134,76.387,12
S008,协鑫盛昌光伏,6,128.197,100.0,19
S008,协鑫盛昌光伏,7,69.711,53.068,105
S008,协鑫盛昌光伏,8,73.389,27.556,122
S008,协鑫盛昌光伏,9,39.995,21.65,121
S008,协鑫盛昌光伏,10,58.574,22.121,122
S008,协鑫盛昌光伏,11,42.802,24.43,122
S008,协鑫盛昌光伏,12,46.291,23.71,122
S008,协鑫盛昌光伏,13,66.101,24.457,122
S008,协鑫盛昌光伏,14,48.166,20.471,122
S008,协鑫盛昌光伏,15,49.001,20.785,122
S008,协鑫盛昌光伏,16,61.38,23.345,122
S008,协鑫盛昌光伏,17,117.094,62.842,84
S008,协鑫盛昌光伏,18,59.746,45.147,14
S009,华电金叶光伏,6,263.092,100.0,23
S009,华电金叶光伏,7,124.772,51.847,87
S009,华电金叶光伏,8,123.12,42.385,122
S009,华电金叶光伏,9,93.802,33.377,121
S009,华电金叶光伏,10,100.889,26.606,122
S009,华电金叶光伏,11,109.709,22.518,122
S009,华电金叶光伏,12,84.28,16.197,122
S009,华电金叶光伏,13,87.493,27.07,122
S009,华电金叶光伏,14,86.501,23.602,122
S009,华电金叶光伏,15,92.875,36.846,122
S009,华电金叶光伏,16,127.124,69.016,122
S009,华电金叶光伏,17,162.795,100.0,78
S009,华电金叶光伏,18,271.91,100.0,22
S009,华电金叶光伏,19,100.0,100.0,5
S010,易睐珂浦南光伏,6,90.284,100.0,48
S010,易睐珂浦南光伏,7,88.756,45.746,92
S010,易睐珂浦南光伏,8,63.708,26.404,118
S010,易睐珂浦南光伏,9,90.711,25.937,122
S010,易睐珂浦南光伏,10,59.508,18.131,122
S010,易睐珂浦南光伏,11,40.973,17.088,122
S010,易睐珂浦南光伏,12,45.767,18.864,122
S010,易睐珂浦南光伏,13,43.574,24.329,122
S010,易睐珂浦南光伏,14,52.775,26.686,122
S010,易睐珂浦南光伏,15,49.073,29.271,122
S010,易睐珂浦南光伏,16,69.703,52.725,122
S010,易睐珂浦南光伏,17,78.672,100.0,92
S010,易睐珂浦南光伏,18,98.267,100.0,54
S010,易睐珂浦南光伏,19,100.0,100.0,41
S011,中森西苑光伏,6,117.015,100.0,4
S011,中森西苑光伏,7,78.079,48.645,89
S011,中森西苑光伏,8,58.568,34.733,120
S011,中森西苑光伏,9,36.662,15.686,122
S011,中森西苑光伏,10,43.642,20.726,122
S011,中森西苑光伏,11,44.108,19.16,122
S011,中森西苑光伏,12,46.079,16.712,122
S011,中森西苑光伏,13,48.528,16.444,122
S011,中森西苑光伏,14,47.881,22.26,122
S011,中森西苑光伏,15,64.21,30.833,122
S011,中森西苑光伏,16,81.892,53.55,122
S011,中森西苑光伏,17,86.023,73.311,67
S011,中森西苑光伏,18,72.115,63.762,26
S011,中森西苑光伏,19,100.0,100.0,4
S012,泰富如意情光伏,6,98.252,100.0,76
S012,泰富如意情光伏,7,95.252,62.064,102
S012,泰富如意情光伏,8,572.679,579.001,108
S012,泰富如意情光伏,9,1183.594,1182.384,108
S012,泰富如意情光伏,10,1661.537,1732.395,109
S012,泰富如意情光伏,11,1946.339,1885.972,109
S012,泰富如意情光伏,12,2032.368,1796.197,109
S012,泰富如意情光伏,13,1905.533,1923.288,109
S012,泰富如意情光伏,14,1535.95,1542.512,109
S012,泰富如意情光伏,15,952.07,870.745,109
S012,泰富如意情光伏,16,355.259,342.835,107
S012,泰富如意情光伏,17,84.751,94.279,100
S012,泰富如意情光伏,18,99.205,100.0,77
S012,泰富如意情光伏,19,100.0,100.0,70
S014,鲲鹏昇昌光伏,6,81.981,86.62,14
S014,鲲鹏昇昌光伏,7,90.677,39.163,88
S014,鲲鹏昇昌光伏,8,142.983,42.565,120
S014,鲲鹏昇昌光伏,9,131.871,46.545,120
S014,鲲鹏昇昌光伏,10,81.468,49.907,120
S014,鲲鹏昇昌光伏,11,86.431,43.995,120
S014,鲲鹏昇昌光伏,12,78.418,44.144,120
S014,鲲鹏昇昌光伏,13,98.577,56.683,120
S014,鲲鹏昇昌光伏,14,116.853,59.544,119
S014,鲲鹏昇昌光伏,15,105.7,63.593,120
S014,鲲鹏昇昌光伏,16,119.282,69.034,119
S014,鲲鹏昇昌光伏,17,69.478,72.437,68
S014,鲲鹏昇昌光伏,18,84.131,82.059,13
S017,富云四队光伏,6,99.839,99.921,30
S017,富云四队光伏,7,81.179,86.914,69
S017,富云四队光伏,8,49.295,38.545,120
S017,富云四队光伏,9,40.191,23.139,119
S017,富云四队光伏,10,36.208,24.657,121
S017,富云四队光伏,11,43.02,27.016,121
S017,富云四队光伏,12,41.588,27.583,122
S017,富云四队光伏,13,38.658,25.047,120
S017,富云四队光伏,14,44.209,28.574,121
S017,富云四队光伏,15,40.916,23.882,120
S017,富云四队光伏,16,44.152,34.026,118
S017,富云四队光伏,17,81.861,80.515,47
S017,富云四队光伏,18,99.58,100.0,30
S017,富云四队光伏,19,100.0,100.0,30
S018,国能百菇源光伏,6,247.218,131.014,13
S018,国能百菇源光伏,7,113.182,41.047,89
S018,国能百菇源光伏,8,75.087,20.761,121
S018,国能百菇源光伏,9,54.663,18.918,121
S018,国能百菇源光伏,10,61.828,18.915,121
S018,国能百菇源光伏,11,45.387,18.482,122
S018,国能百菇源光伏,12,55.569,18.604,122
S018,国能百菇源光伏,13,49.006,27.121,121
S018,国能百菇源光伏,14,72.629,24.269,122
S018,国能百菇源光伏,15,79.507,29.464,122
S018,国能百菇源光伏,16,88.751,37.602,121
S018,国能百菇源光伏,17,136.77,65.72,54
S018,国能百菇源光伏,18,202.654,110.015,12
S019,首耀新海光伏,6,98.268,97.084,31
S019,首耀新海光伏,7,110.909,90.404,102
S019,首耀新海光伏,8,73.938,42.556,122
S019,首耀新海光伏,9,57.732,37.738,122
S019,首耀新海光伏,10,51.119,25.764,121
S019,首耀新海光伏,11,34.948,19.893,122
S019,首耀新海光伏,12,40.964,22.042,122
S019,首耀新海光伏,13,38.989,20.072,122
S019,首耀新海光伏,14,47.01,21.819,122
S019,首耀新海光伏,15,54.9,36.016,122
S019,首耀新海光伏,16,114.903,64.343,122
S019,首耀新海光伏,17,132.373,96.103,69
S019,首耀新海光伏,18,98.349,100.0,29
S019,首耀新海光伏,19,100.0,100.0,29
S020,国能赫睿光伏,6,381.291,240.753,18
S020,国能赫睿光伏,7,147.325,45.007,94
S020,国能赫睿光伏,8,113.292,30.073,119
S020,国能赫睿光伏,9,79.891,26.01,118
S020,国能赫睿光伏,10,86.639,23.453,119
S020,国能赫睿光伏,11,90.425,20.771,119
S020,国能赫睿光伏,12,56.325,16.7,119
S020,国能赫睿光伏,13,74.941,25.257,119
S020,国能赫睿光伏,14,79.222,23.728,120
S020,国能赫睿光伏,15,83.555,34.444,121
S020,国能赫睿光伏,16,163.684,76.113,120
S020,国能赫睿光伏,17,266.799,100.0,55
S020,国能赫睿光伏,18,530.014,310.849,14
S021,国能鑫江源光伏,6,410.923,466.667,11
S021,国能鑫江源光伏,7,61.623,43.698,74
S021,国能鑫江源光伏,8,82.55,39.719,116
