year,week,week_label,start_date,end_date,n_days,n_samples,n_sites,实际总出力(MWh),预测总出力(MWh),pred_actual_ratio,bias(%),全样本NRMSE(%),MAE(MW),RMSE(MW)
2025,36,2025-W36,2025-09-01,2025-09-07,7,4719,53,7628.14,7186.95,0.9422,-5.784,19.334,0.6627,1.1684
2025,37,2025-W37,2025-09-08,2025-09-14,7,4383,52,5886.63,5926.33,1.0067,0.674,18.93,0.5985,1.1429
2025,38,2025-W38,2025-09-15,2025-09-21,7,4205,53,6586.33,5905.65,0.8967,-10.335,20.937,0.7091,1.2778
2025,39,2025-W39,2025-09-22,2025-09-28,7,4195,53,4224.09,4359.29,1.032,3.201,20.431,0.6248,1.241
2025,40,2025-W40,2025-09-29,2025-10-05,7,4031,53,4866.48,4734.19,0.9728,-2.718,19.717,0.5901,1.2217
2025,41,2025-W41,2025-10-06,2025-10-12,7,4066,53,4822.14,4887.22,1.0135,1.35,20.379,0.6304,1.2687
2025,42,2025-W42,2025-10-13,2025-10-19,7,3984,53,3984.94,3946.43,0.9903,-0.966,21.902,0.6457,1.3623
2025,43,2025-W43,2025-10-20,2025-10-26,7,4098,53,5867.94,5778.76,0.9848,-1.52,20.981,0.6109,1.3012
2025,44,2025-W44,2025-10-27,2025-11-02,7,4116,53,6142.68,6327.11,1.03,3.002,21.028,0.6123,1.2972
2025,45,2025-W45,2025-11-03,2025-11-09,7,3990,53,5594.8,5054.96,0.9035,-9.649,20.543,0.5934,1.2704
2025,46,2025-W46,2025-11-10,2025-11-16,7,3902,53,6211.5,5950.04,0.9579,-4.209,19.698,0.5703,1.2251
2025,47,2025-W47,2025-11-17,2025-11-23,7,3880,53,5611.09,5658.96,1.0085,0.853,19.522,0.5509,1.2122
2025,48,2025-W48,2025-11-24,2025-11-30,7,3812,53,5885.14,5984.62,1.0169,1.69,18.874,0.519,1.1717
2025,49,2025-W49,2025-12-01,2025-12-07,7,3699,53,4995.8,5044.62,1.0098,0.977,18.465,0.5303,1.1277
2025,50,2025-W50,2025-12-08,2025-12-14,7,3488,53,3657.12,4284.13,1.1715,17.145,18.946,0.5693,1.1601
2025,51,2025-W51,2025-12-15,2025-12-21,7,3444,53,5056.45,4792.44,0.9478,-5.221,16.282,0.4875,0.9529
2025,52,2025-W52,2025-12-22,2025-12-28,7,3419,52,4404.34,4245.93,0.964,-3.597,18.243,0.5032,1.0532
2026,1,2026-W01,2025-12-29,2025-12-31,3,1457,52,1956.88,2001.46,1.0228,2.278,15.005,0.4465,0.8752
