datetime,date,hour,year,week,week_label,NRMSE_全部站点,NRMSE_去除最差站点后,NRMSE_降幅(%),MAPE(%)_全部站点,MAPE(%)_去除最差站点后,n_sites_全部站点,n_sites_去除最差站点后
2025-09-01 06:00,2025-09-01,6,2025,36,2025-W36,10.0337,11.2636,-12.257,114.834,117.546,45,43
2025-09-01 07:00,2025-09-01,7,2025,36,2025-W36,9.6004,9.6099,-0.099,33.543,32.824,52,49
2025-09-01 08:00,2025-09-01,8,2025,36,2025-W36,13.0083,9.3445,28.166,37.994,37.652,52,49
2025-09-01 09:00,2025-09-01,9,2025,36,2025-W36,17.3516,14.589,15.921,46.38,47.428,53,50
2025-09-01 10:00,2025-09-01,10,2025,36,2025-W36,20.3495,19.1077,6.103,60.566,61.537,53,50
2025-09-01 11:00,2025-09-01,11,2025,36,2025-W36,23.4981,23.9889,-2.089,62.088,63.878,52,49
2025-09-01 12:00,2025-09-01,12,2025,36,2025-W36,27.847,20.6249,25.935,55.829,56.489,52,49
2025-09-01 13:00,2025-09-01,13,2025,36,2025-W36,21.9694,19.8793,9.514,60.912,62.426,52,49
2025-09-01 14:00,2025-09-01,14,2025,36,2025-W36,26.7363,18.4819,30.873,65.643,66.677,52,49
2025-09-01 15:00,2025-09-01,15,2025,36,2025-W36,23.9131,15.9939,33.117,58.545,58.808,52,49
2025-09-01 16:00,2025-09-01,16,2025,36,2025-W36,13.719,10.7469,21.664,49.328,49.286,52,49
2025-09-01 17:00,2025-09-01,17,2025,36,2025-W36,11.9352,9.4332,20.963,49.972,47.833,52,49
2025-09-01 18:00,2025-09-01,18,2025,36,2025-W36,8.9027,9.9676,-11.962,62.173,61.917,53,50
2025-09-01 19:00,2025-09-01,19,2025,36,2025-W36,32.4119,53.9844,-66.557,100.0,100.0,7,6
2025-09-02 06:00,2025-09-02,6,2025,36,2025-W36,10.144,12.4154,-22.392,139.915,142.083,43,40
2025-09-02 07:00,2025-09-02,7,2025,36,2025-W36,10.4402,10.284,1.496,48.539,50.161,53,50
2025-09-02 08:00,2025-09-02,8,2025,36,2025-W36,14.7945,15.8345,-7.03,39.87,40.412,53,50
2025-09-02 09:00,2025-09-02,9,2025,36,2025-W36,16.6236,19.3038,-16.123,54.817,57.514,53,50
2025-09-02 10:00,2025-09-02,10,2025,36,2025-W36,23.8747,22.7897,4.545,60.208,62.282,53,50
2025-09-02 11:00,2025-09-02,11,2025,36,2025-W36,25.5346,23.656,7.357,71.627,73.305,53,50
2025-09-02 12:00,2025-09-02,12,2025,36,2025-W36,32.2099,24.5898,23.658,81.635,82.623,53,50
2025-09-02 13:00,2025-09-02,13,2025,36,2025-W36,30.9417,27.9061,9.811,198.101,201.685,53,50
2025-09-02 14:00,2025-09-02,14,2025,36,2025-W36,25.2337,26.6646,-5.671,148.239,151.458,53,50
2025-09-02 15:00,2025-09-02,15,2025,36,2025-W36,21.5712,16.8913,21.695,289.143,290.794,53,50
2025-09-02 16:00,2025-09-02,16,2025,36,2025-W36,13.2327,12.7502,3.646,153.689,155.342,53,50
2025-09-02 17:00,2025-09-02,17,2025,36,2025-W36,9.3115,10.5794,-13.616,70.066,70.961,52,49
