hour,实际总出力_MW_sum,预测总出力_MW_sum,平均相对误差_pct,中位相对误差_pct,样本数,相对误差_pct
6,1250.67,54.05,95.981,100.0,1241,134.669
7,2165.65,1207.88,51.012,47.742,4668,107.79
8,5056.01,4562.45,20.813,18.634,6331,90.988
9,8579.5,8503.1,22.831,14.523,6388,99.738
10,11228.72,11593.85,23.731,12.756,6403,106.128
11,13032.75,13240.14,19.893,9.943,6414,109.121
12,13517.78,13872.78,20.777,9.814,6421,112.577
13,12526.58,13071.79,22.723,10.875,6419,116.606
14,10525.2,10941.88,24.596,11.569,6419,109.873
15,7435.13,7607.85,18.378,11.237,6415,90.525
16,4049.82,3874.42,13.945,9.65,6341,96.381
17,1825.44,677.92,75.24,99.363,3480,104.498
18,1116.45,78.58,94.584,100.0,1255,117.194
19,1072.79,0.0,100.0,100.0,693,100.0
