日期,实际总出力(MWh),预测总出力(MWh),平均相对误差(%),最大相对误差(%),最小相对误差(%)
2025-09-01,1422.7,1225.75,13.843,100.0,0.055
2025-09-02,1153.83,1092.25,5.337,100.0,2.127
2025-09-03,968.81,892.62,7.865,100.0,3.055
2025-09-04,1212.56,1105.19,8.855,100.0,0.838
2025-09-05,1360.24,1208.94,11.123,100.0,3.499
2025-09-06,786.21,891.97,13.452,100.0,1.797
2025-09-07,723.79,770.24,6.418,100.0,0.446
2025-09-08,369.58,527.65,42.77,164.477,9.967
2025-09-09,1338.37,1183.52,11.57,100.0,0.057
2025-09-10,1493.69,1267.9,15.117,100.0,0.761
2025-09-11,545.27,791.49,45.155,115.199,1.119
2025-09-12,309.92,344.31,11.096,105.027,3.967
2025-09-13,702.68,731.97,4.168,100.0,2.434
2025-09-14,1127.12,1079.49,4.225,100.0,1.946
2025-09-15,772.88,795.68,2.949,100.0,0.655
2025-09-16,1193.34,919.45,22.952,100.0,10.666
2025-09-17,527.91,720.28,36.44,114.985,3.129
2025-09-18,1110.79,1003.19,9.687,100.0,0.474
2025-09-19,298.75,394.04,31.898,123.15,5.167
2025-09-20,1446.6,1193.61,17.488,100.0,5.674
2025-09-21,1236.06,879.4,28.854,100.0,1.154
2025-09-22,675.89,566.9,16.126,100.0,7.577
2025-09-23,644.44,539.85,16.229,100.0,7.741
2025-09-24,445.36,586.2,31.624,100.0,14.166
2025-09-25,772.41,942.28,21.993,100.0,1.095
2025-09-26,600.61,705.12,17.4,100.0,5.537
2025-09-27,415.98,439.44,5.639,100.616,1.496
2025-09-28,669.4,579.5,13.43,100.0,0.426
2025-09-29,819.82,684.11,16.553,100.0,0.082
2025-09-30,1315.23,1211.38,7.896,100.0,0.025
2025-10-01,831.82,890.38,7.04,139.5,9.047
2025-10-02,224.31,279.28,24.507,131.135,7.638
2025-10-03,615.54,646.02,4.952,100.0,1.198
2025-10-04,461.48,434.19,5.914,100.0,2.419
2025-10-05,598.28,588.82,1.581,100.0,6.05
2025-10-06,769.64,724.37,5.883,100.0,1.991
2025-10-07,780.21,752.49,3.553,100.0,0.687
2025-10-08,555.18,674.98,21.578,100.0,4.081
2025-10-09,1191.24,1061.1,10.924,100.0,2.036
2025-10-10,840.39,802.23,4.541,100.0,0.957
2025-10-11,415.59,521.96,25.595,100.0,18.491
2025-10-12,269.89,350.1,29.72,100.0,15.184
2025-10-13,277.31,382.26,37.847,132.371,15.739
2025-10-14,982.02,797.29,18.811,100.0,1.646
2025-10-15,255.59,306.34,19.855,110.952,9.504
2025-10-16,822.24,697.29,15.197,100.0,0.177
2025-10-17,348.2,353.19,1.434,100.0,2.477
2025-10-18,644.56,579.63,10.074,100.0,4.239
2025-10-19,655.02,830.43,26.78,130.452,4.582
2025-10-20,536.71,519.15,3.272,100.0,8.963
2025-10-21,712.81,762.81,7.015,100.0,7.391
2025-10-22,1214.41,1088.17,10.395,100.0,1.993
2025-10-23,1233.3,1055.56,14.411,100.0,6.246
2025-10-24,902.16,967.17,7.206,100.0,2.986
2025-10-25,469.93,517.81,10.189,100.0,1.966
2025-10-26,798.62,868.07,8.697,100.0,1.881
2025-10-27,1133.5,1063.71,6.157,100.0,0.167
2025-10-28,1066.63,1027.23,3.694,100.0,1.242
2025-10-29,997.67,949.08,4.87,100.0,1.435
2025-10-30,420.88,576.42,36.957,106.153,25.6
2025-10-31,649.29,717.66,10.531,100.0,3.68
2025-11-01,769.5,976.33,26.878,110.142,1.201
2025-11-02,1105.21,1016.68,8.01,100.0,0.304
2025-11-03,1042.3,1007.14,3.374,100.0,1.892
2025-11-04,949.75,937.54,1.285,100.0,5.196
2025-11-05,1011.93,976.92,3.46,100.0,0.026
2025-11-06,835.88,556.13,33.467,100.0,14.001
2025-11-07,562.06,386.84,31.174,100.0,7.734
2025-11-08,303.88,288.84,4.948,100.0,3.474
2025-11-09,889.0,901.54,1.411,100.0,2.403
2025-11-10,1079.79,934.57,13.449,100.0,3.944
