level,site_id,date,hour,n_samples,MAPE(%),NRMSE(%),MAE,RMSE
city,,,,,,,,
city,全市,2025-09-01,6,45,114.83,10.034,0.2048,0.637
city,全市,2025-09-01,7,52,33.54,9.6,0.3127,0.581
city,全市,2025-09-01,8,52,37.99,13.008,0.4832,0.7872
city,全市,2025-09-01,9,53,46.38,17.352,0.666,1.0467
city,全市,2025-09-01,10,53,59.31,19.035,0.811,1.1482
city,全市,2025-09-01,11,52,60.04,21.378,0.9285,1.2926
city,全市,2025-09-01,12,52,52.91,26.203,1.0308,1.5843
city,全市,2025-09-01,13,52,59.44,21.65,0.9613,1.3091
city,全市,2025-09-01,14,52,62.37,23.54,0.9359,1.4233
city,全市,2025-09-01,15,52,58.54,23.913,0.8732,1.4459
city,全市,2025-09-01,16,52,49.33,13.719,0.5623,0.8295
city,全市,2025-09-01,17,52,49.97,11.935,0.4161,0.7216
city,全市,2025-09-01,18,53,62.17,8.903,0.1834,0.537
city,全市,2025-09-01,19,7,100.0,32.412,1.2557,2.2935
city,全市,2025-09-02,6,43,139.92,10.144,0.2099,0.6532
city,全市,2025-09-02,7,53,48.54,10.44,0.3365,0.6298
city,全市,2025-09-02,8,53,39.87,14.794,0.5967,0.8924
city,全市,2025-09-02,9,53,54.82,16.624,0.7444,1.0028
city,全市,2025-09-02,10,53,60.56,24.021,0.9972,1.449
city,全市,2025-09-02,11,53,71.02,24.789,1.0702,1.4953
city,全市,2025-09-02,12,53,78.98,31.449,1.2418,1.8971
city,全市,2025-09-02,13,53,195.43,31.211,1.3193,1.8827
city,全市,2025-09-02,14,53,162.78,25.369,1.1412,1.5303
city,全市,2025-09-02,15,53,289.14,21.571,0.8864,1.3012
city,全市,2025-09-02,16,53,153.69,13.233,0.5582,0.7982
city,全市,2025-09-02,17,52,70.07,9.312,0.2956,0.5472
city,全市,2025-09-02,18,50,75.51,9.472,0.1848,0.5652
city,全市,2025-09-02,19,5,100.0,60.259,1.718,2.7126
city,全市,2025-09-03,6,45,119.65,13.701,0.2384,0.8426
city,全市,2025-09-03,7,53,39.78,10.786,0.3594,0.6507
city,全市,2025-09-03,8,53,51.21,16.046,0.6435,0.968
city,全市,2025-09-03,9,53,49.35,22.727,0.8949,1.371
city,全市,2025-09-03,10,53,47.37,25.977,1.0528,1.567
city,全市,2025-09-03,11,53,70.76,28.144,0.941,1.6977
city,全市,2025-09-03,12,53,75.93,28.635,1.1216,1.7274
city,全市,2025-09-03,13,53,154.0,33.419,1.392,2.0159
city,全市,2025-09-03,14,53,363.13,36.159,1.4489,2.1812
city,全市,2025-09-03,15,53,104.57,20.962,0.7547,1.2645
city,全市,2025-09-03,16,53,40.75,9.997,0.3486,0.603
city,全市,2025-09-03,17,53,38.02,10.728,0.3025,0.6471
city,全市,2025-09-03,18,49,116.39,9.057,0.1983,0.5635
city,全市,2025-09-03,19,5,100.0,53.334,1.86,2.7317
city,全市,2025-09-04,6,44,135.98,13.309,0.2407,0.8502
city,全市,2025-09-04,7,53,45.28,9.551,0.3245,0.5762
city,全市,2025-09-04,8,53,39.92,14.928,0.5777,0.9005
city,全市,2025-09-04,9,53,53.0,20.505,0.798,1.2369
city,全市,2025-09-04,10,53,68.75,20.479,0.9067,1.2353
city,全市,2025-09-04,11,53,72.4,24.436,1.0421,1.474
city,全市,2025-09-04,12,53,76.31,22.854,1.0206,1.3786
city,全市,2025-09-04,13,53,64.26,30.119,1.1486,1.8169
city,全市,2025-09-04,14,53,50.2,14.551,0.6049,0.8777
city,全市,2025-09-04,15,53,51.12,12.993,0.5476,0.7837
city,全市,2025-09-04,16,53,27.67,10.71,0.3362,0.646
city,全市,2025-09-04,17,52,40.4,10.998,0.3613,0.6695
city,全市,2025-09-04,18,52,88.62,8.924,0.1848,0.5433
city,全市,2025-09-04,19,5,100.0,53.387,1.87,2.7344
city,全市,2025-09-05,6,45,125.33,13.233,0.2388,0.8432
city,全市,2025-09-05,7,53,52.08,10.518,0.3656,0.6345
