hour,周二_rows,当前_rows,周二_站点平均NRMSE(%),当前_站点平均NRMSE(%),站点NRMSE变化,周二_城市NRMSE(%),当前_城市NRMSE(%),城市NRMSE变化
6,1143,1241,5.66,5.81,0.15,14.4,13.378,-1.022
7,4309,4668,5.67,5.12,-0.55,5.904,3.294,-2.61
8,6174,6331,7.09,7.26,0.17,2.949,1.293,-1.656
9,6289,6388,10.12,10.68,0.56,1.659,0.199,-1.46
10,6326,6403,11.63,13.29,1.66,2.763,2.674,-0.089
11,6339,6414,12.02,14.68,2.66,1.243,2.043,0.8
12,6352,6421,12.48,15.36,2.88,0.142,2.328,2.186
13,6345,6419,12.5,15.31,2.81,1.088,2.555,1.467
14,6334,6419,11.55,13.51,1.96,0.989,2.504,1.515
15,6313,6415,9.65,9.99,0.34,1.569,0.448,-1.121
16,6173,6341,6.17,6.7,0.53,2.269,0.459,-1.81
17,3180,3480,5.32,5.43,0.11,5.906,5.142,-0.764
18,1143,1255,5.02,5.34,0.32,12.663,11.615,-1.048
19,682,693,15.01,13.53,-1.48,19.18,20.141,0.961
