站点名,总样本数,有效非零样本,零值率,MAE,RMSE,MSE,相对MAE,相对RMSE,相关系数,真值均值,真值最大值,预测均值,预测最大值,综合评分
富云杨集光伏,2936,1134,0.6137602179836512,0.028111863324287882,0.05906927654265353,0.0034891794312724785,0.6678543274062566,1.1178126252217329,0.8924312590961859,0.0630858310626703,0.63,0.07892152976243386,0.4986620410015741,0.05268958376429905
富云四队光伏,2936,1288,0.5613079019073569,0.031563757410540856,0.061549949130889334,0.003788396238015065,0.7164569817224188,0.8630570417446338,0.6013072493105994,0.04536784741144414,0.56,0.017602529332277673,0.1721819287597625,0.05866530179975749
衡诚天晴光伏,2936,1223,0.5834468664850136,0.05295797667990464,0.11722532915016355,0.013741777794364186,0.461444057812909,0.7823268712779736,0.9295945661868391,0.17931539509536787,1.55,0.19373548683462696,1.2561364709947311,0.09019375926925145
沐恒腾东光伏,2936,1266,0.5688010899182562,0.05642951603480898,0.13024871419475365,0.016964727549386622,0.47893040065222514,1.0057837809513634,0.9486239073071416,0.22177792915531336,2.14,0.20538255780117443,1.8648330857829265,0.09607496351670416
易睐珂浦南光伏,2936,1423,0.5153269754768393,0.05757922852593944,0.11976283423955994,0.01434313646509231,0.6101531285562359,1.2798406925216055,0.9382275417564506,0.17182561307901908,1.52,0.21054699949571004,1.3302009698140251,0.10044508755685178
中森西苑光伏,2936,1286,0.5619891008174387,0.05882447445798345,0.1386616083260266,0.019227041623560405,0.5820376698856157,1.1735172953382818,0.9125553353267534,0.18888623978201632,1.84,0.21377364204674965,1.4017859583334948,0.10395862355648515
沐恒石湖光伏,2936,922,0.6859673024523161,0.06459081907935826,0.14160780817768234,0.020052771336887276,0.38082163927042273,0.6101630704242739,0.8690795370668503,0.15133855585831063,1.49,0.1752684016673263,1.272076004147584,0.11197844418848964
沐恒曲阳光伏,2936,1505,0.48739782016348776,0.07836069494947422,0.2233626800311139,0.04989088683068177,0.24612376080914639,0.3488829973284294,0.7587180049182946,0.1993767029972752,2.73,0.2142115745952753,2.2074746026527703,0.11595211513886335
沐恒东海产业园光伏,2936,1440,0.5095367847411444,0.06498324666667564,0.14433189077344963,0.020831694694238997,0.8849555092998032,1.6400492690729693,0.8559386020078754,0.1383276566757493,1.89,0.13460082716963806,1.4825540138738993,0.12492383991066987
昱中科技光伏,2936,1148,0.6089918256130791,0.07105004581181146,0.15844835219461034,0.025105880313187282,0.5405597081097943,1.3512301693436866,0.9358942844333772,0.2521117166212534,2.16,0.27330167764491575,1.5973627023398518,0.12651123981905904
中森侍庄光伏,2936,1253,0.5732288828337875,0.08740036443355279,0.19540981380615857,0.03818499533175756,0.577696163820886,1.2300437580849142,0.9329179036561619,0.31490803814713897,2.38,0.32870264136620175,1.8507469931656844,0.15508076755913547
交控赣榆南光伏,2936,1257,0.571866485013624,0.0902594984695499,0.1950633454880831,0.03804970875300327,0.5642472398113182,1.8965626218574176,0.9283675102165264,0.30360354223433245,2.14,0.2936426250079345,1.7932088673749345,0.1592085522331396
卓贵光之明光伏,2936,1129,0.6154632152588556,0.09284341187133403,0.21724662785426915,0.04719609731405131,0.4871732868902884,1.0287752533046985,0.9259717938893497,0.32615803814713895,2.92,0.35126766897157,2.1677501812761446,0.1623680066050778
汇九齿轮光伏电站,2936,1230,0.5810626702997275,0.10452451209896409,0.24795343372753884,0.06148090529727699,0.47320989983441514,1.026088586917163,0.9316396529707963,0.4050987738419618,3.3,0.4077267090724456,2.602892096330069,0.17865353193697467
华能星耀光伏,2936,1238,0.5783378746594006,0.10616517751094906,0.23434685006713699,0.05491844613638918,0.5157889132654889,1.0556594366470735,0.9271035176576495,0.3397104904632153,2.98,0.3884864065307859,2.312182649321224,0.18432789634314842
协鑫盛昌光伏,2936,1319,0.5507493188010899,0.1098851191602811,0.24733028244795274,0.061172268615784085,0.5560722493428008,1.0888084791486548,0.9254952374709209,0.38092302452316074,3.17,0.4020310845698356,2.392296986907084,0.19114887871365552
旭樱东堡光伏,2936,1184,0.5967302452316077,0.10936364513669355,0.24814033528840532,0.061573625997042206,0.6844954679739845,1.5922134655109905,0.9093260049375669,0.33456062670299724,3.25,0.35078752994420853,2.157450842725905,0.204501722188301
浦西光伏电站,2936,1313,0.5527929155313351,0.12471422383865424,0.2601472058991187,0.06767656873711846,0.4767180215981758,0.7269879487002326,0.9274144236947272,0.35582425068119883,2.98,0.2653423193135716,1.5909846741605749,0.21042811316082988
建魄俊达光伏,2936,1071,0.6352179836512262,0.11625457456308183,0.27167449705304286,0.0738070323490238,0.5704792786061577,2.0492655032585048,0.889051884982569,0.31124999999999997,3.04,0.35465988175125973,2.1683398521812887,0.21220296929445742
国能联合动力光伏,2936,1241,0.577316076294278,0.12457880703141165,0.2702930028555452,0.07305830739266775,0.5481763752068946,1.0403382962999483,0.9281005713239052,0.3840190735694823,3.41,0.44626104622064944,2.5607847279932354,0.2189697816134197
鲲鹏昇昌光伏,2936,1261,0.5705040871934605,0.13957777254027215,0.32881624011996696,0.10812011976663177,0.6670319904142542,1.377470368139441,0.9011354557266359,0.38397479564032694,3.7,0.450612978308726,3.0605709644836643,0.255893098315558
首耀清墩光伏,2936,1677,0.42881471389645776,0.152552698924925,0.2275938699906735,0.051798969657331585,0.6599986309733469,0.7559610027458714,0.5950887231102399,0.23649863760217985,1.48,0.15469417338114455,1.0645921297458645,0.25929250103268037
夏源银得隆光伏,2936,1241,0.577316076294278,0.1491407543006885,0.3399082131844003,0.11553759339021172,0.556261018260015,1.2708928273234634,0.9277458675644213,0.5357629427792916,4.51,0.5733296057477901,3.800719668270889,0.26297354755460256
兴怡紧固件光伏,2936,1260,0.5708446866485014,0.15423388447473477,0.3635945881640707,0.13220102454220017,0.610615936018866,1.398491405144641,0.906212226764027,0.4596423705722071,4.25,0.5158683687439266,3.7176885504253514,0.2768291055658498
