site_id,site_name,hour,samples,capacity_mw,mae_mw,rmse_mw,nrmse_pct,active_nrmse_pct,zero_actual_ratio_pct,bias_pct,pred_actual
S002,S002,6,122,3.3,0.356803,0.590305,17.888026,27.139532,55.737705,-100.0,0.0
S002,S002,7,122,3.3,0.39357,0.592457,17.953254,21.883986,7.377049,-98.372236,0.016278
S002,S002,8,122,3.3,0.399412,0.571679,17.323619,17.569332,0.819672,-60.518524,0.394815
S002,S002,9,122,3.3,0.322287,0.431057,13.062331,12.922235,0.819672,-17.795684,0.822043
S002,S002,10,122,3.3,0.267667,0.366872,11.117332,10.497876,0.819672,-0.569603,0.994304
S002,S002,11,122,3.3,0.340881,0.449299,13.615124,13.329686,0.819672,-6.64608,0.933539
S002,S002,12,122,3.3,0.386187,0.507046,15.365033,15.428348,0.0,-12.841658,0.871583
S002,S002,13,122,3.3,0.330701,0.435946,13.210473,13.210473,0.0,-8.155292,0.918447
S002,S002,14,122,3.3,0.264522,0.341263,10.341315,10.383948,0.0,-6.626984,0.93373
S002,S002,15,122,3.3,0.283813,0.384924,11.664378,11.712315,0.0,-20.524049,0.79476
S002,S002,16,122,3.3,0.310471,0.497594,15.078601,15.462723,0.0,-47.240615,0.527594
S002,S002,17,122,3.3,0.316999,0.558486,16.923827,23.727707,31.147541,-86.934039,0.13066
S002,S002,18,122,3.3,0.186007,0.385396,11.678673,21.804161,71.311475,-99.486315,0.005137
S002,S002,19,122,3.3,0.186967,0.38642,11.7097,21.862089,71.311475,-100.0,0.0
S003,S003,6,122,4.1667,0.077,0.077,1.847985,,100.0,,
S003,S003,7,122,4.1667,0.079432,0.082992,1.991796,,100.0,,
S003,S003,8,122,4.1667,0.224762,0.287013,6.888252,,100.0,,
S003,S003,9,122,4.1667,0.494741,0.55484,13.316059,,100.0,,
S003,S003,10,122,4.1667,0.680834,0.746546,17.916969,,100.0,,
S003,S003,11,122,4.1667,0.815791,0.888928,21.334113,,100.0,,
S003,S003,12,122,4.1667,0.868092,0.943365,22.640587,,100.0,,
S003,S003,13,122,4.1667,0.830943,0.895502,21.491865,,100.0,,
S003,S003,14,122,4.1667,0.67594,0.733011,17.592118,,100.0,,
S003,S003,15,122,4.1667,0.503228,0.555736,13.337546,,100.0,,
S003,S003,16,122,4.1667,0.305373,0.344681,8.272271,,100.0,,
S003,S003,17,122,4.1667,0.078573,0.138742,3.329784,,100.0,,
S003,S003,18,122,4.1667,0.078809,0.079962,1.919072,,100.0,,
S003,S003,19,122,4.1667,0.076923,0.076923,1.846137,,100.0,,
S004,S004,6,122,3.97,0.00123,0.007299,0.18386,,96.721311,-100.0,0.0
S004,S004,7,122,3.97,0.076071,0.150404,3.788521,7.192209,46.721311,-90.898149,0.091019
S004,S004,8,122,3.97,0.215709,0.269016,6.776231,7.230135,2.459016,-30.986729,0.690133
S004,S004,9,122,3.97,0.23294,0.344659,8.681596,8.836377,0.819672,6.936867,1.069369
S004,S004,10,122,3.97,0.347787,0.451125,11.363362,11.241401,2.459016,15.35678,1.153568
S004,S004,11,122,3.97,0.360148,0.464356,11.696631,11.764259,0.0,12.947726,1.129477
S004,S004,12,122,3.97,0.420118,0.558847,14.076752,14.032337,0.819672,9.837851,1.098379
S004,S004,13,122,3.97,0.406577,0.546068,13.754849,13.670832,0.0,14.745034,1.14745
S004,S004,14,122,3.97,0.343923,0.459105,11.564366,11.518879,0.0,13.182445,1.131824
S004,S004,15,122,3.97,0.243257,0.330342,8.320955,8.24602,1.639344,7.112611,1.071126
S004,S004,16,122,3.97,0.132794,0.18526,4.666499,4.764661,9.016393,13.737594,1.137376
S004,S004,17,122,3.97,0.041286,0.095998,2.418093,5.597914,71.311475,-11.02764,0.889724
S004,S004,18,122,3.97,0.000622,0.004558,0.1148,0.147146,97.540984,-47.401072,0.525989
S004,S004,19,122,3.97,0.0,0.0,0.0,,100.0,,
S006,S006,6,122,5.0,0.0,0.0,0.0,,100.0,,
S006,S006,7,122,5.0,0.009329,0.035888,0.717761,2.642644,92.622951,-81.298099,0.187019
S006,S006,8,122,5.0,0.12465,0.176137,3.522749,2.529939,43.442623,51.118935,1.511189
S006,S006,9,122,5.0,0.271121,0.348266,6.965324,5.399691,20.491803,79.09163,1.790916
S006,S006,10,122,5.0,0.459428,0.592513,11.850257,9.540347,14.754098,95.129599,1.951296
S006,S006,11,122,5.0,0.618997,0.739538,14.790767,12.985285,13.934426,99.443915,1.994439
S006,S006,12,122,5.0,0.695575,0.815154,16.303085,14.076361,12.295082,105.733125,2.057331
S006,S006,13,122,5.0,0.625896,0.762985,15.259707,12.969852,13.114754,96.901147,1.969011
S006,S006,14,122,5.0,0.37406,0.512713,10.254251,7.204495,13.114754,60.760055,1.607601
S006,S006,15,122,5.0,0.160908,0.261735,5.234696,2.668339,14.754098,33.8088,1.338088
S006,S006,16,122,5.0,0.088126,0.147756,2.95512,1.426588,21.311475,17.591318,1.175913
S006,S006,17,122,5.0,0.039388,0.08185,1.636993,2.461224,84.42623,19.497181,1.194972
S006,S006,18,122,5.0,0.000247,0.001929,0.038578,,100.0,,
S006,S006,19,122,5.0,0.0,0.0,0.0,,100.0,,
S007,S007,6,122,22.0,0.023115,0.078803,0.358193,,89.344262,-100.0,0.0
S007,S007,7,122,22.0,0.737568,1.293359,5.878906,9.034133,21.311475,-92.507393,0.074926
S007,S007,8,122,22.0,1.363192,1.800538,8.184262,8.539763,1.639344,-5.416443,0.945836
S007,S007,9,122,22.0,2.120393,2.691236,12.232892,12.511385,0.0,4.528649,1.045286
S007,S007,10,122,22.0,2.239217,2.974094,13.518607,13.575871,0.0,10.056507,1.100565
S007,S007,11,122,22.0,2.365594,3.33445,15.156591,15.218798,0.0,6.53154,1.065315
S007,S007,12,122,22.0,2.323387,3.095407,14.070032,14.12795,0.0,11.08196,1.11082
S007,S007,13,122,22.0,2.754399,3.582466,16.283937,16.330067,0.0,15.38209,1.153821
S007,S007,14,122,22.0,1.844427,2.561821,11.64464,11.421904,0.0,9.347553,1.093476
S007,S007,15,122,22.0,1.297313,1.901689,8.644043,8.621806,0.0,4.7331,1.047331
S007,S007,16,122,22.0,0.610095,0.902632,4.102871,4.316166,0.0,6.123556,1.061236
S007,S007,17,122,22.0,0.152348,0.312145,1.418842,2.660756,51.639344,-19.456284,0.805437
S007,S007,18,122,22.0,0.017427,0.063203,0.287286,,90.163934,-73.784266,0.262157
S007,S007,19,122,22.0,0.0,0.0,0.0,,100.0,,
S008,S008,6,122,3.172,0.111311,0.11252,3.547296,1.384627,84.42623,1778.157895,18.781579
S008,S008,7,122,3.172,0.108147,0.153392,4.8358,6.110117,13.934426,-8.484262,0.915157
S008,S008,8,122,3.172,0.202162,0.254314,8.017466,8.09832,0.0,-4.420205,0.955798
S008,S008,9,122,3.172,0.231789,0.323556,10.20037,10.260715,0.819672,10.354393,1.103544
S008,S008,10,122,3.172,0.357865,0.459261,14.478587,14.529759,0.0,13.088388,1.130884
S008,S008,11,122,3.172,0.37321,0.50983,16.07283,16.07283,0.0,10.296282,1.102963
S008,S008,12,122,3.172,0.35243,0.482895,15.223662,15.223662,0.0,8.451203,1.084512
S008,S008,13,122,3.172,0.390421,0.541728,17.078448,16.918138,0.0,10.48947,1.104895
S008,S008,14,122,3.172,0.326161,0.427175,13.467053,13.512744,0.0,15.126128,1.151261
S008,S008,15,122,3.172,0.229277,0.308014,9.71039,9.71039,0.0,15.489159,1.154892
S008,S008,16,122,3.172,0.180078,0.231704,7.304681,7.274555,0.0,25.026835,1.250268
S008,S008,17,122,3.172,0.046822,0.080376,2.533924,3.598318,31.147541,44.746093,1.447461
S008,S008,18,122,3.172,0.102499,0.103575,3.265292,2.310553,88.52459,1736.794923,18.367949
S008,S008,19,122,3.172,0.105035,0.105035,3.311328,,100.0,,
S009,S009,6,122,5.25,0.240834,0.24338,4.635818,1.199331,81.147541,1985.250994,20.85251
S009,S009,7,122,5.25,0.206639,0.244178,4.651013,4.731764,28.688525,58.710743,1.587107
S009,S009,8,122,5.25,0.341776,0.530041,10.096022,10.440256,0.0,-41.019088,0.589809
S009,S009,9,122,5.25,0.742511,0.982741,18.718885,18.920058,0.819672,-58.762719,0.412373
S009,S009,10,122,5.25,0.773736,0.965879,18.397691,18.397691,0.0,-36.54519,0.634548
S009,S009,11,122,5.25,1.031801,1.243706,23.689641,23.689641,0.0,-10.776958,0.89223
S009,S009,12,122,5.25,0.889623,1.118888,21.31215,21.31215,0.0,-0.124329,0.998757
S009,S009,13,122,5.25,0.897506,1.085769,20.681323,20.681323,0.0,-9.820468,0.901795
S009,S009,14,122,5.25,0.806705,1.012366,19.283164,19.351736,0.0,-44.154035,0.55846
S009,S009,15,122,5.25,0.539614,0.744096,14.17326,14.316796,0.0,-51.979422,0.480206
S009,S009,16,122,5.25,0.238543,0.402552,7.667655,7.837585,0.0,-30.947053,0.690529
S009,S009,17,122,5.25,0.094421,0.150063,2.858334,4.175366,36.065574,7.104192,1.071042
S009,S009,18,122,5.25,0.246274,0.249618,4.754622,1.74437,81.967213,1767.375059,18.673751
S009,S009,19,122,5.25,0.235587,0.237418,4.522244,0.96044,95.901639,4871.460646,49.714606
S010,S010,6,122,2.0,0.048856,0.049576,2.478783,,60.655738,916.997714,10.169977
S010,S010,7,122,2.0,0.047365,0.062489,3.124452,4.913343,24.590164,16.026173,1.160262
S010,S010,8,122,2.0,0.085496,0.117863,5.893163,5.730891,3.278689,1.376285,1.013763
S010,S010,9,122,2.0,0.121969,0.170708,8.535423,8.685751,0.0,20.534736,1.205347
S010,S010,10,122,2.0,0.151844,0.205344,10.267202,10.359478,0.0,15.461296,1.154613
S010,S010,11,122,2.0,0.159042,0.204123,10.206159,10.252631,0.0,12.508811,1.125088
S010,S010,12,122,2.0,0.181018,0.220702,11.035107,11.127312,0.0,15.179384,1.151794
S010,S010,13,122,2.0,0.165926,0.21678,10.839013,10.839013,0.0,12.412794,1.124128
S010,S010,14,122,2.0,0.158911,0.199576,9.978818,10.032801,0.0,10.405048,1.10405
S010,S010,15,122,2.0,0.103481,0.128567,6.428358,6.44852,0.0,10.273104,1.102731
S010,S010,16,122,2.0,0.070878,0.085282,4.264087,4.452982,0.0,23.888566,1.238886
S010,S010,17,122,2.0,0.023045,0.038055,1.902734,3.074041,24.590164,27.548663,1.275487
S010,S010,18,122,2.0,0.043133,0.044238,2.2119,1.279239,55.737705,618.870113,7.188701
S010,S010,19,122,2.0,0.046051,0.046292,2.314616,,66.393443,1370.289181,14.702892
S011,S011,6,122,2.323,0.051672,0.051703,2.225691,,96.721311,15760.0,158.6
S011,S011,7,122,2.323,0.047613,0.061581,2.650945,3.945963,27.04918,1.92372,1.019237
S011,S011,8,122,2.323,0.092264,0.115661,4.978946,5.120833,1.639344,-15.606158,0.843938
S011,S011,9,122,2.323,0.106416,0.166504,7.167619,7.255567,0.0,5.407165,1.054072
S011,S011,10,122,2.323,0.164109,0.245815,10.581809,10.604686,0.0,8.224203,1.082242
S011,S011,11,122,2.323,0.19863,0.278643,11.994975,11.994975,0.0,11.404546,1.114045
S011,S011,12,122,2.323,0.220593,0.301682,12.986721,12.986721,0.0,10.511288,1.105113
S011,S011,13,122,2.323,0.225039,0.286721,12.342701,12.342701,0.0,23.619725,1.236197
S011,S011,14,122,2.323,0.219513,0.288779,12.431287,12.431287,0.0,15.410883,1.154109
S011,S011,15,122,2.323,0.174338,0.209991,9.039653,8.787852,0.0,33.6603,1.336603
S011,S011,16,122,2.323,0.139862,0.164688,7.089472,7.401474,0.0,46.770782,1.467708
S011,S011,17,122,2.323,0.034339,0.064648,2.782936,4.995578,45.081967,26.638682,1.266387
S011,S011,18,122,2.323,0.046682,0.049351,2.124436,2.757771,78.688525,391.458858,4.914589
S011,S011,19,122,2.323,0.052736,0.053974,2.323481,7.664744,96.721311,2337.56,24.3756
S012,S012,6,122,17.55,0.12582,0.161054,0.917689,,37.704918,-100.0,0.0
S012,S012,7,122,17.55,0.32511,0.488498,2.783466,5.766645,16.393443,-96.645859,0.033541
S012,S012,8,122,17.55,0.684525,1.050375,5.985046,5.352882,11.47541,41.464161,1.414642
S012,S012,9,122,17.55,2.350113,2.771309,15.790932,9.27565,11.47541,156.638829,2.566388
S012,S012,10,122,17.55,3.354072,4.024962,22.934256,8.439518,10.655738,204.441618,3.044416
S012,S012,11,122,17.55,4.077388,4.854811,27.662744,9.493193,10.655738,235.258439,3.352584
S012,S012,12,122,17.55,4.395948,5.092765,29.018605,12.932591,10.655738,198.493661,2.984937
S012,S012,13,122,17.55,3.972347,4.648565,26.487549,10.741972,10.655738,205.079668,3.050797
S012,S012,14,122,17.55,3.205538,3.696472,21.062518,10.697429,10.655738,196.642747,2.966427
S012,S012,15,122,17.55,1.924292,2.292655,13.063563,6.733697,10.655738,160.29777,2.602978
S012,S012,16,122,17.55,0.618383,0.82176,4.682393,4.847142,12.295082,60.022075,1.600221
S012,S012,17,122,17.55,0.227346,0.326416,1.859923,3.66972,18.032787,-50.51138,0.494886
S012,S012,18,122,17.55,0.128558,0.163974,0.934324,0.069807,36.885246,-95.282453,0.047175
S012,S012,19,122,17.55,0.120492,0.15907,0.906382,,42.622951,-100.0,0.0
S014,S014,6,122,5.1,0.00459,0.015364,0.301263,,88.52459,-100.0,0.0
S014,S014,7,122,5.1,0.114279,0.177049,3.47155,5.43083,27.868852,-96.218353,0.037816
S014,S014,8,122,5.1,0.218099,0.289406,5.674624,5.789949,1.639344,-14.208627,0.857914
S014,S014,9,122,5.1,0.346803,0.44815,8.78725,8.050455,1.639344,27.176463,1.271765
S014,S014,10,122,5.1,0.521251,0.653924,12.822042,12.133045,1.639344,25.139515,1.251395
S014,S014,11,122,5.1,0.571084,0.701594,13.75674,12.682338,1.639344,27.417711,1.274177
S014,S014,12,122,5.1,0.618091,0.749124,14.6887,13.662483,1.639344,25.637287,1.256373
S014,S014,13,122,5.1,0.601192,0.74762,14.659214,13.757578,1.639344,32.520324,1.325203
S014,S014,14,122,5.1,0.522448,0.637023,12.490655,11.771907,2.459016,23.194231,1.231942
S014,S014,15,122,5.1,0.293764,0.385506,7.558941,7.625269,1.639344,12.308062,1.123081
S014,S014,16,122,5.1,0.14174,0.199378,3.909377,3.887711,2.459016,11.310082,1.113101
S014,S014,17,122,5.1,0.031721,0.070433,1.381041,2.812348,44.262295,-21.119661,0.788803
S014,S014,18,122,5.1,0.004735,0.017109,0.335464,,89.344262,-84.748,0.15252
S014,S014,19,122,5.1,0.0,0.0,0.0,,100.0,,
S016,S016,6,122,8.5,0.121314,0.121314,1.427219,,100.0,,
S016,S016,7,122,8.5,0.206866,0.307037,3.612195,6.623296,68.032787,-29.103532,0.708965
S016,S016,8,122,8.5,0.386512,0.523748,6.161744,6.249338,16.393443,-14.016903,0.859831
S016,S016,9,122,8.5,0.5335,0.762066,8.965477,9.028417,7.377049,10.380461,1.103805
S016,S016,10,122,8.5,0.731726,0.960794,11.303459,11.419172,1.639344,16.213801,1.162138
S016,S016,11,122,8.5,0.767356,0.966584,11.371579,11.245861,3.278689,15.910855,1.159109
S016,S016,12,122,8.5,0.761478,0.915426,10.769712,10.695058,2.459016,13.583693,1.135837
S016,S016,13,122,8.5,0.772881,0.941083,11.071567,11.104307,1.639344,22.213947,1.222139
S016,S016,14,122,8.5,0.830665,1.016673,11.960857,11.96739,6.557377,13.046431,1.130464
S016,S016,15,122,8.5,0.45586,0.611629,7.195637,7.231517,11.47541,16.544993,1.16545
S016,S016,16,122,8.5,0.277923,0.390981,4.599778,4.52403,25.409836,17.902811,1.179028
S016,S016,17,122,8.5,0.089868,0.167929,1.975639,3.701034,85.245902,42.658443,1.426584
S016,S016,18,122,8.5,0.104331,0.105223,1.237914,,100.0,,
S016,S016,19,122,8.5,0.098968,0.098968,1.164325,,100.0,,
S017,S017,6,122,0.954,0.047049,0.066764,6.99828,13.626834,75.409836,-45.777778,0.542222
S017,S017,7,122,0.954,0.043057,0.065357,6.850887,13.269357,43.442623,-51.010695,0.489893
S017,S017,8,122,0.954,0.036904,0.052667,5.520701,7.961178,1.639344,9.20037,1.092004
S017,S017,9,122,0.954,0.093193,0.107947,11.315233,11.84084,2.459016,85.069177,1.850692
S017,S017,10,122,0.954,0.12295,0.140633,14.741426,14.810759,0.819672,96.632227,1.966322
S017,S017,11,122,0.954,0.135246,0.152921,16.029412,16.524549,0.819672,98.748633,1.987486
S017,S017,12,122,0.954,0.140181,0.157413,16.500338,17.07758,0.0,94.77948,1.947795
S017,S017,13,122,0.954,0.144467,0.161346,16.912624,17.006974,1.639344,111.917856,2.119179
S017,S017,14,122,0.954,0.115689,0.131287,13.761706,14.330233,0.819672,96.668174,1.966682
S017,S017,15,122,0.954,0.093416,0.106559,11.169697,11.54671,1.639344,97.211284,1.972113
S017,S017,16,122,0.954,0.052497,0.061974,6.496235,8.455686,3.278689,55.359719,1.553597
S017,S017,17,122,0.954,0.036192,0.050253,5.267572,9.793162,61.47541,-18.346858,0.816531
S017,S017,18,122,0.954,0.046566,0.066019,6.920218,13.462933,75.409836,-45.001081,0.549989
S017,S017,19,122,0.954,0.046547,0.066028,6.921155,13.466693,75.409836,-45.1,0.549
S018,S018,6,122,5.1,0.140059,0.140993,2.764571,1.078896,89.344262,2391.142355,24.911424
S018,S018,7,122,5.1,0.142162,0.194297,3.809742,5.272522,27.04918,-4.387247,0.956128
S018,S018,8,122,5.1,0.228871,0.289467,5.675818,5.890067,0.819672,-12.518037,0.87482
S018,S018,9,122,5.1,0.265992,0.420277,8.240724,8.363041,0.819672,1.107735,1.011077
S018,S018,10,122,5.1,0.38862,0.549939,10.783109,10.813739,0.819672,11.133127,1.111331
S018,S018,11,122,5.1,0.442883,0.644871,12.644525,12.644525,0.0,2.423987,1.02424
S018,S018,12,122,5.1,0.456187,0.628383,12.321232,12.321232,0.0,6.53585,1.065358
S018,S018,13,122,5.1,0.467705,0.632945,12.41069,12.408436,0.819672,6.181708,1.061817
S018,S018,14,122,5.1,0.380084,0.534651,10.483359,10.545589,0.0,6.097972,1.06098
S018,S018,15,122,5.1,0.259982,0.398873,7.821038,7.913619,0.0,12.636173,1.126362
S018,S018,16,122,5.1,0.175702,0.22762,4.463136,4.550586,0.819672,19.887152,1.198872
S018,S018,17,122,5.1,0.056881,0.102161,2.003164,2.815878,55.737705,46.787594,1.467876
S018,S018,18,122,5.1,0.124657,0.125525,2.461277,2.398789,90.163934,2236.497745,23.364977
S018,S018,19,122,5.1,0.124646,0.124646,2.444042,,100.0,,
S019,S019,6,122,3.0,0.661066,1.141165,38.038819,76.333333,74.590164,-78.157279,0.218427
S019,S019,7,122,3.0,0.634548,1.132636,37.754534,51.604313,16.393443,-79.353939,0.206461
S019,S019,8,122,3.0,0.59306,0.934287,31.142907,32.068374,0.0,-55.354267,0.446457
S019,S019,9,122,3.0,0.537799,0.823979,27.465976,27.578389,0.0,-25.636401,0.743636
S019,S019,10,122,3.0,0.48658,0.738425,24.614169,24.755776,0.819672,-13.011592,0.869884
S019,S019,11,122,3.0,0.450427,0.679107,22.636909,22.782504,0.0,-9.965471,0.900345
S019,S019,12,122,3.0,0.477834,0.660427,22.014222,22.102713,0.0,-5.25167,0.947483
S019,S019,13,122,3.0,0.490013,0.678886,22.62954,22.62954,0.0,-4.36723,0.956328
S019,S019,14,122,3.0,0.540009,0.755997,25.199904,25.199904,0.0,-8.076347,0.919237
S019,S019,15,122,3.0,0.58188,0.826937,27.564577,27.759804,0.0,-12.265209,0.877348
S019,S019,16,122,3.0,0.584494,0.90442,30.147328,31.294235,0.0,-32.959364,0.670406
S019,S019,17,122,3.0,0.521568,1.018044,33.934797,59.199452,43.442623,-79.206975,0.20793
S019,S019,18,122,3.0,0.642308,1.11985,37.328319,76.168164,76.229508,-77.17609,0.228239
S019,S019,19,122,3.0,0.643374,1.122295,37.409846,76.337667,76.229508,-77.423568,0.225764
S020,S020,6,122,3.8,0.229562,0.230012,6.052949,,85.245902,4376.022461,44.760225
S020,S020,7,122,3.8,0.190983,0.20774,5.466849,4.001247,22.95082,151.752405,2.517524
S020,S020,8,122,3.8,0.200796,0.290806,7.652777,7.72252,2.459016,-18.741225,0.812588
S020,S020,9,122,3.8,0.4557,0.5939,15.628952,15.882039,3.278689,-49.122433,0.508776
S020,S020,10,122,3.8,0.657529,0.801513,21.092436,21.414987,2.459016,-56.506089,0.434939
S020,S020,11,122,3.8,0.810709,0.95285,25.074996,25.390444,2.459016,-53.708531,0.462915
S020,S020,12,122,3.8,0.824788,0.971552,25.567156,25.788771,2.459016,-54.329336,0.456707
S020,S020,13,122,3.8,0.717691,0.87314,22.977357,23.168791,2.459016,-52.678833,0.473212
S020,S020,14,122,3.8,0.640992,0.797965,20.999086,21.195646,1.639344,-56.603781,0.433962
S020,S020,15,122,3.8,0.34073,0.464598,12.226258,12.312739,0.819672,-42.527363,0.574726
S020,S020,16,122,3.8,0.174054,0.257587,6.778612,6.792518,1.639344,-5.367474,0.946325
S020,S020,17,122,3.8,0.07584,0.119864,3.154326,3.168399,54.918033,80.403642,1.804036
S020,S020,18,122,3.8,0.248004,0.248546,6.540678,4.155758,88.52459,5128.209284,52.282093
S020,S020,19,122,3.8,0.237131,0.237131,6.240292,,100.0,,
S021,S021,6,122,2.2,0.22061,0.220809,10.036764,,90.983607,7689.841136,77.898411
S021,S021,7,122,2.2,0.204685,0.214832,9.765104,6.813041,39.344262,283.391614,3.833916
S021,S021,8,122,2.2,0.165312,0.214831,9.765045,9.585262,4.918033,-1.592496,0.984075
S021,S021,9,122,2.2,0.313155,0.412094,18.731548,18.972111,3.278689,-43.548632,0.564514
S021,S021,10,122,2.2,0.447924,0.553015,25.137029,25.489313,2.459016,-53.00615,0.469938
S021,S021,11,122,2.2,0.537843,0.634999,28.863585,29.191267,2.459016,-55.86344,0.441366
S021,S021,12,122,2.2,0.606533,0.702413,31.927842,32.20119,2.459016,-58.973227,0.410268
S021,S021,13,122,2.2,0.494751,0.605119,27.505392,27.7183,2.459016,-53.54129,0.464587
S021,S021,14,122,2.2,0.412456,0.511063,23.23014,23.458391,2.459016,-50.390999,0.49609
S021,S021,15,122,2.2,0.214724,0.28906,13.139089,13.16044,0.819672,-32.425594,0.675744
S021,S021,16,122,2.2,0.145908,0.18451,8.386816,8.06738,3.278689,22.182185,1.221822
S021,S021,17,122,2.2,0.073973,0.118062,5.366463,4.943983,64.754098,151.695294,2.516953
S021,S021,18,122,2.2,0.234148,0.234461,10.657305,7.606598,92.622951,7324.643213,74.246432
S021,S021,19,122,2.2,0.236045,0.236045,10.729318,,100.0,,
S022,S022,6,122,3.24,0.138046,0.138947,4.288485,1.742627,88.52459,2903.72756,30.037276
S022,S022,7,122,3.24,0.107235,0.125557,3.875215,3.817687,18.852459,31.508413,1.315084
S022,S022,8,122,3.24,0.186319,0.237995,7.345538,7.525289,0.819672,-26.191492,0.738085
S022,S022,9,122,3.24,0.259878,0.320546,9.893404,10.003046,0.0,-18.285646,0.817144
S022,S022,10,122,3.24,0.386085,0.477402,14.734631,14.827467,0.0,-24.080068,0.759199
S022,S022,11,122,3.24,0.45684,0.54899,16.944128,17.061561,0.0,-26.026798,0.739732
S022,S022,12,122,3.24,0.505182,0.611373,18.869539,18.918973,0.0,-27.078433,0.729216
S022,S022,13,122,3.24,0.431781,0.527747,16.288489,16.288489,0.0,-26.337509,0.736625
S022,S022,14,122,3.24,0.357056,0.455831,14.068872,14.068872,0.0,-24.8079,0.751921
S022,S022,15,122,3.24,0.203759,0.257225,7.93904,7.96794,0.0,-20.591,0.79409
S022,S022,16,122,3.24,0.090993,0.119413,3.685576,3.672006,0.819672,7.083021,1.07083
S022,S022,17,122,3.24,0.044442,0.071703,2.213052,3.013406,28.688525,52.984179,1.529842
S022,S022,18,122,3.24,0.131698,0.132291,4.083041,2.683457,86.065574,2677.851776,27.778518
S022,S022,19,122,3.24,0.131923,0.131923,4.071707,,100.0,,
S023,S023,6,122,16.37,0.219883,0.223802,1.367147,,91.803279,1958.08521,20.580852
S023,S023,7,122,16.37,0.268382,0.401569,2.453077,4.067612,34.42623,-32.395499,0.676045
S023,S023,8,122,16.37,0.598657,0.786231,4.802877,5.091903,1.639344,-17.099398,0.829006
S023,S023,9,122,16.37,0.783546,1.096519,6.698343,6.866581,0.0,0.97486,1.009749
S023,S023,10,122,16.37,1.05221,1.34918,8.241786,8.309882,0.0,1.626157,1.016262
S023,S023,11,122,16.37,1.099788,1.397869,8.53921,8.64545,0.0,-0.136981,0.99863
S023,S023,12,122,16.37,1.183214,1.558983,9.523415,9.56111,0.0,0.617171,1.006172
S023,S023,13,122,16.37,1.142488,1.493169,9.121373,9.141486,0.819672,2.404336,1.024043
S023,S023,14,122,16.37,1.016979,1.382664,8.446329,8.584704,0.0,2.702604,1.027026
S023,S023,15,122,16.37,0.699722,1.062799,6.492359,6.492487,0.819672,-3.837557,0.961624
S023,S023,16,122,16.37,0.370817,0.568219,3.4711,3.199088,4.098361,6.646874,1.066469
S023,S023,17,122,16.37,0.108623,0.215611,1.317112,2.520907,61.47541,7.458506,1.074585
