site_id,capacity_mw,test_samples,test_positive_samples,test_zero_ratio,round61_nrmse,round63_lgb_nrmse,round64_safe_nrmse,delta_round64_vs_round61,delta_round63_vs_round61,mae_round64,rmse_round64,pred_sum,actual_sum,pred_actual_ratio
S073,15.0,1708,1333,0.2196,9.7696,9.8989,9.9467,0.1771,0.1293,0.97,1.492,3481.42,4591.92,0.7582
S071,20.0,1708,1495,0.1247,13.3955,13.5064,13.4806,0.0851,0.1109,2.1185,2.6961,4041.21,5946.53,0.6796
S052,6.08,1708,1290,0.2447,10.7708,11.3851,10.828,0.0573,0.6144,0.4178,0.6583,1382.32,1845.98,0.7488
S002,3.3,1708,1415,0.1715,14.3001,14.0946,14.3001,0.0,-0.2055,0.3104,0.4719,760.85,1081.66,0.7034
S006,5.0,1708,922,0.4602,8.7147,8.9015,8.7147,0.0,0.1868,0.2477,0.4357,801.37,444.33,1.8035
S004,3.97,1708,1184,0.3068,8.5338,8.1967,8.5338,0.0,-0.3372,0.2016,0.3388,1066.96,982.27,1.0862
S003,4.1667,1708,0,1.0,13.514,13.7943,13.514,0.0,0.2804,0.4136,0.5631,706.43,0.0,0.0
S008,3.172,1708,1319,0.2278,10.5314,9.9997,10.5314,0.0,-0.5317,0.2227,0.3341,1282.68,1118.39,1.1469
S021,2.2,1708,1205,0.2945,18.7528,17.0888,18.7528,0.0,-1.664,0.3077,0.4126,488.21,677.14,0.721
S010,2.0,1708,1421,0.168,7.2962,6.945,7.2962,0.0,-0.3512,0.1005,0.1459,590.13,504.46,1.1698
S014,5.1,1708,1261,0.2617,9.0092,8.7212,9.0092,0.0,-0.288,0.285,0.4595,1362.28,1127.35,1.2084
S011,2.323,1708,1286,0.2471,8.3202,7.9467,8.3202,0.0,-0.3735,0.1267,0.1933,652.59,554.57,1.1768
S024,5.99,1708,1260,0.2623,7.832,7.4566,7.832,0.0,-0.3754,0.3113,0.4691,1608.63,1349.51,1.192
S022,3.24,1708,1313,0.2313,10.7688,11.4793,10.7688,0.0,0.7105,0.2451,0.3489,863.05,1044.7,0.8261
S034,3.496,1708,1071,0.373,11.2007,10.8152,11.2007,0.0,-0.3855,0.2275,0.3916,1106.67,913.83,1.211
S033,5.688,1708,1278,0.2518,9.218,9.1302,9.218,0.0,-0.0878,0.3463,0.5243,1750.64,1716.67,1.0198
S031,0.9222,1708,1134,0.3361,6.9693,6.5642,6.9693,0.0,-0.4051,0.0448,0.0643,228.11,185.22,1.2315
S019,3.0,1708,1357,0.2055,30.4253,30.7794,30.4253,0.0,0.3541,0.5604,0.9128,1358.8,1877.38,0.7238
S018,5.1,1708,1261,0.2617,8.0681,7.8741,8.0681,0.0,-0.194,0.261,0.4115,1480.45,1352.64,1.0945
S017,0.954,1708,1288,0.2459,11.2341,8.9932,11.2341,0.0,-2.2409,0.0824,0.1072,221.43,133.2,1.6624
S044,8.492,1708,0,1.0,16.7033,16.7591,16.7033,0.0,0.0558,0.9787,1.4184,1671.6,0.0,0.0
S039,3.45,1708,1266,0.2588,8.8982,8.4995,8.8982,0.0,-0.3987,0.2017,0.307,850.43,651.14,1.3061
S040,5.96,1708,1264,0.26,9.7944,9.3601,9.7944,0.0,-0.4343,0.3789,0.5837,2081.76,1836.0,1.1339
S041,2.2,1708,1257,0.2641,11.4842,11.7495,11.4842,0.0,0.2654,0.1682,0.2527,933.79,891.38,1.0476
S045,2.915,1708,160,0.9063,17.8427,17.7595,17.8427,0.0,-0.0832,0.3996,0.5201,719.71,137.88,5.2198
S042,3.724,1708,1241,0.2734,9.5153,9.0153,9.5153,0.0,-0.5,0.2548,0.3544,1350.12,1127.48,1.1975
S035,5.296,1708,1285,0.2477,8.3596,8.1779,8.3596,0.0,-0.1817,0.3015,0.4427,1425.14,1356.76,1.0504
S038,1.672,1708,1223,0.284,10.8732,10.4561,10.8732,0.0,-0.4171,0.1169,0.1818,588.6,526.47,1.118
S048,4.0,1708,1129,0.339,7.6749,7.4261,7.6749,0.0,-0.2488,0.1826,0.307,1034.07,957.6,1.0799
S050,2.55,1708,1440,0.1569,14.1855,13.7081,14.1855,0.0,-0.4774,0.2251,0.3617,601.41,406.13,1.4808
S058,5.99,1708,1296,0.2412,9.5602,9.6015,9.5602,0.0,0.0413,0.4001,0.5727,1480.87,1616.65,0.916
S051,5.025,1708,1266,0.2588,10.6655,10.5311,10.6655,0.0,-0.1344,0.3269,0.5359,1172.28,1001.12,1.171
S047,4.8,1708,1230,0.2799,7.5599,7.3299,7.5599,0.0,-0.23,0.235,0.3629,1055.2,1189.37,0.8872
S030,2.9,1708,1253,0.2664,9.4005,9.0716,9.4005,0.0,-0.3288,0.1833,0.2726,1063.23,924.57,1.15
S028,3.14,1708,1238,0.2752,10.3419,10.1362,10.3419,0.0,-0.2057,0.2203,0.3247,1014.71,997.39,1.0174
S025,5.65,1708,1241,0.2734,7.8713,7.7094,7.8713,0.0,-0.1619,0.3025,0.4447,1509.68,1573.0,0.9597
S070,2.1,1708,1212,0.2904,7.4295,7.1532,7.4295,0.0,-0.2763,0.104,0.156,503.04,421.21,1.1943
S072,3.125,1708,1282,0.2494,11.8815,11.8577,11.8815,0.0,-0.0238,0.2597,0.3713,1229.76,1329.44,0.925
S074,4.0,1708,1281,0.25,8.803,8.6027,8.803,0.0,-0.2004,0.2335,0.3521,1238.01,1181.51,1.0478
S075,2.63,1708,1281,0.25,8.7844,8.5742,8.7844,0.0,-0.2102,0.1358,0.231,693.41,689.61,1.0055
S066,5.45,1708,1281,0.25,14.5441,13.2676,14.5441,0.0,-1.2766,0.5438,0.7927,1246.24,1567.98,0.7948
S068,1.223,1708,1230,0.2799,7.9196,7.5226,7.9196,0.0,-0.397,0.0678,0.0969,343.23,294.45,1.1657
S069,3.0,1708,0,1.0,16.1277,16.0301,16.1277,0.0,-0.0976,0.3345,0.4838,571.37,0.0,0.0
S064,3.288,1708,1135,0.3355,7.4724,7.0637,7.4724,0.0,-0.4088,0.1725,0.2457,910.16,735.43,1.2376
S061,3.784,1708,1277,0.2523,9.1538,8.9577,9.1538,0.0,-0.1962,0.2102,0.3464,1037.68,1058.55,0.9803
S060,5.84,1708,1251,0.2676,9.6295,9.3771,9.6295,0.0,-0.2524,0.3585,0.5624,1606.43,1521.71,1.0557
S062,4.4537,1708,1219,0.2863,5.5458,5.2684,5.5458,0.0,-0.2774,0.169,0.247,1015.35,895.47,1.1339
S059,2.0,1708,1677,0.0181,13.8267,13.8161,13.8267,0.0,-0.0107,0.2402,0.2765,531.72,694.36,0.7658
S063,3.66,1708,1083,0.3659,10.4925,10.244,10.4925,0.0,-0.2484,0.2573,0.384,1412.55,1259.89,1.1212
S065,1.9239,1708,1413,0.1727,10.5732,10.1349,10.5732,0.0,-0.4383,0.1325,0.2034,797.4,687.69,1.1595
S056,3.15,1708,1148,0.3279,7.8035,7.4093,7.8035,0.0,-0.3942,0.1566,0.2458,865.28,740.2,1.169
S055,4.0,1708,1503,0.12,11.371,11.3818,11.371,0.0,0.0108,0.3441,0.4548,643.0,584.81,1.0995
S077,0.901,1708,0,1.0,6.7659,6.411,6.7659,0.0,-0.3548,0.0393,0.061,67.16,0.0,0.0
