site_id,scene,selected_weight,valid_nrmse_base_scene,valid_nrmse_lgb_scene,valid_delta_at_best,valid_nrmse_base_site_full,reason
S002,dawn,0.0,9.7803,8.998,0.0,15.5665,all_fail
S002,day,0.0,18.9742,19.0477,0.0,15.5665,all_fail
S002,dusk,0.0,8.6664,8.8469,0.0,15.5665,all_fail
S003,dawn,0.0,9.6801,10.9135,0.0,21.4868,all_fail
S003,day,0.0,27.4341,27.8082,0.0,21.4868,all_fail
S003,dusk,0.0,7.3347,8.2583,0.0,21.4868,all_fail
S004,dawn,0.0,8.7697,8.866,0.0,15.3029,all_fail
S004,day,0.0,19.2476,19.7735,0.0,15.3029,all_fail
S004,dusk,0.0,5.2926,5.8545,0.0,15.3029,all_fail
S006,dawn,0.0,2.1626,2.4732,0.0,10.9765,all_fail
S006,day,0.0,14.4007,14.8239,0.0,10.9765,all_fail
S006,dusk,0.0,2.1375,2.0866,0.0,10.9765,all_fail
S007,dawn,1.0,8.3461,7.5434,-0.8027,13.1315,ok
S007,day,0.25,16.49,16.5021,-0.0027,13.1315,ok
S007,dusk,1.0,3.1489,2.8847,-0.2642,13.1315,ok
S008,dawn,0.0,7.6157,7.9975,0.0,16.1791,all_fail
S008,day,0.0,20.5579,20.8178,0.0,16.1791,all_fail
S008,dusk,0.0,6.0456,6.0617,0.0,16.1791,all_fail
S009,dawn,1.0,16.6299,10.9921,-5.6378,20.306,ok
S009,day,1.0,24.182,23.3092,-0.8728,20.306,ok
S009,dusk,1.0,9.3955,7.0396,-2.3559,20.306,ok
S010,dawn,0.0,5.0652,4.6239,0.0,11.75,all_fail
S010,day,0.0,14.9517,14.9562,0.0,11.75,all_fail
S010,dusk,0.0,4.7427,4.6433,0.0,11.75,all_fail
S011,dawn,0.0,13.782,13.7043,0.0,14.3469,all_fail
S011,day,0.0,14.5396,14.4248,0.0,14.3469,all_fail
S011,dusk,0.0,14.3832,14.5852,0.0,14.3469,all_fail
S012,dawn,0.75,4.8845,4.5713,-0.3348,9.3091,ok
S012,day,0.25,11.7685,11.7695,-0.0003,9.3091,ok
S012,dusk,0.0,3.3508,3.4311,0.0,9.3091,ok
S014,dawn,0.0,6.4065,5.5184,0.0,12.5781,all_fail
S014,day,0.0,16.0418,16.0148,0.0,12.5781,all_fail
S014,dusk,0.0,3.321,3.3297,0.0,12.5781,all_fail
S016,dawn,1.0,6.0737,5.798,-0.2757,12.1354,ok
S016,day,1.0,15.354,15.3423,-0.0116,12.1354,ok
S016,dusk,1.0,4.6591,4.5382,-0.121,12.1354,ok
S017,dawn,0.0,11.3703,15.6929,0.0,16.5991,all_fail
S017,day,0.0,20.31,22.8782,0.0,16.5991,all_fail
S017,dusk,0.0,7.519,9.2061,0.0,16.5991,all_fail
S018,dawn,0.0,6.1744,6.0161,0.0,14.4742,all_fail
S018,day,0.0,18.4792,18.4972,0.0,14.4742,all_fail
S018,dusk,0.0,5.3799,5.116,0.0,14.4742,all_fail
S019,dawn,0.0,31.7775,31.6328,0.0,32.3727,all_fail
S019,day,0.0,31.8849,31.7012,0.0,32.3727,all_fail
S019,dusk,0.0,34.2015,35.0186,0.0,32.3727,all_fail
S020,dawn,1.0,13.7689,8.6852,-5.0837,27.2967,ok
S020,day,1.0,34.7941,32.8924,-1.9017,27.2967,ok
S020,dusk,1.0,7.6967,5.2015,-2.4952,27.2967,ok
S021,dawn,0.0,14.8307,10.8263,0.0,33.0595,all_fail
S021,day,0.0,42.3914,40.4652,0.0,33.0595,all_fail
S021,dusk,0.0,9.3968,7.1335,0.0,33.0595,all_fail
S022,dawn,0.0,7.101,9.0656,0.0,15.0813,all_fail
S022,day,0.0,19.1342,20.2808,0.0,15.0813,all_fail
S022,dusk,0.0,5.889,6.1539,0.0,15.0813,all_fail
S023,dawn,1.0,4.2933,3.9538,-0.3395,9.3361,ok
S023,day,0.5,11.8857,11.8904,-0.0056,9.3361,ok
S023,dusk,1.0,3.4076,3.3132,-0.0944,9.3361,ok
S024,dawn,0.0,6.4245,6.1109,0.0,11.9496,all_fail
S024,day,0.0,14.7296,14.6915,0.0,11.9496,all_fail
S024,dusk,0.0,6.8211,6.7456,0.0,11.9496,all_fail
S025,dawn,0.0,5.8315,5.8554,0.0,12.1071,all_fail
S025,day,0.0,15.3486,15.4137,0.0,12.1071,all_fail
S025,dusk,0.0,4.673,4.397,0.0,12.1071,all_fail
S028,dawn,0.0,7.8596,8.4911,0.0,17.1482,all_fail
S028,day,0.0,21.8969,22.472,0.0,17.1482,all_fail
S028,dusk,0.0,5.6494,5.7035,0.0,17.1482,all_fail
S030,dawn,0.0,5.3883,5.4892,0.0,11.6246,all_fail
S030,day,0.0,14.7783,14.7782,0.0,11.6246,all_fail
S030,dusk,0.0,4.38,4.2949,0.0,11.6246,all_fail
S031,dawn,0.0,4.8898,4.6441,0.0,10.4866,all_fail
S031,day,0.0,13.19,13.293,0.0,10.4866,all_fail
S031,dusk,0.0,5.0344,4.8453,0.0,10.4866,all_fail
S032,dawn,1.0,18.7843,13.9766,-4.8077,29.0061,ok
S032,day,0.0,36.1545,36.4122,0.0,29.0061,ok
S032,dusk,1.0,9.3665,7.5829,-1.7836,29.0061,ok
S033,dawn,0.0,8.3737,8.9613,0.0,17.8312,ok
S033,day,0.0,22.637,23.259,0.0,17.8312,ok
S033,dusk,0.0,6.8674,7.5248,0.0,17.8312,ok
S034,dawn,0.0,7.675,7.0671,0.0,14.3358,all_fail
S034,day,0.0,18.2035,18.1857,0.0,14.3358,all_fail
S034,dusk,0.0,4.0643,4.1532,0.0,14.3358,all_fail
S035,dawn,0.0,7.1523,7.0655,0.0,14.4543,all_fail
S035,day,0.0,18.338,18.3653,0.0,14.4543,all_fail
S035,dusk,0.0,5.2051,5.0103,0.0,14.4543,all_fail
S037,dawn,0.0,15.1578,16.3475,0.0,26.3378,ok
S037,day,1.0,33.163,33.0105,-0.1525,26.3378,ok
S037,dusk,0.0,8.6398,9.4219,0.0,26.3378,ok
S038,dawn,0.0,9.0417,8.3752,0.0,17.2065,all_fail
S038,day,0.0,21.8629,21.8935,0.0,17.2065,all_fail
S038,dusk,0.0,5.0246,5.2002,0.0,17.2065,all_fail
S039,dawn,0.0,7.4069,7.3965,0.0,15.7976,all_fail
S039,day,0.0,20.1909,20.6722,0.0,15.7976,all_fail
S039,dusk,0.0,4.7592,4.786,0.0,15.7976,all_fail
S040,dawn,0.0,8.1448,7.455,0.0,13.6195,all_fail
S040,day,0.0,16.9553,17.0253,0.0,13.6195,all_fail
S040,dusk,0.0,5.7152,6.4787,0.0,13.6195,all_fail
S041,dawn,0.0,7.3053,7.2078,0.0,16.022,all_fail
S041,day,0.0,20.5257,21.0254,0.0,16.022,all_fail
S041,dusk,0.0,4.594,6.8538,0.0,16.022,all_fail
S042,dawn,0.0,7.9767,7.5924,0.0,15.4413,all_fail
S042,day,0.0,19.5836,19.6138,0.0,15.4413,all_fail
S042,dusk,0.0,5.1337,4.7739,0.0,15.4413,all_fail
S044,dawn,0.0,13.2631,14.4328,0.0,25.2478,ok
S044,day,0.0,32.1613,32.257,0.0,25.2478,ok
S044,dusk,0.0,6.3726,7.2885,0.0,25.2478,ok
S045,dawn,0.0,13.2114,13.9229,0.0,26.2432,all_fail
S045,day,0.0,33.3309,33.4144,0.0,26.2432,all_fail
S045,dusk,0.0,8.7689,8.9599,0.0,26.2432,all_fail
S046,dawn,1.0,15.1516,11.1106,-4.041,26.353,ok
S046,day,1.0,33.2285,31.7857,-1.4428,26.353,ok
S046,dusk,1.0,8.1846,6.3582,-1.8264,26.353,ok
S047,dawn,0.0,7.583,7.414,0.0,13.4308,all_fail
S047,day,0.0,16.9132,16.9909,0.0,13.4308,all_fail
S047,dusk,0.0,4.6354,4.3443,0.0,13.4308,all_fail
S048,dawn,0.0,7.2325,6.5313,0.0,14.5926,all_fail
S048,day,0.0,18.6288,18.5927,0.0,14.5926,all_fail
S048,dusk,0.0,4.0015,4.0518,0.0,14.5926,all_fail
S049,dawn,1.0,5.0856,4.6013,-0.4842,9.7141,ok
S049,day,1.0,12.3296,12.3196,-0.01,9.7141,ok
S049,dusk,1.0,3.0196,2.9124,-0.1072,9.7141,ok
S050,dawn,0.0,6.4864,6.4184,0.0,13.2434,all_fail
S050,day,0.0,16.8709,17.4011,0.0,13.2434,all_fail
S050,dusk,0.0,4.1703,4.308,0.0,13.2434,all_fail
S051,dawn,0.0,6.0972,6.247,0.0,10.7709,all_fail
S051,day,0.0,13.5008,13.516,0.0,10.7709,all_fail
S051,dusk,0.0,4.2607,4.2171,0.0,10.7709,all_fail
S052,dawn,0.75,6.8364,6.5653,-0.3221,16.2618,ok
S052,day,0.25,20.8326,20.9965,0.0233,16.2618,ok
S052,dusk,0.5,5.4789,5.4779,-0.1292,16.2618,ok
S053,dawn,1.0,23.2089,16.6918,-6.5171,17.9634,ok
S053,day,0.5,11.9157,11.9049,-0.0598,17.9634,ok
S053,dusk,1.0,24.2605,19.9774,-4.2831,17.9634,ok
S054,dawn,1.0,6.3021,6.0845,-0.2176,10.9816,ok
S054,day,1.0,13.8313,13.7907,-0.0406,10.9816,ok
S054,dusk,0.5,3.5933,3.5925,-0.0133,10.9816,ok
S055,dawn,0.0,8.002,8.0649,0.0,18.6539,all_fail
S055,day,0.0,23.8806,24.0139,0.0,18.6539,all_fail
S055,dusk,0.0,6.2503,6.4703,0.0,18.6539,all_fail
S056,dawn,0.0,6.5924,6.0443,0.0,11.0563,all_fail
S056,day,0.0,13.837,13.8715,0.0,11.0563,all_fail
S056,dusk,0.0,4.0546,4.0446,0.0,11.0563,all_fail
S058,dawn,0.0,6.2025,5.8186,0.0,13.4712,all_fail
S058,day,0.0,17.1908,17.2121,0.0,13.4712,all_fail
S058,dusk,0.0,4.5103,3.9879,0.0,13.4712,all_fail
S059,dawn,0.0,5.7484,5.5165,0.0,10.8177,all_fail
S059,day,0.0,13.621,13.7187,0.0,10.8177,all_fail
S059,dusk,0.0,4.2794,4.2297,0.0,10.8177,all_fail
S060,dawn,0.0,9.9368,10.3409,0.0,16.323,all_fail
