model,block,train_rmse_norm,valid_rmse_norm,n_train,n_valid
ridge,dawn,0.07753245561070339,0.10095453447171063,90330,12648
hgb,dawn,0.06424364215175306,0.09515302290718143,90330,12648
lgb,dawn,0.06728070794642652,0.09255999317115514,90330,12648
ridge,morning,0.156185853505069,0.19436460025136476,60233,8432
hgb,morning,0.13005444910984673,0.1948471733893655,60233,8432
lgb,morning,0.1387676662990343,0.18467610498369666,60233,8432
ridge,noon,0.1895499526954989,0.23461003878901132,120497,16864
hgb,noon,0.16126469794755716,0.23057253140896125,120497,16864
lgb,noon,0.1705262109734225,0.22339283673902546,120497,16864
ridge,afternoon,0.12693825256093952,0.1739532732436611,60278,8432
hgb,afternoon,0.10733914791412565,0.17159234198500803,60278,8432
lgb,afternoon,0.11427517746908776,0.16811568952603606,60278,8432
ridge,dusk,0.07290140796022972,0.08321319232414863,90433,12648
hgb,dusk,0.0636089982001896,0.07888814793022911,90433,12648
lgb,dusk,0.06543938818438182,0.0774747603152947,90433,12648
