feature,dtype,null_count
hour,int32,0
month,float64,723007
dayofyear,float64,723007
capacity_mw,float64,0
latitude,float64,723007
longitude,float64,723007
hour_sin,float64,0
hour_cos,float64,0
month_sin,float64,723007
month_cos,float64,723007
clear_sky_ghi,float64,0
clear_sky_index,float64,723007
g_blend_pred,float64,0
solar_elevation,float64,723007
ghi_ratio,float64,0
pr_median,float64,723007
quality_score,float64,0
bias,float64,723007
zero_ratio,float64,723007
site_nrmse_train,float64,898175
site_bias_train,float64,898175
site_zero_ratio_train,float64,0
site_pr_median,float64,898175
site_quality_score,float64,0
hour_x_clear_sky,float64,723007
hour_x_gblend,float64,0
baseline_norm,float64,723007
pred_lgb_norm,float64,723007
pred_hgb_norm,float64,723007
pred_ridge_norm,float64,723007
scene_v151,string,175168
scene_v151_low,bool,0
scene_v151_mid,bool,0
scene_v151_night,bool,0
scene_v151_unknown,bool,0
