site_id,site_nrmse_train,site_bias_train,site_zero_ratio_train,site_pos_count_train,site_pr_median,site_quality_score,site_capacity
S002,,,0.4469,817,,0.5563,3.3
S003,,,0.5533,7168,,0.8035,4.1667
S004,,,0.4768,846,,0.5574,3.97
S006,,,0.524,723,,0.5402,5.0
S007,,,0.5122,10678,,0.9953,22.0
S008,,,0.4411,1214,,0.4608,3.172
S009,,,0.5171,2928,,0.4554,5.25
S010,,,0.5178,10555,,0.9893,2.0
S011,,,0.5044,10848,,0.984,2.323
S012,,,0.5187,709,,0.5507,17.55
S014,,,0.4344,836,,0.5561,5.1
S016,,,0.4543,812,,0.5513,8.5
S017,,,0.8235,3863,,0.8608,0.954
S018,,,0.5125,5693,,0.7729,5.1
S019,,,0.5271,10351,,0.9753,3.0
S020,,,0.5099,2188,,0.4358,3.8
S021,,,0.5481,893,,0.4052,2.2
S022,,,0.544,9982,,0.9873,3.24
S023,,,0.53,10288,,0.992,16.37
S024,,,0.5629,7389,,0.8717,5.99
S025,,,0.555,4414,,0.7319,5.65
S028,,,0.5522,2715,,0.6439,3.14
S030,,,0.5082,10765,,0.9878,2.9
S031,,,0.5512,9823,,0.976,0.9222
S032,,,0.5576,6010,,0.5479,9.335
S033,,,0.4549,1444,,0.5853,5.688
S034,,,0.4876,475,,0.5394,3.496
S035,,,0.5502,6942,,0.8397,5.296
S037,,,0.998,3,,0.5078,5.946
S038,,,0.5142,718,,0.5522,1.672
S039,,,0.4372,829,,0.5561,3.45
S040,,,0.5396,895,,0.5044,5.96
S041,,,0.522,6298,,0.804,2.2
S042,,,0.5349,2460,,0.6311,3.724
S044,,,0.8349,469,,0.5244,8.492
S045,,,0.4716,1349,,0.5498,2.915
S046,,,0.5159,2281,,0.4388,4.25
S047,,,0.5241,8829,,0.9125,4.8
S048,,,0.6879,461,,0.5439,4.0
S049,,,0.5305,10277,,0.9909,14.1
S050,,,0.4392,826,,0.5558,2.55
S051,,,0.4445,821,,0.5538,5.025
S052,,,0.5317,3540,,0.6447,6.08
S053,,,0.478,11425,,0.9954,13.33
S054,,,0.5736,1702,,0.6054,11.272
S055,,,1.0,0,,0.5247,4.0
S056,,,0.4719,854,,0.5562,3.15
S058,,,0.4796,11390,,0.9942,5.99
S059,,,0.5275,10342,,0.9838,2.0
S060,,,0.4508,949,,0.4441,5.84
S061,,,0.5015,806,,0.557,3.784
S062,,,0.5713,9384,,0.9746,4.4537
S063,,,0.5224,705,,0.5477,3.66
S064,,,0.5471,9914,,0.9575,3.288
S065,,,0.502,10901,,0.9892,1.9239
S066,,,0.5337,3883,,0.4833,5.45
S068,,,0.5485,9883,,0.9802,1.223
S069,,,1.0,0,,0.497,3.0
S070,,,0.5369,10136,,0.9771,2.1
S071,,,0.6265,8175,,0.9435,20.0
S072,,,0.5389,7116,,0.8401,3.125
S073,,,0.5281,6382,,0.8065,15.0
S074,,,0.5027,2141,,0.5611,4.0
S075,,,0.507,1267,,0.5818,2.63
S076,,,0.4926,750,,0.5303,5.0
S077,,,0.7513,5443,,0.8629,0.901
S115,,,0.5523,9799,,0.9631,7.0
S116,,,0.5035,10867,,0.9954,22.0
