w1_active_state,w2_noon_bias,w3_high_error,w1n,w2n,w3n,city_nrmse,site_mean_nrmse,city_nrmse_10_14,bad_sites,city_nrmse_delta
0.0,0.0,0.25,0.0,0.0,1.0,5.7625,15.7936,7.4667,25,0.5105
0.0,0.0,0.5,0.0,0.0,1.0,5.7625,15.7936,7.4667,25,0.5105
0.0,0.0,0.75,0.0,0.0,1.0,5.7625,15.7936,7.4667,25,0.5105
0.0,0.0,1.0,0.0,0.0,1.0,5.7625,15.7936,7.4667,25,0.5105
0.0,0.25,0.0,0.0,1.0,0.0,6.6063,15.9946,8.7816,35,1.3543
0.0,0.25,0.25,0.0,0.5,0.5,6.1394,15.7523,8.0542,27,0.8873
0.0,0.25,0.5,0.0,0.3333,0.6667,6.0028,15.7339,7.841,26,0.7508
0.0,0.25,0.75,0.0,0.25,0.75,5.9385,15.7364,7.7406,26,0.6865
0.0,0.25,1.0,0.0,0.2,0.8,5.9013,15.7418,7.6825,25,0.6492
0.0,0.5,0.0,0.0,1.0,0.0,6.6063,15.9946,8.7816,35,1.3543
0.0,0.5,0.25,0.0,0.6667,0.3333,6.2859,15.8013,8.2829,29,1.0339
0.0,0.5,0.5,0.0,0.5,0.5,6.1394,15.7523,8.0542,27,0.8873
0.0,0.5,0.75,0.0,0.4,0.6,6.0562,15.7376,7.9243,26,0.8042
0.0,0.5,1.0,0.0,0.3333,0.6667,6.0028,15.7339,7.841,26,0.7508
0.0,0.75,0.0,0.0,1.0,0.0,6.6063,15.9946,8.7816,35,1.3543
0.0,0.75,0.25,0.0,0.75,0.25,6.3627,15.8373,8.4027,29,1.1107
0.0,0.75,0.5,0.0,0.6,0.4,6.2261,15.778,8.1897,27,0.9741
0.0,0.75,0.75,0.0,0.5,0.5,6.1394,15.7523,8.0542,27,0.8873
0.0,0.75,1.0,0.0,0.4286,0.5714,6.0796,15.7406,7.9608,27,0.8275
0.0,1.0,0.0,0.0,1.0,0.0,6.6063,15.9946,8.7816,35,1.3543
0.0,1.0,0.25,0.0,0.8,0.2,6.4099,15.8627,8.4761,31,1.1579
0.0,1.0,0.5,0.0,0.6667,0.3333,6.2859,15.8013,8.2829,29,1.0339
0.0,1.0,0.75,0.0,0.5714,0.4286,6.201,15.7695,8.1504,27,0.949
0.0,1.0,1.0,0.0,0.5,0.5,6.1394,15.7523,8.0542,27,0.8873
0.25,0.0,0.0,1.0,0.0,0.0,6.8959,16.3222,9.0151,33,1.6438
0.25,0.0,0.25,0.5,0.0,0.5,6.2662,15.8277,8.1586,26,1.0142
0.25,0.0,0.5,0.3333,0.0,0.6667,6.0826,15.7613,7.9073,26,0.8306
0.25,0.0,0.75,0.25,0.0,0.75,5.9964,15.7478,7.789,26,0.7444
0.25,0.0,1.0,0.2,0.0,0.8,5.9467,15.7463,7.7206,25,0.6946
0.25,0.25,0.0,0.5,0.5,0.0,6.725,15.9679,8.8736,31,1.4729
0.25,0.25,0.25,0.3333,0.3333,0.3333,6.3624,15.7841,8.3438,26,1.1104
0.25,0.25,0.5,0.25,0.25,0.5,6.1956,15.7396,8.0996,26,0.9436
0.25,0.25,0.75,0.2,0.2,0.6,6.1005,15.727,7.9605,26,0.8485
0.25,0.25,1.0,0.1667,0.1667,0.6667,6.0394,15.7247,7.871,26,0.7874
0.25,0.5,0.0,0.3333,0.6667,0.0,6.6794,15.9363,8.8373,31,1.4274
0.25,0.5,0.25,0.25,0.5,0.25,6.4172,15.7999,8.4451,27,1.1651
0.25,0.5,0.5,0.2,0.4,0.4,6.2694,15.752,8.2239,26,1.0174
0.25,0.5,0.75,0.1667,0.3333,0.5,6.1752,15.7326,8.0829,26,0.9232
0.25,0.5,1.0,0.1429,0.2857,0.5714,6.1102,15.7248,7.9856,26,0.8582
0.25,0.75,0.0,0.25,0.75,0.0,6.6589,15.9356,8.8213,32,1.4069
0.25,0.75,0.25,0.2,0.6,0.2,6.452,15.8213,8.5086,29,1.2
0.25,0.75,0.5,0.1667,0.5,0.3333,6.321,15.7709,8.3104,27,1.069
0.25,0.75,0.75,0.1429,0.4286,0.4286,6.2311,15.746,8.1742,26,0.979
0.25,0.75,1.0,0.125,0.375,0.5,6.1657,15.7333,8.0752,26,0.9136
0.25,1.0,0.0,0.2,0.8,0.0,6.6473,15.94,8.8123,33,1.3953
0.25,1.0,0.25,0.1667,0.6667,0.1667,6.4761,15.8406,8.552,29,1.2241
0.25,1.0,0.5,0.1429,0.5714,0.2857,6.359,15.7896,8.3738,28,1.107
0.25,1.0,0.75,0.125,0.5,0.375,6.2742,15.7612,8.2446,27,1.0222
0.25,1.0,1.0,0.1111,0.4444,0.4444,6.2102,15.7447,8.147,27,0.9581
0.5,0.0,0.0,1.0,0.0,0.0,6.8959,16.3222,9.0151,33,1.6438
