split,month,n_rows,n_sites,positive_rate,inactive_rate,actual_mean_mw,pred_mean_mw,bias_pct,abs_bias_pct,city_nrmse_pct
test,9,28560,68,0.7353,0.2647,1.019,1.0096,-0.9296,0.9296,5.3567
test,10,29512,68,0.6901,0.3099,0.8191,0.8448,3.1437,3.1437,4.4173
test,11,28560,68,0.6739,0.3261,0.9983,0.9786,-1.9792,1.9792,3.4185
test,12,29512,68,0.6106,0.3894,0.7747,0.7957,2.7115,2.7115,2.9314
train,1,40133,41,0.6473,0.3527,0.9711,,-100.0,100.0,16.9361
train,2,36876,41,0.6871,0.3129,1.1071,,-100.0,100.0,19.355
train,3,41886,45,0.799,0.201,1.5316,,-100.0,100.0,23.7807
train,4,42744,67,0.8444,0.1556,1.7722,,-100.0,100.0,20.4129
train,5,52626,68,0.8377,0.1623,1.6654,,-100.0,100.0,22.4759
train,6,51660,68,0.8884,0.1116,1.642,,-100.0,100.0,22.2227
train,7,24112,33,0.86,0.14,1.4423,,-100.0,100.0,23.0171
train,8,24906,34,0.8659,0.1341,1.7578,,-100.0,100.0,27.7475
train,9,24888,34,0.7654,0.2346,1.4669,,-100.0,100.0,25.5859
train,10,26776,36,0.6943,0.3057,1.3224,,-100.0,100.0,23.6286
train,11,26577,37,0.6501,0.3499,1.0772,,-100.0,100.0,20.3131
train,12,28587,39,0.6101,0.3899,0.9436,,-100.0,100.0,18.3676
valid,7,29512,68,0.8767,0.1233,1.7466,1.6401,-6.0972,6.0972,5.3755
valid,8,29512,68,0.811,0.189,1.3731,1.3235,-3.6167,3.6167,5.1256
