version,hour,rows,n_sites,hour_overall_nrmse_pct,hour_mae_mw,hour_rmse_mw
final,6,1241,49,28.68629,0.995941,2.067592
final,7,4668,53,13.514687,0.304184,0.841901
final,8,6331,53,12.765317,0.375366,0.769497
final,9,6388,53,16.988449,0.547894,1.023094
final,10,6403,53,20.913689,0.671013,1.259481
final,11,6414,53,23.406874,0.745035,1.408515
final,12,6421,53,24.171558,0.783756,1.453795
final,13,6419,53,23.314405,0.765109,1.401994
final,14,6419,53,20.096764,0.659552,1.208911
final,15,6415,53,15.877314,0.498737,0.954885
final,16,6341,53,11.989607,0.331135,0.722968
final,17,3480,53,17.056821,0.392078,1.093734
final,18,1255,53,26.402014,0.857261,1.879874
final,19,693,18,33.938112,1.548038,2.608524
best,6,1241,49,28.68629,0.995941,2.067592
best,7,4668,53,13.514687,0.304184,0.841901
best,8,6331,53,12.765317,0.375366,0.769497
best,9,6388,53,16.988449,0.547894,1.023094
best,10,6403,53,20.913689,0.671013,1.259481
best,11,6414,53,23.406874,0.745035,1.408515
best,12,6421,53,24.171558,0.783756,1.453795
best,13,6419,53,23.314405,0.765109,1.401994
best,14,6419,53,20.096764,0.659552,1.208911
best,15,6415,53,15.877314,0.498737,0.954885
best,16,6341,53,11.989607,0.331135,0.722968
best,17,3480,53,17.056821,0.392078,1.093734
best,18,1255,53,26.402014,0.857261,1.879874
best,19,693,18,33.938112,1.548038,2.608524
