site_id,valid_rows,valid_active_rows,baseline_mape_active,calibrated_mape_active,baseline_score,calibrated_score,a,b,enable_calibration,reason
S001,799,672,75.42518072073528,69.40854147185193,61.93679282514204,56.11671072198229,1.3000000000000003,0.20000000000000004,True,improved
S002,4001,3283,49.69423645019829,47.890787218329194,37.58391042987067,36.0122713088225,0.95,0.1,True,improved
S003,7350,5783,32.63462926880893,32.17022286479847,24.68168987300969,24.112041910860416,0.95,0.1,True,improved
S004,3711,3175,41.36507711724,39.65971987968808,30.862801501378758,29.36269789342305,0.95,0.13,True,improved
S006,2914,2386,60.035707782342044,51.61471328984677,44.60989582961158,38.95022383725823,0.95,-0.1,True,improved
S007,13737,11437,37.30307958652687,36.6233918700885,26.024940530134177,25.628177607922158,1.0,0.0,False,no_improvement
S008,4387,3587,44.32629443178533,36.78464207026454,32.8630099080422,27.39626260721577,0.95,0.20000000000000004,True,improved
S009,6015,4831,35.394028569548475,32.10087266151661,26.644853916757658,24.103466258292205,0.95,0.20000000000000004,True,improved
S010,13857,10930,31.804216508994898,30.238287532951,23.50049113179971,22.288037348485368,0.95,0.060000000000000026,True,improved
S011,13929,11121,31.470050696083646,30.476970851962726,23.465455085815947,22.464096359822506,0.98,0.05000000000000004,True,improved
S012,3143,1710,37.45946676386897,36.51238796178999,28.154742614317282,27.568294506090297,0.95,0.20000000000000004,True,improved
S014,3279,2597,40.48080929242941,39.37434895692464,29.54623562106878,28.850414873771413,0.95,0.09000000000000002,True,improved
S016,3409,3083,40.94518935151664,39.00446982894837,30.205230895768448,28.827021521644514,0.95,0.20000000000000004,True,improved
S017,6844,5451,45.75016272410479,43.66865382932508,32.98883242412174,31.352135448152946,0.95,0.03000000000000004,True,improved
S018,8631,7399,35.78807674038311,33.78596388269149,25.77096860284301,24.275528007393437,0.95,0.17,True,improved
S019,13435,11226,37.055274548604736,35.69393390294679,28.187317567939587,26.553088288599863,0.98,0.13,True,improved
S020,5231,4291,37.21973589390247,34.9592427084942,28.001331141514388,26.116696407650686,0.95,0.14,True,improved
S021,3759,3237,42.66761730568117,39.76720023835229,32.79890287255739,30.101985229367443,0.95,0.11000000000000001,True,improved
S022,13111,10337,42.615078206504045,40.659677410647646,33.893377893347335,31.779085287730457,0.95,0.11000000000000001,True,improved
S023,13209,10661,31.729994590480494,30.500222333900513,23.093256272567327,22.25733127263741,0.97,0.2,True,improved
S024,10256,8458,33.66331498076295,30.914449047985006,24.522069894637124,22.448133938637426,0.95,0.20000000000000004,True,improved
S025,7371,6391,38.54656649049096,35.245991872157205,28.40775234747104,26.03051300161419,0.95,0.20000000000000004,True,improved
S028,5632,5002,36.76871482871082,33.692277624121495,27.656073484457476,25.233294912383254,0.95,0.14,True,improved
S030,13753,11278,36.93644038942092,35.98254947943278,27.343404703965838,26.2506489377262,0.97,0.09000000000000002,True,improved
S031,12550,10841,31.62435609111302,30.833511863924123,23.42915949089044,22.540304091409336,0.98,0.02000000000000003,True,improved
S032,8960,6831,95.04050636987562,81.10383039620156,75.68657265395649,65.65370024665012,1.3000000000000003,0.20000000000000004,True,improved
S033,4500,3785,38.735892772179746,35.55234005507543,28.61894558523407,26.384795843127357,0.95,0.20000000000000004,True,improved
S034,3126,2824,42.9583816182995,41.156116297879905,32.28839752527775,30.628590214563303,0.95,0.13,True,improved
S035,9926,8239,39.19844113036845,36.58507557566089,28.360163113222285,26.348507903082385,0.95,0.20000000000000004,True,improved
S037,1648,1427,55.61515081160822,43.707808209881264,43.897104422303585,34.45585743499917,1.1700000000000002,0.2,True,improved
S038,3518,3015,40.814608663372105,37.7918422602453,30.730661057774352,28.230752823189476,0.95,0.08000000000000002,True,improved
S039,3768,2738,39.19253782428654,36.97376061049967,30.252610727225072,28.290221438326753,0.95,0.12000000000000001,True,improved
S040,3876,3332,41.99630896715602,36.82137097525292,31.346979995180337,27.84802290313005,0.95,0.20000000000000004,True,improved
S041,9324,7895,42.4080014664313,41.24804991660669,31.59232410550341,30.161739784897403,0.97,0.10000000000000003,True,improved
S042,5298,4625,36.13241462410059,34.06376416964007,26.897428520599885,25.23858640236987,0.95,0.14,True,improved
S044,1229,989,46.76292938786074,42.9559182235512,35.065505636563586,32.19029084769021,0.99,0.2,True,improved
S045,2457,1766,44.526000138412655,38.44822766063416,33.61523089036132,29.009178172962148,0.95,0.18000000000000005,True,improved
S046,5275,4401,38.68920924043991,35.30867889881765,29.120203413747316,26.328575711651137,0.95,0.2,True,improved
S047,11695,9573,32.430661948621626,30.43913124649798,24.248602229720042,22.53240781144462,0.95,0.16,True,improved
S048,3190,2773,48.14184310412867,46.76661236522613,36.11270185254411,34.87136543536872,0.95,0.1,True,improved
S049,13216,10599,33.321860495103095,31.782096006603062,24.234236652880153,23.109672997616343,0.98,0.2,True,improved
S050,3940,2625,39.502818304345936,38.30741809241296,30.342098851737347,29.073129675050673,0.95,0.07000000000000003,True,improved
S051,3452,2661,44.57370641977862,43.511554961151596,32.292388084587174,31.592744075982395,0.95,0.07000000000000003,True,improved
S052,6610,5264,40.80140904975327,35.76839393532497,33.14345283235809,29.315917870687713,0.95,0.20000000000000004,True,improved
S053,14929,12342,39.12267929334348,37.94906906385043,29.79051885289478,28.931428618642272,0.95,0.20000000000000004,True,improved
S054,4664,3774,44.29680702798913,41.543781265390905,33.108068342687424,31.26194610422783,0.95,0.20000000000000004,True,improved
S055,2795,2085,99.99143030377937,91.98393223500963,69.8227436305758,65.82957255055537,0.95,-0.07999999999999999,True,improved
S056,3472,2976,38.167676355567,36.88366568521669,28.8243637372624,27.47369311098173,0.95,0.1,True,improved
S058,14436,9421,50.11844228908733,42.341817887561234,39.43121608083995,32.98310757029623,1.11,0.2,True,improved
S059,13752,10868,34.9523440118262,33.660226760178155,26.730596350531627,25.471341144173465,0.95,0.060000000000000026,True,improved
S060,3921,3269,42.04538838539232,37.91566079400915,31.134039261971807,28.29300675107842,0.95,0.20000000000000004,True,improved
S061,3854,3156,42.19645490293321,40.38480350774453,31.706027670993542,30.23759131170173,0.95,0.11000000000000001,True,improved
S062,12136,9993,30.21549152725554,28.380450118686714,22.41627581661323,20.88195979010445,0.95,0.13,True,improved
S063,3479,3044,45.766422142125826,43.109663586356156,36.07688787493827,32.767804815113315,1.01,0.2,True,improved
S064,12642,11029,35.463729769318554,34.09322686695769,26.600160157055043,25.234217857974553,0.96,0.10000000000000002,True,improved
S065,14161,11305,34.46336249669911,32.83777449563473,25.26916380284479,23.780904100912505,0.96,0.08000000000000004,True,improved
S066,6957,5934,35.63483842441453,32.17178726836368,26.417566553070472,23.826704887655172,0.95,0.20000000000000004,True,improved
S068,12803,10702,31.448936683691237,30.190814112420348,23.357927576005707,22.2323669540066,0.95,0.04000000000000003,True,improved
S069,0,0,,,,,1.0,0.0,False,insufficient_samples
S070,13072,10753,32.43482245058523,31.2299588764961,24.11329261441515,22.982435413060443,0.97,0.05000000000000004,True,improved
S071,11431,8335,32.098819423324876,31.11342179057705,24.027140489206154,23.225020629655944,0.98,0.2,True,improved
S072,10178,8717,39.844418627917875,38.21731224058522,29.621166799091593,27.923223346583672,0.98,0.13,True,improved
S073,9355,7403,43.65390601528013,41.995733741103315,32.78062705168327,31.624464657263864,0.97,0.2,True,improved
S074,5194,4385,38.23954100169615,36.13029306702256,28.27657263783464,26.429018102554767,0.95,0.17,True,improved
S075,4241,3559,37.77993412030067,36.040726237929974,28.53008788524247,26.915112244040426,0.95,0.1,True,improved
S076,1808,1718,47.72627010442073,42.83892770293389,36.26524046449877,32.852392222146364,0.95,0.20000000000000004,True,improved
S077,5483,4814,28.569645541754184,27.576061489376624,21.106708736420302,20.204776601681814,0.98,0.02000000000000003,True,improved
S115,12584,11001,36.35711064134103,35.102805722101124,26.124500973595147,25.08514463932597,0.97,0.2,True,improved
S116,14018,11560,35.75223074929075,35.15250030234405,25.056234643056744,24.69827350534338,1.0,0.0,False,no_improvement
