site_id,site_name,hour,samples,capacity_mw,mae_mw,rmse_mw,nrmse_pct,active_nrmse_pct,zero_actual_ratio_pct,bias_pct,pred_actual
S002,S002,6,122,3.3,0.346922,0.582427,17.649295,26.774165,55.737705,-96.582467,0.034175
S002,S002,7,122,3.3,0.349232,0.570479,17.287235,21.060638,7.377049,-80.827325,0.191727
S002,S002,8,122,3.3,0.351815,0.524242,15.886115,16.082684,0.819672,-44.214686,0.557853
S002,S002,9,122,3.3,0.313109,0.40617,12.308186,12.064814,0.819672,-4.751713,0.952483
S002,S002,10,122,3.3,0.275734,0.378048,11.456012,10.666665,0.819672,8.169064,1.081691
S002,S002,11,122,3.3,0.358255,0.450187,13.642024,13.30032,0.819672,1.839291,1.018393
S002,S002,12,122,3.3,0.388203,0.486733,14.749485,14.805872,0.0,-3.033,0.96967
S002,S002,13,122,3.3,0.340517,0.435411,13.194262,13.194262,0.0,1.558663,1.015587
S002,S002,14,122,3.3,0.262692,0.33542,10.164234,10.202962,0.0,0.585236,1.005852
S002,S002,15,122,3.3,0.278045,0.359247,10.886275,10.929725,0.0,-9.073829,0.909262
S002,S002,16,122,3.3,0.311618,0.461894,13.996792,14.345523,0.0,-30.134796,0.698652
S002,S002,17,122,3.3,0.310216,0.550117,16.670198,23.331691,31.147541,-76.389185,0.236108
S002,S002,18,122,3.3,0.176749,0.375164,11.368608,21.225269,71.311475,-94.534563,0.054654
S002,S002,19,122,3.3,0.186967,0.38642,11.7097,21.862089,71.311475,-100.0,0.0
S003,S003,6,122,4.1667,0.010417,0.029717,0.7132,,100.0,,
S003,S003,7,122,4.1667,0.077042,0.102624,2.462964,,100.0,,
S003,S003,8,122,4.1667,0.326959,0.419569,10.069566,,100.0,,
S003,S003,9,122,4.1667,0.700452,0.788374,18.920836,,100.0,,
S003,S003,10,122,4.1667,0.960367,1.053449,25.282566,,100.0,,
S003,S003,11,122,4.1667,1.13389,1.23924,29.741517,,100.0,,
