site_id,hour,ratio_sh,n_sh,ratio_site_shrunk,ratio_hour_shrunk,calibrated_ratio
S002,0,,0,0.8945707291538567,1.0166513550170326,
S002,1,,0,0.8945707291538567,1.0166513550170326,
S002,2,,0,0.8945707291538567,1.0166513550170326,
S002,3,,0,0.8945707291538567,1.0166513550170326,
S002,4,,0,0.8945707291538567,1.0166513550170326,
S002,5,,0,0.8945707291538567,1.0166513550170326,
S002,6,3.580770826414538,62,0.8945707291538567,1.3,1.3
S002,7,1.0886587838506554,62,0.8945707291538567,1.0636247309869762,0.9404999634714197
S002,8,0.8273931448139256,62,0.8945707291538567,1.009798995725023,0.8786737435466975
S002,9,0.7861217098428122,62,0.8945707291538567,1.014345644796355,0.8689072207672737
S002,10,0.8781920106534143,62,0.8945707291538567,1.029636269839956,0.8906948492033704
S002,11,0.7905008064526043,62,0.8945707291538567,1.0124218305045298,0.8699434955375298
S002,12,0.7329427465330944,62,0.8945707291538567,1.0025961503108956,0.8563228859382565
S002,13,0.6900368460919395,62,0.8945707291538567,0.9859213079674419,0.8461695812537083
S002,14,0.8943157045378382,62,0.8945707291538567,1.0122433827571713,0.8945103798172416
S002,15,0.8896049900378842,62,0.8945707291538567,1.0289453482398354,0.8933956305844282
S002,16,0.889074447669465,62,0.8945707291538567,1.0596856988837373,0.8932700823903748
S002,17,0.9674126748196513,62,0.8945707291538567,1.0224285078521531,0.9118081361434722
S002,18,1.5284832602139544,62,0.8945707291538567,0.9213453874536068,1.044580564748231
S002,19,0.27119804933784664,21,0.8945707291538567,0.7,0.8353362211170412
S002,20,,0,0.8945707291538567,1.0166513550170326,
S002,21,,0,0.8945707291538567,1.0166513550170326,
S002,22,,0,0.8945707291538567,1.0166513550170326,
S002,23,,0,0.8945707291538567,1.0166513550170326,
S003,0,,0,0.7,1.0166513550170326,
S003,1,,0,0.7,1.0166513550170326,
S003,2,,0,0.7,1.0166513550170326,
S003,3,,0,0.7,1.0166513550170326,
