site_id,site_status,nrmse_pct,rmse_MW,mae_MW,bias_MW,n_samples,capacity_mw
S062,正常评价,5.291470082652194,0.2356651447770642,0.1408583491238642,0.0396571203878838,1708,4.45368
S023,正常评价,5.98414208127423,0.9796040587045916,0.583402387932511,-0.0309570366340915,1708,16.37
S049,正常评价,6.321393323154455,0.891316458564778,0.5047473033197027,-0.073710208909941,1708,14.1
S031,测试期分布漂移,6.386283201623861,0.0588943036853752,0.0355170446491455,0.0099324125878714,1708,0.9222
S010,测试期分布漂移,6.704016338806448,0.1340803267761289,0.081674739407479,0.0277125465370239,1708,2.0
S047,正常评价,6.737209834269121,0.3233860720449178,0.1829126081053675,0.0103425076206352,1708,4.8
S064,测试期分布漂移,6.781401363598894,0.2229724768351316,0.1417187267338141,0.0538555334440104,1708,3.288
S056,正常评价,7.02531556220486,0.2212974402094531,0.1435973652720056,0.0558871636277529,1708,3.15
S070,测试期分布漂移,7.038298574311792,0.1478042700605476,0.0876120542712017,0.0217043351950457,1708,2.1
S024,测试期分布漂移,7.3986920898786686,0.4431816561837322,0.2502439896688405,0.0545287197692379,1708,5.99
S068,测试期分布漂移,7.48915941402246,0.0915924196334947,0.0539855815821956,0.0041254052356033,1708,1.223
S025,测试期分布漂移,7.490225858384157,0.4231977609987049,0.2482477027591233,0.0152111426053431,1708,5.65
S011,正常评价,7.517709649227287,0.1746363951515498,0.1012313528800126,0.0099122441327758,1708,2.323
S054,正常评价,7.747180685696364,0.8732622068916942,0.543539280723545,0.2380294366409519,1708,11.272
S048,正常评价,7.773769708309566,0.3109507883323826,0.1943307937159016,0.0693621394141765,1708,4.0
S066,正常评价,7.963626988262734,0.434017670860319,0.2501190092951989,-0.007296580832552,1708,5.45
S016,测试期分布漂移,8.032249790063725,0.6827412321554166,0.4389528778736025,0.2222905128993033,1708,8.5
S018,测试期分布漂移,8.36975800149614,0.426857658076303,0.2474521614999051,0.1140556300191624,1708,5.1
S075,测试期分布漂移,8.495825389856227,0.2234402077532187,0.1352214533039279,0.0332138564844595,1708,2.63
S020,测试期分布漂移,8.502947735205762,0.3231120139378189,0.1981267114876554,0.064727379947937,1708,3.8
S074,测试期分布漂移,8.505278255699702,0.340211130227988,0.2004986102423257,0.0109445242257098,1708,4.0
S004,测试期分布漂移,8.555834408552947,0.339666626019552,0.2106273949046462,0.1053993413147112,1708,3.97
S014,测试期分布漂移,8.562737530350972,0.4366996140478995,0.2696020786108641,0.1444584560802846,1708,5.1
S035,测试期分布漂移,8.593788910514983,0.4551270607008735,0.2677889795018265,0.079639683883532,1708,5.296
S077,测试期无有效发电,8.801807656156106,0.0793042869819665,0.046214220122555,0.046214220122555,1708,0.901
S030,正常评价,8.810257032322061,0.2554974539373398,0.1571649138189803,0.0323540934388894,1708,2.9
S042,测试期分布漂移,8.868833382458217,0.330275355162744,0.1902265567415859,-0.0218262570022231,1708,3.724
S061,测试期分布漂移,8.88042250023322,0.336035187408825,0.2047745510029862,0.034005545453914,1708,3.784
S033,测试期分布漂移,8.960052951207196,0.5096478118646652,0.2956359290736023,-0.0467514408632772,1708,5.688
S060,测试期分布漂移,9.224805155074147,0.5387286210563301,0.3101653322029813,-0.0372036897890408,1708,5.84
S073,系统性偏差,9.279420541515222,1.3919130812272833,0.8793102772936537,-0.5622102008497276,1708,15.0
S017,测试期分布漂移,9.287329573911078,0.0886011241351116,0.0654807845567955,0.0340176095730063,1708,0.954
S116,正常评价,9.37492662542643,2.0624838575938145,1.260519768231166,0.0457765476719423,1708,22.0
S007,正常评价,9.41563597087213,2.071439913591868,1.2288612515733888,0.1132816406577986,1708,22.0
S009,正常评价,9.453099269329398,0.4962877116397933,0.2824303024835357,-0.0112256094093116,1708,5.25
S039,测试期分布漂移,9.615151809863525,0.3317227374402916,0.1984939133576616,0.1346392901668288,1708,3.45
S065,正常评价,9.693561730813803,0.1864944341391267,0.1082723293636319,0.0121547833317605,1708,1.9239
S021,测试期分布漂移,9.773652717490894,0.2150203597847997,0.1292989982851386,0.0241690921258902,1708,2.2
S038,测试期分布漂移,9.78063115509338,0.1635321529131613,0.0978059150548415,-0.000980535172056,1708,1.672
S058,系统性偏差,9.806105721980122,0.5873857327466093,0.3688289941410398,-0.1893603169115441,1708,5.99
S040,测试期分布漂移,9.91665342624764,0.5910325442043594,0.3264507962462324,-0.202504479617806,1708,5.96
S046,测试期分布漂移,10.228668087925328,0.4347183937368264,0.242404448074821,0.0032058811665047,1708,4.25
S034,测试期分布漂移,10.236573998273494,0.3578706269796413,0.2014249508022454,0.0667064486203724,1708,3.496
S028,测试期分布漂移,10.315837693515531,0.3239173035763877,0.1914099334831302,-0.0266199233452689,1708,3.14
S041,正常评价,11.2925624744583,0.2484363744380826,0.1541172133619683,0.0270433587965377,1708,2.2
S051,测试期分布漂移,11.297523324014511,0.5677005470317292,0.3561605567474897,0.1858296227971753,1708,5.025
