site_full_name,site_short_name,dev_type,scheduler_type,capacity_mw,design_capacity_mw,lon,lat,county,install_type_raw,commission_date,station_status,group_name,tracking_type,cell_type,grid_mode,source_name,site_name_norm,install_group,coastal_flag,capacity_bucket,src_priority,site_id,has_geo,geo_source,geo_confidence,geo_note,longitude,latitude
智邦纺织光伏电站,智邦纺织光伏,分布式,地调,5.99,5.99,119.260101,34.257925,灌云县,屋顶,2026-02-09,运行,无,固定式,单晶硅,全额自用,dist_ledger,智邦纺织光伏,rooftop,0,medium,0,S001,1,,,,119.260101,34.257925
华筑泰宝光伏电站,华筑泰宝光伏,分布式,地调,3.3,3.3,119.293554,34.711837,连云区,屋顶,2025-04-29,运行,无,固定式,单晶硅,全额上网,dist_ledger,华筑泰宝光伏,rooftop,1,small,0,S002,1,,,,119.293554,34.711837
京运通西湖光伏电站,京运通西湖光伏电站,分布式,地调,4.1667,4.1667,118.72778,34.51139,东海县,屋顶,2016-09-30,运行,北京京运通科技股份有限公司,固定式,多晶硅,自发自用余电上网,dist_ledger,京运通西湖,rooftop,0,small,0,S003,1,,,,118.72778,34.51139
旭樱东堡光伏电站,旭樱东堡光伏,分布式,地调,3.97,3.97,119.314178,34.727811,连云区,屋顶,2025-04-23,运行,无,固定式,单晶硅,全额上网,dist_ledger,旭樱东堡光伏,rooftop,1,small,0,S004,1,,,,119.314178,34.727811
华之检恒邦光伏电站,华之检恒邦光伏,分布式,地调,7.04,7.04,119.261944,34.258333,灌云县,屋顶,2023-12-29,运行,无,固定式,单晶硅,自发自用余电上网,dist_ledger,华之检恒邦光伏,rooftop,0,medium,0,S005,1,,,,119.261944,34.258333
沐恒石湖光伏电站,沐恒石湖光伏,分布式,地调,5.0,5.0,118.701168,34.490323,东海县,屋顶,2025-04-27,运行,无,固定式,单晶硅,全额上网,dist_ledger,沐恒石湖光伏,rooftop,0,medium,0,S006,1,,,,118.701168,34.490323
林洋朝阳光伏电站,林洋朝阳光伏,分布式,地调,22.0,22.0,119.25,34.68333,连云区,地面,2016-07-21,运行,江苏林洋能源股份有限公司,固定式,单晶硅,全额上网,dist_ledger,林洋朝阳光伏,ground,1,large,0,S007,1,,,,119.25,34.68333
协鑫盛昌光伏电站,协鑫盛昌光伏,分布式,地调,3.172,3.172,119.267567,34.336619,灌云县,屋顶,2025-03-29,运行,协鑫集团,固定式,单晶硅,全额上网,dist_ledger,协鑫盛昌光伏,rooftop,0,small,0,S008,1,,,,119.267567,34.336619
华电金叶光伏电站,华电金叶光伏,分布式,地调,5.25,5.25,119.233484,35.075689,赣榆区,屋顶,2024-10-18,运行,华电集团,固定式,单晶硅,全额上网,dist_ledger,华电金叶光伏,rooftop,1,medium,0,S009,1,,,,119.233484,35.075689
易睐珂浦南光伏发电站,易睐珂浦南光伏,分布式,地调,2.0,2.0,119.12417,34.62806,海州区,屋顶,2017-06-29,运行,连云港易睐珂新能源有限公司,固定式,单晶硅,全额上网,dist_ledger,易睐珂浦南光伏,rooftop,0,small,0,S010,1,,,,119.12417,34.62806
中森西苑光伏电站,中森西苑光伏,分布式,地调,2.323,2.323,119.23,34.265,灌云县,屋顶,2017-12-29,运行,灌云中森太阳能科技有限公司,固定式,多晶硅,全额上网,dist_ledger,中森西苑光伏,rooftop,0,small,0,S011,1,,,,119.23,34.265
泰富如意情光伏电站,泰富如意情光伏,分布式,地调,17.55,17.55,118.697846,34.507682,东海县,屋顶,2025-04-30,运行,无,固定式,单晶硅,自发自用余电上网,dist_ledger,泰富如意情光伏,rooftop,0,medium,0,S012,1,,,,118.697846,34.507682
鑫众墩尚光伏发电站,鑫众墩尚光伏,分布式,地调,7.0,7.0,119.18306,34.71778,赣榆区,地面及鱼塘,2018-11-29,运行,协鑫新能源控股有限公司,固定式,多晶硅,全额上网,dist_ledger,鑫众墩尚光伏,ground,1,medium,0,S013,1,,,,119.18306,34.71778
鲲鹏昇昌光伏电站,鲲鹏昇昌光伏,分布式,地调,5.1,5.1,119.724032,34.444819,灌云县,屋顶,2025-04-28,运行,无,固定式,单晶硅,全额上网,dist_ledger,鲲鹏昇昌光伏,rooftop,0,medium,0,S014,1,,,,119.724032,34.444819
振江轨道交通光伏电站,振江轨道交通光伏,分布式,地调,9.73,9.73,119.220196,34.266578,灌云县,屋顶,2024-08-30,运行,无,固定式,单晶硅,自发自用余电上网,dist_ledger,振江轨道交通光伏,rooftop,0,medium,0,S015,1,,,,119.220196,34.266578
衡航亚新光伏电站,衡航亚新光伏,分布式,地调,8.5,8.5,119.783505,34.419149,灌南县,屋顶,2025-04-30,运行,无,固定式,单晶硅,自发自用余电上网,dist_ledger,衡航亚新光伏,rooftop,0,medium,0,S016,1,,,,119.783505,34.419149
富云四队光伏电站,富云四队光伏,分布式,地调,0.954,0.954,119.47,34.41,灌云县,地面,2017-09-28,运行,连云港富云新能源有限公司,水平单轴,多晶硅,全额上网,dist_ledger,富云四队光伏,ground,0,small,0,S017,1,,,,119.47,34.41
国能百菇源光伏电站,国能百菇源光伏,分布式,地调,5.1,5.1,119.352367,34.550936,灌云县,屋顶,2024-02-28,运行,国能集团,固定式,单晶硅,自发自用余电上网,dist_ledger,国能百菇源光伏,rooftop,0,medium,0,S018,1,,,,119.352367,34.550936
首耀新海光伏电站,首耀新海光伏,分布式,地调,3.0,3.0,119.25,34.53028,海州区,屋顶,2017-12-30,运行,连云港市首耀新能源科技有限公司,固定式,单晶硅,全额上网,dist_ledger,首耀新海光伏,rooftop,0,small,0,S019,1,,,,119.25,34.53028
国能赫睿光伏电站,国能赫睿光伏,分布式,地调,3.8,3.8,119.227957,35.070259,赣榆区,屋顶,2024-12-27,运行,国能,固定式,单晶硅,全额上网,dist_ledger,国能赫睿光伏,rooftop,1,small,0,S020,1,,,,119.227957,35.070259
国能鑫江源光伏电站,国能鑫江源光伏,分布式,地调,2.2,2.2,119.241791,35.062244,赣榆区,屋顶,2025-04-09,运行,无,固定式,单晶硅,全额上网,dist_ledger,国能鑫江源光伏,rooftop,1,small,0,S021,1,,,,119.241791,35.062244
浦西光伏电站,浦西光伏电站,分布式,地调,3.24,3.24,119.098121,34.597054,海州区,屋顶,2011-12-29,运行,中国大唐集团,固定式,多晶硅,全额上网,dist_ledger,浦西,rooftop,0,small,0,S022,1,,,,119.098121,34.597054
连洋徐圩光伏发电站,连洋徐圩光伏,分布式,地调,16.37,16.37,119.521793,34.575091,连云区,屋顶,2017-06-27,运行,江苏品和新能源发展有限公司,固定式,多晶硅,全额上网,dist_ledger,连洋徐圩光伏,rooftop,1,medium,0,S023,1,,,,119.521793,34.575091
兴怡紧固件光伏电站,兴怡紧固件光伏,分布式,地调,5.99,5.99,119.167317,34.901261,赣榆区,屋顶,2023-07-27,运行,无,固定式,单晶硅,自发自用余电上网,dist_ledger,兴怡紧固件光伏,rooftop,1,medium,0,S024,1,,,,119.167317,34.901261
夏源银得隆光伏电站,夏源银得隆光伏,分布式,地调,5.65,5.65,119.258124,34.099471,灌南县,屋顶,2024-05-13,运行,灌南夏源新能源科技有限公司,固定式,单晶硅,全额上网,dist_ledger,夏源银得隆光伏,rooftop,0,medium,0,S025,1,,,,119.258124,34.099471
京运通牛山光伏电站,京运通牛山光伏电站,分布式,地调,2.6,2.6,118.74,34.5,东海县,屋顶,2017-12-29,运行,北京京运通科技股份有限公司,固定式,多晶硅,自发自用余电上网,dist_ledger,京运通牛山,rooftop,0,small,0,S026,1,,,,118.74,34.5
林洋伊山光伏电站,林洋伊山光伏,分布式,地调,22.0,22.0,119.21,34.31667,灌云县,屋顶,2016-06-11,运行,江苏林洋能源股份有限公司,固定式,单晶硅,全额上网,dist_ledger,林洋伊山光伏,rooftop,0,large,0,S027,1,,,,119.21,34.31667
华能星耀光伏电站,华能星耀光伏,分布式,地调,3.14,3.14,119.242254,34.271901,灌云县,屋顶,2024-10-18,运行,华能集团,固定式,单晶硅,全额上网,dist_ledger,华能星耀光伏,rooftop,0,small,0,S028,1,,,,119.242254,34.271901
协鑫曲阳光伏发电站,协鑫曲阳光伏电站,分布式,地调,20.0,20.0,118.719599,34.441605,东海县,鱼塘,2015-12-09,运行,国家电投集团,固定式,单晶硅,全额上网,dist_ledger,协鑫曲阳,other,0,large,0,S029,1,,,,118.719599,34.441605
中森侍庄光伏发电站,中森侍庄光伏,分布式,地调,2.9,2.9,119.24,34.25,灌云县,屋顶,2017-06-26,运行,江苏林洋能源股份有限公司,固定式,单晶硅,全额上网,dist_ledger,中森侍庄光伏,rooftop,0,small,0,S030,1,,,,119.24,34.25
富云杨集光伏电站,富云杨集光伏,分布式,地调,0.9222,0.9222,119.49,34.31028,灌云县,地面,2017-06-29,运行,连云港富云新能源有限公司,水平单轴,多晶硅,全额上网,dist_ledger,富云杨集光伏,ground,0,small,0,S031,1,,,,119.49,34.31028
华能中林光伏电站,华能中林光伏,分布式,地调,9.335,9.335,119.767511,32.488611,灌云县,屋顶,2023-12-13,运行,华能集团,固定式,单晶硅,自发自用余电上网,dist_ledger,华能中林光伏,rooftop,0,medium,0,S032,1,,,,119.767511,32.488611
天瀚万发光伏电站,天瀚万发光伏,分布式,地调,5.688,5.688,119.142248,34.661766,海州区,屋顶,2025-03-12,运行,无,固定式,单晶硅,全额上网,dist_ledger,天瀚万发光伏,rooftop,0,medium,0,S033,1,,,,119.142248,34.661766
建魄俊达光伏电站,建魄俊达光伏,分布式,地调,3.496,3.496,119.713647,34.432424,灌云县,屋顶,2025-05-09,运行,无,固定式,单晶硅,自发自用余电上网,dist_ledger,建魄俊达光伏,rooftop,0,small,0,S034,1,,,,119.713647,34.432424
